ID	source_count	listitem_count	boldtitle_count	interviewquote_count	numberedrow_count	paragraph_count	uniq_MIES	uniq_NAINEN	uniq_NETTISIVU	uniq_JULKAISU	uniq_YLIOPISTO	uniq_SAIRAALA	uniq_YRITYS	uniq_VIRASTO	uniq_JARJESTO	uniq_TUOTE	uniq_TUTKIMUS
ID001	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID002	0	7	3	0	0	22	1	0	0	1	1	0	0	1	0	0	1
ID003	0	0	2	0	0	14	1	0	0	0	0	0	1	0	0	0	0
ID004	38	0	5	0	4	35	0	0	0	0	0	0	0	0	0	0	0
ID005	0	0	2	0	16	47	1	0	0	0	0	0	0	0	1	0	0
ID006	8	6	5	0	0	42	1	0	0	0	0	0	0	0	0	0	0
ID008	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ID009	3	0	5	0	0	34	0	0	0	0	0	0	0	0	0	0	1
ID010	1	0	0	1	0	11	0	1	0	1	1	0	0	1	0	0	0
ID011	0	0	0	3	1	13	0	1	0	0	0	0	0	1	0	0	0
ID012	0	0	9	3	10	27	2	0	0	0	0	0	0	0	0	0	0
ID013	0	0	10	0	0	25	0	0	0	0	0	0	0	0	0	1	1
ID014	0	0	4	0	0	14	0	0	0	0	0	0	1	0	0	3	0
ID015	0	0	6	0	6	21	1	0	0	0	0	0	0	0	0	0	0
ID016	0	13	9	0	0	38	0	0	0	0	0	0	0	0	0	2	0
ID017	0	0	1	0	0	27	0	0	1	0	0	0	0	0	0	0	0
ID018	0	0	2	7	0	20	2	0	0	0	0	0	0	0	0	0	0
ID019	28	0	0	0	0	16	3	2	3	0	0	0	1	0	1	0	0
ID020part1of4	0	0	0	0	0	7	2	1	0	0	0	0	1	0	0	0	0
ID020part2of4	4	0	0	0	0	9	4	1	0	0	1	0	1	0	0	0	0
ID020part3of4	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID020part4of4	2	0	0	0	0	10	5	2	0	0	2	0	3	0	2	2	0
ID021	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID022	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID023	10	0	5	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ID024	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	1	0
ID025	0	8	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ID026	1	12	2	0	0	32	0	0	0	0	0	0	0	0	0	0	0
ID027	10	0	7	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ID028part1of2	0	0	1	0	0	16	1	0	1	0	0	0	0	0	0	0	0
ID028part2of2	0	0	3	0	5	21	0	1	1	0	1	0	0	0	0	0	0
ID029	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID030	5	0	7	0	0	41	0	1	0	0	1	0	0	0	1	0	0
ID032	1	0	0	0	0	8	0	1	0	0	1	0	0	0	0	0	0
ID033	0	3	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
ID034	0	0	20	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ID035	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ID036	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID037	0	0	8	0	0	37	0	0	0	0	0	0	0	0	0	0	0
ID038	0	5	9	0	9	34	0	0	0	0	0	0	0	0	0	0	0
ID039	0	0	3	0	0	28	0	0	0	0	0	0	0	0	0	0	0
ID040	1	0	0	0	0	6	1	0	0	0	1	0	0	1	0	0	0
ID041part1of2	0	0	7	0	0	20	0	1	0	1	0	0	0	0	0	0	0
ID041part2of2	0	9	1	0	0	23	0	0	0	0	0	0	1	1	0	0	0
ID042	1	0	0	0	0	5	1	0	0	1	1	0	0	0	0	0	0
ID043	0	5	4	0	4	26	0	0	0	0	0	0	0	0	0	0	0
ID044	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID045	0	0	3	0	0	11	1	0	0	0	1	0	0	0	0	0	0
ID046	1	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0
ID047	4	0	11	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ID048	0	0	0	0	0	5	0	0	1	1	1	0	0	1	0	0	0
ID049	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ID050	1	0	0	0	0	8	1	1	0	0	0	0	0	1	2	0	0
ID051	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0
ID052	0	0	4	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID053	0	3	5	0	5	17	0	0	0	0	0	0	0	0	1	0	0
ID054	0	0	3	5	0	22	1	0	0	0	2	0	0	0	0	0	0
ID055	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ID056	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0
ID057part1of2	5	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ID057part2of2	4	0	0	0	0	16	2	0	0	0	0	0	0	0	1	0	0
ID058	0	0	8	0	0	30	0	0	0	0	0	0	0	0	0	0	0
ID059	0	0	6	0	0	31	0	0	0	0	2	0	1	0	0	0	0
ID060	31	0	6	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ID061	0	0	6	0	6	31	0	0	0	5	3	0	0	0	0	0	0
ID062	1	0	0	6	0	21	1	2	0	1	3	0	0	0	0	0	0
ID063	18	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	1
ID064	3	0	2	0	0	21	0	0	0	0	0	0	0	1	4	1	1
ID065	0	0	7	0	0	27	0	0	0	2	0	0	0	0	0	0	0
ID066	0	0	0	0	0	6	0	1	0	0	0	0	4	0	0	0	0
ID067	1	0	1	2	0	11	0	1	0	1	5	4	0	1	0	0	1
ID068	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ID069	7	0	1	0	0	13	0	0	0	0	0	0	0	1	0	0	0
ID070	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID071	0	0	9	0	0	39	0	0	0	0	0	0	0	0	0	0	0
ID072	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ID074	0	0	6	0	0	32	2	0	2	1	0	0	1	0	0	0	0
ID075	0	0	0	0	6	15	0	0	0	0	0	0	0	0	0	0	0
ID076	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
