Predicted model errors in decreasing order for 364 samples (infovalue (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.268507	1.784979	3.186150	1
2	ID332	-1.853175	1.508984	2.277033	10
3	ID123	-2.696640	1.356567	1.840275	7
4	ID269	1.150476	-1.328961	1.766136	8
5	ID327	-0.397741	1.267551	1.606685	9
6	ID150	-1.065850	1.150973	1.324739	1
7	ID190	-1.286339	1.118892	1.251919	1
8	ID141	-1.440846	1.094993	1.199010	5
9	ID239	-1.395968	1.076079	1.157947	10
10	ID277	-1.380737	1.053025	1.108861	1
11	ID107	1.715701	-1.039117	1.079764	5
12	ID331part4of4	0.183447	1.035521	1.072303	8
13	ID297part3of3	-1.133983	1.011710	1.023558	6
14	ID349	1.354910	-0.999801	0.999602	10
15	ID293	0.305024	-0.968969	0.938900	5
16	ID241	1.106989	-0.966080	0.933310	6
17	ID119	1.098100	-0.948468	0.899592	9
18	ID318	-2.181899	0.940020	0.883638	1
19	ID124	0.575620	-0.925812	0.857128	5
20	ID149	-1.470406	0.919577	0.845622	4
21	ID214	-1.025803	0.906206	0.821210	6
22	ID365	-0.859173	0.904738	0.818552	7
23	ID093part3of5	-0.623732	0.899185	0.808535	4
24	ID143	-0.196533	0.895742	0.802354	2
25	ID338	-0.357433	0.851496	0.725046	7
26	ID362	-1.069639	0.846692	0.716887	10
27	ID037	1.299742	-0.843925	0.712210	5
28	ID297part2of3	1.254618	-0.837688	0.701722	9
29	ID084	0.929462	-0.817316	0.668005	5
30	ID249	0.331691	-0.815302	0.664717	6
31	ID364	-1.484499	0.797737	0.636384	10
32	ID230	-0.680093	0.796305	0.634102	10
33	ID117	0.187401	0.794440	0.631134	3
34	ID040	0.693065	-0.782684	0.612595	5
35	ID081	1.098989	-0.765445	0.585906	6
36	ID173	-2.464669	0.763685	0.583214	5
37	ID252	0.179857	0.759211	0.576402	1
38	ID205	0.163728	-0.748832	0.560749	8
39	ID370	-1.448278	0.741078	0.549196	5
40	ID151	-0.275898	0.726272	0.527472	10
41	ID179	-0.528749	0.725991	0.527063	6
42	ID004	1.798455	-0.723102	0.522877	7
43	ID225	0.698150	-0.713112	0.508529	6
44	ID177	1.975969	-0.710369	0.504624	8
45	ID152part1of2	-1.480884	0.698214	0.487503	4
46	ID194	-0.705663	0.694701	0.482610	7
47	ID259	0.571468	-0.694628	0.482509	9
48	ID289	-1.242319	0.688488	0.474015	5
49	ID060	1.925655	-0.688165	0.473571	6
50	ID116	1.229572	-0.685913	0.470477	5
51	ID001	0.065998	0.665472	0.442853	3
52	ID261	1.276892	-0.664290	0.441282	5
53	ID188	0.194516	-0.654360	0.428187	8
54	ID331part3of4	0.822050	-0.653165	0.426625	1
55	ID082	-1.507597	0.651976	0.425072	9
56	ID285	-1.922674	0.639577	0.409059	10
57	ID351	0.056237	0.633534	0.401366	4
58	ID278	-1.781021	0.628310	0.394773	9
59	ID038	0.422154	-0.626534	0.392545	1
60	ID108	-1.268189	0.626416	0.392397	1
61	ID226	0.891629	-0.622453	0.387448	2
62	ID197	0.014784	-0.617816	0.381697	9
63	ID250	-0.596342	-0.617420	0.381208	10
64	ID307	0.035456	-0.611720	0.374201	2
65	ID100	0.724908	-0.611608	0.374064	4
66	ID056	-0.751418	0.611284	0.373668	3
67	ID020part1of4	-0.161415	-0.610767	0.373037	1
68	ID257	0.439872	-0.604407	0.365307	8
69	ID130	-0.222548	0.601286	0.361545	4
70	ID041part1of2	-0.504943	0.595512	0.354635	6
71	ID045	-0.726148	0.595053	0.354088	4
72	ID129	1.030670	-0.592942	0.351581	3
73	ID322	-1.106410	0.582380	0.339167	1
74	ID341	-0.562996	0.580849	0.337385	5
75	ID010	0.554385	0.576542	0.332400	3
76	ID043	-1.096555	-0.576492	0.332343	10
77	ID224	0.066827	0.574585	0.330148	7
78	ID292	0.357506	-0.568960	0.323715	5
79	ID337part1of2	0.239160	-0.568083	0.322718	9
80	ID265	1.427812	-0.563702	0.317760	2
81	ID115	-0.080318	0.555365	0.308430	7
82	ID059	0.945232	-0.551598	0.304261	7
83	ID340	-1.376536	0.548977	0.301376	5
84	ID176	-0.523914	0.542388	0.294184	4
85	ID181	-1.396323	0.540976	0.292655	8
86	ID024	-0.178574	-0.537130	0.288509	2
87	ID093part1of5	0.051822	0.536375	0.287698	7
88	ID034	-0.304506	0.533976	0.285131	10
89	ID105	0.140665	-0.533926	0.285077	2
90	ID003	0.484088	0.526706	0.277419	10
91	ID020part3of4	-0.917960	0.526299	0.276991	6
92	ID018	-0.149713	0.522352	0.272852	8
93	ID170	-1.285088	0.521522	0.271985	9
94	ID035	0.119097	-0.514538	0.264749	1
95	ID328	-0.806376	0.512253	0.262403	8
96	ID234	-0.020493	0.507864	0.257926	7
97	ID198	1.031244	0.502191	0.252196	7
98	ID030	0.656461	-0.502097	0.252101	10
99	ID077	0.285450	-0.498705	0.248707	3
100	ID011	0.724616	-0.486309	0.236497	6
101	ID209	0.956568	-0.485707	0.235911	3
102	ID103	1.477383	-0.484096	0.234349	9
103	ID147part1of2	-0.128902	0.480370	0.230756	4
104	ID306	-0.458750	0.477826	0.228318	5
105	ID132	0.643429	-0.477503	0.228009	3
106	ID087	-0.486293	0.474947	0.225575	10
107	ID020part2of4	0.373500	-0.471040	0.221879	1
108	ID139	0.001330	-0.465163	0.216377	6
109	ID309	-0.524575	-0.458916	0.210604	8
110	ID366	-1.180727	0.456478	0.208372	9
111	ID235	0.129254	-0.449713	0.202241	3
112	ID238	0.559860	0.446009	0.198924	8
113	ID017	-0.442658	0.443962	0.197102	2
114	ID301	-0.271459	-0.443545	0.196732	7
115	ID331part1of4	1.161616	-0.441438	0.194868	3
116	ID348	0.425553	-0.440654	0.194176	3
117	ID207	-0.431905	0.439128	0.192834	7
118	ID275	0.325932	-0.438301	0.192108	3
119	ID111	0.310906	-0.436779	0.190776	6
120	ID075	-0.708691	-0.432752	0.187274	7
121	ID371	0.520547	-0.432053	0.186670	3
122	ID185	0.453951	-0.431206	0.185939	3
123	ID280	0.397622	0.429950	0.184857	7
124	ID231	-0.376672	0.419962	0.176368	9
125	ID068	0.450412	-0.415175	0.172370	4
126	ID201	0.859001	-0.414829	0.172083	8
127	ID247	0.216760	0.412882	0.170472	2
128	ID202	1.244036	-0.411017	0.168935	4
129	ID121	0.040881	0.409196	0.167442	7
130	ID054	-0.222805	0.408756	0.167082	3
131	ID142	-0.026345	0.407656	0.166183	2
132	ID099	-0.151160	-0.404263	0.163429	3
133	ID094	0.770692	-0.403956	0.163180	6
