Predicted model errors in decreasing order for 364 samples (infovalue (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.268507	1.611362	2.596489	1
2	ID332	-1.853175	1.514047	2.292340	10
3	ID327	-0.397741	1.480525	2.191955	9
4	ID123	-2.696640	1.467711	2.154176	7
5	ID349	1.354910	-1.347966	1.817011	10
6	ID269	1.150476	-1.323063	1.750495	8
7	ID141	-1.440846	1.266628	1.604345	5
8	ID331part4of4	0.183447	1.083393	1.173740	8
9	ID364	-1.484499	1.074533	1.154621	10
10	ID150	-1.065850	1.050786	1.104152	1
11	ID190	-1.286339	1.033906	1.068962	1
12	ID239	-1.395968	1.029041	1.058925	10
13	ID226	0.891629	-0.968490	0.937973	2
14	ID124	0.575620	-0.964799	0.930838	5
15	ID285	-1.922674	0.961330	0.924156	10
16	ID151	-0.275898	0.957801	0.917383	10
17	ID297part3of3	-1.133983	0.930242	0.865350	6
18	ID194	-0.705663	0.926121	0.857699	7
19	ID188	0.194516	-0.904008	0.817231	8
20	ID099	-0.151160	-0.899756	0.809562	3
21	ID173	-2.464669	0.888375	0.789211	5
22	ID181	-1.396323	0.884164	0.781746	8
23	ID362	-1.069639	0.882385	0.778604	10
24	ID082	-1.507597	0.880263	0.774862	9
25	ID278	-1.781021	0.862448	0.743817	9
26	ID149	-1.470406	0.847687	0.718574	4
27	ID365	-0.859173	0.837585	0.701548	7
28	ID177	1.975969	-0.833697	0.695050	8
29	ID143	-0.196533	0.822517	0.676535	2
30	ID060	1.925655	-0.819120	0.670957	6
31	ID370	-1.448278	0.817090	0.667636	5
32	ID297part2of3	1.254618	-0.788043	0.621012	9
33	ID318	-2.181899	0.781481	0.610712	1
34	ID289	-1.242319	0.779048	0.606915	5
35	ID277	-1.380737	0.771317	0.594930	1
36	ID293	0.305024	-0.763390	0.582764	5
37	ID054	-0.222805	0.742476	0.551271	3
38	ID179	-0.528749	0.729765	0.532557	6
39	ID001	0.065998	0.728634	0.530908	3
40	ID040	0.693065	-0.695928	0.484315	5
41	ID093part3of5	-0.623732	0.691607	0.478320	4
42	ID249	0.331691	-0.683515	0.467192	6
43	ID041part1of2	-0.504943	0.683314	0.466918	6
44	ID209	0.956568	-0.674814	0.455374	3
45	ID020part1of4	-0.161415	-0.660266	0.435951	1
46	ID116	1.229572	-0.657921	0.432860	5
47	ID337part1of2	0.239160	-0.657520	0.432333	9
48	ID081	1.098989	-0.648527	0.420587	6
49	ID252	0.179857	0.647689	0.419501	1
50	ID119	1.098100	-0.646665	0.418175	9
