Predicted model errors in decreasing order for 364 samples (infovalue (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.268507	1.605581	2.577891	1
2	ID123	-2.696640	1.303626	1.699441	7
3	ID364	-1.484499	1.227983	1.507941	10
4	ID239	-1.395968	1.166630	1.361026	10
5	ID318	-2.181899	1.116320	1.246170	1
6	ID327	-0.397741	1.101692	1.213726	9
7	ID141	-1.440846	1.094209	1.197292	5
8	ID269	1.150476	-1.094031	1.196905	8
9	ID331part4of4	0.183447	1.086866	1.181277	8
10	ID150	-1.065850	1.085796	1.178953	1
11	ID119	1.098100	-1.046979	1.096165	9
12	ID037	1.299742	-1.031849	1.064712	5
13	ID297part2of3	1.254618	-1.013221	1.026617	9
14	ID297part3of3	-1.133983	1.005179	1.010386	6
15	ID277	-1.380737	0.999948	0.999895	1
16	ID332	-1.853175	0.988408	0.976951	10
17	ID082	-1.507597	0.979399	0.959221	9
18	ID143	-0.196533	0.945438	0.893853	2
19	ID177	1.975969	-0.932980	0.870452	8
20	ID111	0.310906	-0.923079	0.852075	6
21	ID365	-0.859173	0.900001	0.810001	7
22	ID225	0.698150	-0.887681	0.787978	6
23	ID338	-0.357433	0.864323	0.747054	7
24	ID278	-1.781021	0.852447	0.726666	9
25	ID199	0.736093	-0.851928	0.725782	1
26	ID181	-1.396323	0.842879	0.710445	8
27	ID362	-1.069639	0.836813	0.700256	10
28	ID041part1of2	-0.504943	0.827023	0.683968	6
29	ID349	1.354910	-0.806008	0.649648	10
30	ID188	0.194516	-0.800925	0.641481	8
31	ID209	0.956568	-0.776251	0.602566	3
32	ID289	-1.242319	0.762434	0.581306	5
33	ID230	-0.680093	0.758155	0.574799	10
34	ID026	1.116031	-0.745279	0.555440	9
35	ID285	-1.922674	0.740237	0.547952	10
36	ID151	-0.275898	0.739986	0.547579	10
37	ID093part3of5	-0.623732	0.734567	0.539589	4
38	ID056	-0.751418	0.729144	0.531651	3
39	ID194	-0.705663	0.728727	0.531043	7
40	ID252	0.179857	0.720237	0.518741	1
41	ID084	0.929462	-0.713554	0.509159	5
42	ID020part1of4	-0.161415	-0.712286	0.507352	1
43	ID370	-1.448278	0.703291	0.494618	5
44	ID337part1of2	0.239160	-0.702105	0.492951	9
45	ID116	1.229572	-0.700348	0.490488	5
46	ID117	0.187401	0.688929	0.474623	3
47	ID302	-0.498869	0.687163	0.472193	4
48	ID361	-0.018272	-0.687158	0.472186	4
49	ID190	-1.286339	0.686727	0.471594	1
50	ID040	0.693065	-0.685504	0.469916	5
51	ID065	-0.271013	0.683330	0.466940	6
52	ID247	0.216760	0.681971	0.465084	2
53	ID331part3of4	0.822050	-0.677180	0.458573	1
54	ID179	-0.528749	0.675266	0.455985	6
55	ID173	-2.464669	0.675235	0.455942	5
56	ID054	-0.222805	0.664489	0.441546	3
57	ID340	-1.376536	0.663162	0.439784	5
58	ID010	0.554385	0.662079	0.438349	3
59	ID004	1.798455	-0.654774	0.428729	7
60	ID149	-1.470406	0.653717	0.427346	4
61	ID257	0.439872	-0.649228	0.421497	8
62	ID250	-0.596342	-0.644638	0.415558	10
63	ID001	0.065998	0.644505	0.415387	3
64	ID293	0.305024	-0.643670	0.414311	5
65	ID345	-1.296524	-0.642454	0.412747	8
66	ID020part2of4	0.373500	-0.642383	0.412656	1
67	ID147part1of2	-0.128902	0.640324	0.410015	4
68	ID015	-0.885605	0.635518	0.403883	7
69	ID081	1.098989	-0.635221	0.403506	6
70	ID099	-0.151160	-0.594318	0.353214	3
71	ID145	-0.054990	0.594170	0.353038	4
72	ID249	0.331691	-0.588070	0.345826	6
73	ID226	0.891629	-0.584275	0.341378	2
74	ID275	0.325932	-0.583027	0.339920	3
75	ID038	0.422154	-0.573167	0.328521	1
76	ID341	-0.562996	0.568786	0.323517	5
77	ID124	0.575620	-0.568606	0.323313	5
78	ID155	-0.206462	-0.567677	0.322257	6
79	ID011	0.724616	-0.566842	0.321310	6
80	ID072	-0.616551	0.566745	0.321200	8
81	ID165	-0.488632	0.566108	0.320478	2
82	ID303	-1.269531	0.565190	0.319440	9
83	ID214	-1.025803	0.560249	0.313879	6
84	ID208	0.752153	-0.554182	0.307118	2
85	ID103	1.477383	-0.551122	0.303736	9
86	ID152part1of2	-1.480884	0.550800	0.303380	4
87	ID160	-0.773536	0.539384	0.290935	1
88	ID013	0.879463	-0.538170	0.289627	6
89	ID241	1.106989	-0.536484	0.287816	6
90	ID134	-1.244979	0.536029	0.287327	2
91	ID261	1.276892	-0.532266	0.283307	5
92	ID068	0.450412	-0.529590	0.280466	4
93	ID129	1.030670	-0.522561	0.273070	3
94	ID008	-0.140191	0.521780	0.272254	5
95	ID189	0.163662	0.487489	0.237645	1
96	ID185	0.453951	-0.486976	0.237145	3
97	ID217	0.633042	-0.485905	0.236103	2
98	ID311	-0.170361	-0.485696	0.235901	2
99	ID105	0.140665	-0.483888	0.234148	2
100	ID200	1.177081	-0.477783	0.228277	6
101	ID307	0.035456	-0.469127	0.220080	2
102	ID233	-0.227498	-0.468749	0.219726	8
103	ID229	0.605452	-0.467766	0.218805	3
104	ID300	0.810946	-0.464560	0.215816	1
105	ID091	1.034741	-0.458503	0.210225	4
106	ID205	0.163728	-0.458021	0.209783	8
107	ID170	-1.285088	0.456150	0.208073	9
108	ID112	-1.277805	0.454120	0.206225	1
109	ID328	-0.806376	0.450957	0.203362	8
110	ID248	0.609850	-0.447783	0.200510	2
111	ID306	-0.458750	0.447340	0.200113	5
112	ID348	0.425553	-0.445756	0.198698	3
113	ID139	0.001330	-0.442674	0.195961	6
114	ID035	0.119097	-0.438726	0.192481	1
115	ID292	0.357506	-0.435602	0.189749	5
116	ID083part1of2	0.737412	0.434302	0.188618	10
117	ID267	-0.121061	-0.430314	0.185170	8
118	ID086	0.465117	-0.418761	0.175361	3
119	ID016	0.687236	-0.418293	0.174969	6
120	ID244	0.811322	-0.417484	0.174293	3
121	ID337part2of2	-0.025655	-0.416809	0.173730	1
122	ID330	-0.434411	0.416454	0.173434	7
123	ID317	0.147788	-0.412222	0.169927	2
124	ID097	1.024943	-0.408120	0.166562	5
125	ID287	-0.250797	0.407923	0.166401	5
126	ID021	0.069323	-0.407425	0.165995	4
127	ID259	0.571468	-0.400282	0.160225	9
128	ID045	-0.726148	0.400192	0.160154	4
129	ID231	-0.376672	0.393520	0.154858	9
130	ID060	1.925655	-0.390044	0.152134	6
131	ID158	-0.599954	0.387187	0.149913	2
132	ID087	-0.486293	0.386382	0.149291	10
133	ID352	0.663763	-0.386303	0.149230	9
134	ID178	0.565311	-0.386027	0.149017	9
135	ID043	-1.096555	-0.385341	0.148488	10
136	ID207	-0.431905	0.381808	0.145777	7
137	ID224	0.066827	0.381212	0.145322	7
138	ID154	-0.199625	-0.381104	0.145240	1
139	ID030	0.656461	-0.376067	0.141427	10
140	ID033	-0.453822	0.374552	0.140289	2
141	ID114	0.708355	0.374319	0.140115	6
142	ID176	-0.523914	0.371519	0.138026	4
143	ID017	-0.442658	0.371396	0.137935	2
144	ID048	0.614976	-0.371106	0.137719	3
145	ID128	-0.505107	0.363009	0.131776	2
146	ID322	-1.106410	0.362085	0.131105	1
147	ID003	0.484088	0.358902	0.128811	10
148	ID127	0.570952	-0.358847	0.128771	9
149	ID369	0.208244	-0.357906	0.128097	4
150	ID115	-0.080318	0.353469	0.124940	7
151	ID174	0.433828	0.353008	0.124614	5
152	ID329	-1.010973	0.352518	0.124269	4
153	ID333	0.348137	-0.351265	0.123387	5
154	ID309	-0.524575	-0.348576	0.121506	8
155	ID201	0.859001	-0.348093	0.121169	8
156	ID350	-0.260985	0.345446	0.119333	4
157	ID024	-0.178574	-0.344301	0.118543	2
158	ID027	0.704163	-0.344208	0.118479	7
159	ID113	-1.152922	0.342973	0.117631	4
160	ID100	0.724908	-0.341915	0.116906	4
161	ID298	0.437483	0.340082	0.115656	2
162	ID059	0.945232	-0.339276	0.115108	7
163	ID222	0.086063	-0.339054	0.114958	9
164	ID266	0.762331	-0.337819	0.114122	10
165	ID263	0.689567	-0.336778	0.113419	8
166	ID331part1of4	1.161616	-0.335755	0.112731	3
167	ID058	1.240456	0.335526	0.112578	2
168	ID228	0.968588	-0.326963	0.106905	2
169	ID118	-0.235262	0.324992	0.105620	5
170	ID088	0.565699	0.322713	0.104144	3
171	ID098	0.325595	0.321950	0.103652	10
172	ID334	0.226888	-0.320859	0.102951	2
173	ID221	0.378667	-0.315789	0.099723	4
174	ID094	0.770692	-0.310566	0.096451	6
175	ID197	0.014784	-0.307997	0.094862	9
176	ID095	-0.342232	0.304236	0.092560	4
177	ID299part1of2	0.542183	-0.301980	0.091192	9
178	ID002	0.729517	-0.300087	0.090052	1
179	ID152part2of2	-0.112376	-0.299187	0.089513	6
180	ID147part2of2	-0.063235	0.296325	0.087809	10
181	ID305	-0.443497	0.289528	0.083827	8
182	ID272	-0.753259	0.288623	0.083303	1
183	ID051	0.094926	-0.288406	0.083178	7
184	ID055	0.804897	-0.284339	0.080849	8
185	ID163	-0.999433	-0.282830	0.079993	4
186	ID280	0.397622	0.279675	0.078218	7
187	ID046	-0.473828	-0.277893	0.077225	9
188	ID245	0.157968	-0.277211	0.076846	6
189	ID044	-0.317807	-0.276822	0.076630	4
190	ID346	-0.341123	0.276119	0.076242	5
191	ID234	-0.020493	0.275205	0.075738	7
192	ID198	1.031244	0.274963	0.075605	7
193	ID122	1.422403	-0.274776	0.075502	5
194	ID167	-0.223354	-0.274379	0.075284	10
195	ID077	0.285450	-0.274133	0.075149	3
196	ID168	-0.422093	0.272860	0.074453	2
197	ID020part3of4	-0.917960	0.271997	0.073983	6
198	ID290	-1.178010	-0.269561	0.072663	3
199	ID121	0.040881	0.269386	0.072569	7
200	ID371	0.520547	-0.266818	0.071192	3
201	ID078	-1.434488	0.260374	0.067795	5
202	ID202	1.244036	-0.256406	0.065744	4
203	ID064	0.585599	0.255929	0.065500	4
204	ID063	1.145978	0.255687	0.065376	5
205	ID138	-1.099894	0.255161	0.065107	3
206	ID028part1of2	-0.220953	-0.254399	0.064719	2
207	ID281	-0.245507	-0.251694	0.063350	2
208	ID093part1of5	0.051822	0.249747	0.062373	7
209	ID360	1.023592	-0.247639	0.061325	2
210	ID162	-1.204578	0.246231	0.060630	4
211	ID067	0.980802	0.245584	0.060312	10
212	ID308	-0.454585	-0.245261	0.060153	1
213	ID050	-0.100308	0.243702	0.059391	9
214	ID282	0.943979	-0.242769	0.058937	3
215	ID288	-0.370930	-0.239569	0.057393	6
216	ID312	0.310973	-0.239009	0.057125	8
217	ID331part2of4	0.946787	-0.234968	0.055210	1
218	ID096	0.066543	0.231651	0.053662	1
219	ID184	-0.840347	0.228465	0.052196	9
220	ID057part1of2	0.444069	0.225111	0.050675	1
221	ID047	-0.179565	0.221525	0.049074	8
222	ID310	0.032213	-0.218668	0.047816	4
223	ID020part4of4	-1.172179	0.215757	0.046551	9
224	ID080	-1.106512	0.215177	0.046301	4
225	ID133	0.542299	-0.214532	0.046024	2
226	ID220	0.547995	-0.214202	0.045883	8
227	ID049	-0.328298	0.213143	0.045430	7
228	ID367	-0.482966	0.212797	0.045283	3
229	ID204	0.868952	-0.212157	0.045010	6
230	ID253	0.302477	0.211490	0.044728	2
231	ID018	-0.149713	0.209042	0.043699	8
232	ID014	0.424978	-0.208924	0.043649	3
233	ID192	-1.297912	0.208772	0.043586	7
234	ID153	-0.349282	-0.202754	0.041109	1
235	ID183	-0.035891	0.201390	0.040558	6
236	ID291	0.268083	-0.200917	0.040368	10
237	ID218	-0.361639	0.194813	0.037952	7
238	ID107	1.715701	-0.193085	0.037282	5
239	ID347	0.614106	-0.188928	0.035694	1
240	ID187	0.672558	-0.188212	0.035424	5
241	ID279	0.788307	-0.186413	0.034750	7
242	ID273	0.799836	-0.186238	0.034685	7
243	ID351	0.056237	0.186236	0.034684	4
244	ID255	0.110119	-0.185802	0.034522	1
245	ID142	-0.026345	0.185636	0.034461	2
246	ID212	0.183536	-0.185180	0.034291	4
247	ID159	-0.734094	0.184498	0.034040	5
248	ID276	0.252927	0.182775	0.033407	2
249	ID313	-0.555671	-0.179841	0.032343	7
250	ID251	0.305534	-0.178896	0.032004	9
251	ID246	0.915600	-0.176743	0.031238	1
252	ID171	-1.060544	-0.176638	0.031201	6
253	ID216	0.642633	-0.175772	0.030896	7
254	ID336	-1.101409	0.175585	0.030830	8
255	ID025	-0.496216	0.175029	0.030635	4
