Predicted model errors in decreasing order for 364 samples (reliability (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.934430	1.956088	3.826282	1
2	ID362	-1.884607	1.672718	2.797986	10
3	ID364	-1.463097	1.625694	2.642882	10
4	ID040	1.485981	-1.582858	2.505439	5
5	ID087	-1.184395	1.402187	1.966128	10
6	ID143	0.062813	1.393165	1.940909	2
7	ID269	1.648160	-1.355078	1.836236	8
8	ID119	1.160197	-1.332495	1.775544	9
9	ID192	-2.105735	1.266933	1.605119	7
10	ID199	1.509720	-1.266526	1.604088	1
11	ID181	-1.454880	1.250769	1.564423	8
12	ID177	2.207899	-1.175599	1.382032	8
13	ID349	1.700052	-1.168702	1.365863	10
14	ID115	-0.305566	1.164434	1.355906	7
15	ID111	0.630441	-1.162704	1.351880	6
16	ID147part1of2	-0.973414	1.131824	1.281025	4
17	ID124	1.083597	-1.098046	1.205706	5
18	ID289	-1.064193	1.018750	1.037851	5
19	ID150	-1.577578	1.015975	1.032205	1
20	ID338	-0.454235	1.004775	1.009572	7
21	ID350	-0.491418	0.980328	0.961042	4
22	ID099	0.488543	-0.974978	0.950582	3
23	ID016	0.998112	-0.956473	0.914840	6
24	ID038	0.014969	-0.930398	0.865640	1
25	ID250	-0.046142	-0.915629	0.838377	10
26	ID100	0.652032	-0.915263	0.837707	4
27	ID103	1.992167	-0.914647	0.836580	9
28	ID084	0.463789	-0.913910	0.835231	5
29	ID116	1.183753	-0.910591	0.829175	5
30	ID004	1.640408	-0.905992	0.820821	7
31	ID123	-2.801978	0.898640	0.807555	7
32	ID188	0.526385	-0.896395	0.803524	8
33	ID351	-0.455514	0.882551	0.778896	4
34	ID302	-1.231094	0.882071	0.778049	4
35	ID190	-0.927155	0.876524	0.768295	1
36	ID230	0.135304	0.875712	0.766872	10
37	ID168	-0.995315	0.871147	0.758897	2
38	ID225	1.051387	-0.867589	0.752711	6
39	ID151	-0.237948	0.866686	0.751144	10
40	ID071	-0.643685	0.855170	0.731316	6
41	ID257	0.551571	-0.846809	0.717086	8
42	ID309	0.154967	-0.844546	0.713257	8
43	ID332	-2.353179	0.837213	0.700925	10
44	ID077	0.535275	-0.829837	0.688630	3
45	ID318	-1.995367	0.825961	0.682211	1
46	ID331part3of4	0.803760	-0.823958	0.678907	1
47	ID023	-0.586073	0.818123	0.669325	6
48	ID316	-0.339070	0.813722	0.662143	1
49	ID328	-0.354695	0.811579	0.658661	8
50	ID015	-0.937288	0.796877	0.635013	7
51	ID226	0.999952	-0.791864	0.627048	2
52	ID207	-0.399180	0.783726	0.614226	7
53	ID174	0.021775	0.777263	0.604138	5
54	ID287	-0.691018	0.776595	0.603100	5
55	ID189	0.131020	0.772796	0.597213	1
56	ID093part3of5	-0.545910	0.770794	0.594124	4
57	ID365	-1.266115	0.765665	0.586244	7
58	ID187	1.037034	-0.754843	0.569788	5
59	ID209	1.316324	-0.749892	0.562338	3
60	ID261	1.209496	-0.747520	0.558786	5
61	ID117	0.135619	0.746655	0.557493	3
62	ID205	0.811237	-0.740203	0.547901	8
63	ID333	0.159578	-0.739676	0.547120	5
64	ID327	-0.185635	0.731902	0.535681	9
65	ID041part1of2	-0.911734	0.728836	0.531202	6
66	ID306	-0.773614	0.722173	0.521534	5
67	ID348	0.111668	-0.714392	0.510356	3
68	ID366	-1.696430	0.712117	0.507110	9
69	ID194	-0.289981	0.710012	0.504117	7
70	ID082	-1.325467	0.707360	0.500358	9
71	ID224	0.692888	0.702833	0.493975	7
72	ID196	0.096101	0.702083	0.492921	10
73	ID169	-0.209679	0.700451	0.490631	6
74	ID286	-0.513974	-0.694204	0.481919	5
75	ID291	0.346496	-0.687840	0.473124	10
76	ID085	1.219226	-0.684353	0.468339	6
77	ID249	0.535361	-0.683939	0.467772	6
78	ID252	0.239584	0.674780	0.455328	1
79	ID002	1.202998	-0.671029	0.450280	1
80	ID141	-1.367803	0.664148	0.441092	5
81	ID060	1.572420	-0.662937	0.439485	6
82	ID088	0.615710	0.656348	0.430793	3
83	ID219	0.491762	-0.654392	0.428229	7
84	ID278	-1.577531	0.652986	0.426391	9
85	ID303	-1.564980	0.650702	0.423413	9
86	ID027	0.506118	-0.648290	0.420280	7
87	ID217	1.010806	-0.647666	0.419471	2
88	ID293	0.730981	-0.647302	0.418999	5
89	ID066	-0.336944	-0.647260	0.418945	2
90	ID173	-1.267789	-0.645542	0.416725	5
91	ID030	0.757508	-0.636935	0.405686	10
92	ID157	-0.031681	-0.636290	0.404865	2
93	ID020part4of4	-1.488363	0.631874	0.399265	9
94	ID130	-0.485709	0.602530	0.363042	4
95	ID274	-1.452685	0.587986	0.345728	8
96	ID315	-0.615645	0.585417	0.342713	10
97	ID231	-0.581268	0.584606	0.341764	9
98	ID301	0.133086	-0.581338	0.337954	7
99	ID322	-1.041343	0.578234	0.334355	1
100	ID145	-0.689369	0.574555	0.330114	4
101	ID263	1.146782	-0.572366	0.327603	8
102	ID267	0.459433	-0.569427	0.324247	8
103	ID277	-1.760559	0.565559	0.319857	1
104	ID068	0.381372	-0.565263	0.319522	4
105	ID297part3of3	-0.934464	0.552240	0.304969	6
106	ID340	-1.266131	0.548639	0.301005	5
107	ID304	-1.013772	-0.543849	0.295772	7
108	ID260	0.488584	0.542095	0.293867	10
109	ID203	0.397193	0.533976	0.285130	5
110	ID185	0.598735	-0.529746	0.280630	3
111	ID361	-0.081826	-0.528518	0.279331	4
112	ID167	-0.002187	-0.521414	0.271873	10
113	ID244	1.180121	-0.516140	0.266401	3
114	ID089	-0.993336	0.510599	0.260712	9
115	ID009	0.717663	-0.508633	0.258707	5
116	ID162	-0.178973	-0.508530	0.258603	4
117	ID018	-0.230406	0.507913	0.257976	8
118	ID105	-0.031509	-0.501148	0.251150	2
119	ID020part1of4	-0.319197	-0.499472	0.249473	1
120	ID095	0.686979	-0.499075	0.249076	4
121	ID044	-0.186495	-0.497577	0.247583	4
122	ID312	1.255723	-0.492617	0.242671	8
123	ID285	-1.489841	0.490335	0.240428	10
124	ID127	0.752235	-0.488931	0.239054	9
125	ID368	-1.370795	0.482435	0.232744	6
126	ID272	-0.956492	0.482061	0.232383	1
127	ID317	0.473459	-0.475826	0.226410	2
128	ID122	1.401499	-0.469763	0.220678	5
129	ID159	-0.052658	-0.464919	0.216150	5
130	ID314	0.607186	-0.461917	0.213367	3
131	ID118	0.078984	-0.456877	0.208736	5
132	ID282	1.141729	-0.456239	0.208154	3
133	ID010	0.851159	0.454521	0.206589	3
134	ID138	-1.501189	0.453303	0.205483	3
135	ID300	0.795789	-0.450352	0.202817	1
136	ID297part1of3	0.323805	-0.444651	0.197715	5
137	ID086	0.683714	-0.443860	0.197012	3
138	ID281	-0.300943	-0.440080	0.193670	2
139	ID047	-0.571732	0.435636	0.189778	8
140	ID184	-0.102784	-0.433929	0.188295	9
141	ID290	-0.973608	-0.432107	0.186716	3
142	ID275	-0.121411	-0.427104	0.182418	3
143	ID240	1.104234	-0.426861	0.182210	3
144	ID292	-0.334933	0.425153	0.180755	5
145	ID133	0.726089	-0.423550	0.179394	2
146	ID081	0.381162	-0.421873	0.177977	6
147	ID235	0.043229	0.421088	0.177315	3
148	ID298	0.568632	-0.418836	0.175424	2
149	ID148	0.011917	0.416311	0.173315	5
150	ID013	0.736557	-0.416236	0.173252	6
151	ID129	0.685704	-0.415244	0.172428	3
152	ID056	-0.250590	0.413915	0.171326	3
153	ID058	0.819517	0.409555	0.167736	2
154	ID149	-1.162138	0.408624	0.166973	4
155	ID284	-0.582916	0.408131	0.166571	3
156	ID137part1of2	0.345886	-0.403892	0.163129	6
157	ID331part2of4	0.276895	-0.400016	0.160013	1
158	ID158	-0.714560	0.396722	0.157388	2
159	ID070	0.225612	0.396567	0.157266	9
160	ID215	0.712563	0.393509	0.154849	4
161	ID049	-0.637942	0.391638	0.153381	7
162	ID239	-0.751700	0.389698	0.151864	10
