Predicted model errors in decreasing order for 364 samples (reliability (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.934430	2.254176	5.081310	1
2	ID362	-1.884607	1.670242	2.789709	10
3	ID040	1.485981	-1.638653	2.685183	5
4	ID269	1.648160	-1.582809	2.505283	8
5	ID364	-1.463097	1.470511	2.162401	10
6	ID192	-2.105735	1.425944	2.033317	7
7	ID124	1.083597	-1.275910	1.627946	5
8	ID150	-1.577578	1.222966	1.495645	1
9	ID147part1of2	-0.973414	1.201289	1.443095	4
10	ID177	2.207899	-1.193338	1.424056	8
11	ID190	-0.927155	1.154028	1.331781	1
12	ID111	0.630441	-1.153478	1.330512	6
13	ID349	1.700052	-1.144058	1.308869	10
14	ID119	1.160197	-1.142190	1.304598	9
15	ID332	-2.353179	1.118772	1.251651	10
16	ID099	0.488543	-1.083753	1.174520	3
17	ID181	-1.454880	1.078099	1.162297	8
18	ID226	0.999952	-1.076054	1.157892	2
19	ID115	-0.305566	1.074823	1.155245	7
20	ID289	-1.064193	1.054496	1.111962	5
21	ID103	1.992167	-1.034932	1.071085	9
22	ID015	-0.937288	1.028826	1.058483	7
23	ID199	1.509720	-1.023201	1.046940	1
24	ID087	-1.184395	1.021645	1.043758	10
25	ID318	-1.995367	1.009613	1.019318	1
26	ID365	-1.266115	0.994211	0.988455	7
27	ID366	-1.696430	0.928955	0.862957	9
28	ID093part3of5	-0.545910	0.923458	0.852775	4
29	ID084	0.463789	-0.918219	0.843126	5
30	ID327	-0.185635	0.892640	0.796807	9
31	ID188	0.526385	-0.891505	0.794781	8
32	ID217	1.010806	-0.888835	0.790028	2
33	ID016	0.998112	-0.888768	0.789908	6
34	ID291	0.346496	-0.882330	0.778507	10
35	ID250	-0.046142	-0.877453	0.769923	10
36	ID141	-1.367803	0.868449	0.754204	5
37	ID302	-1.231094	0.864920	0.748086	4
38	ID257	0.551571	-0.862290	0.743544	8
39	ID293	0.730981	-0.852066	0.726016	5
40	ID338	-0.454235	0.849077	0.720931	7
41	ID100	0.652032	-0.843550	0.711577	4
42	ID350	-0.491418	0.835790	0.698544	4
43	ID151	-0.237948	0.819114	0.670947	10
44	ID306	-0.773614	0.816339	0.666409	5
45	ID023	-0.586073	0.805161	0.648285	6
46	ID060	1.572420	-0.802698	0.644324	6
47	ID249	0.535361	-0.800636	0.641017	6
48	ID116	1.183753	-0.789353	0.623078	5
49	ID317	0.473459	-0.780213	0.608732	2
50	ID112	-1.312495	0.767434	0.588954	1
51	ID351	-0.455514	0.757714	0.574130	4
52	ID187	1.037034	-0.752237	0.565861	5
53	ID038	0.014969	-0.751724	0.565089	1
54	ID209	1.316324	-0.751256	0.564385	3
55	ID205	0.811237	-0.747561	0.558848	8
56	ID207	-0.399180	0.740142	0.547811	7
