Predicted model errors in decreasing order for 364 samples (reliability (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.934430	1.963774	3.856410	1
2	ID040	1.485981	-1.609789	2.591421	5
3	ID362	-1.884607	1.510596	2.281899	10
4	ID364	-1.463097	1.475926	2.178359	10
5	ID269	1.648160	-1.425656	2.032495	8
6	ID192	-2.105735	1.346938	1.814243	7
7	ID111	0.630441	-1.337066	1.787747	6
8	ID124	1.083597	-1.299254	1.688061	5
9	ID119	1.160197	-1.265583	1.601700	9
10	ID177	2.207899	-1.158075	1.341138	8
11	ID332	-2.353179	1.156077	1.336513	10
12	ID338	-0.454235	1.148991	1.320181	7
13	ID181	-1.454880	1.142655	1.305660	8
14	ID115	-0.305566	1.117987	1.249894	7
15	ID038	0.014969	-1.093646	1.196062	1
16	ID190	-0.927155	1.091245	1.190817	1
17	ID199	1.509720	-1.071354	1.147798	1
18	ID147part1of2	-0.973414	1.056362	1.115901	4
19	ID349	1.700052	-1.018762	1.037876	10
20	ID257	0.551571	-1.011078	1.022278	8
21	ID004	1.640408	-1.001735	1.003472	7
22	ID087	-1.184395	1.000675	1.001350	10
23	ID289	-1.064193	0.999800	0.999600	5
24	ID143	0.062813	0.981766	0.963864	2
25	ID150	-1.577578	0.966163	0.933471	1
26	ID250	-0.046142	-0.960519	0.922597	10
27	ID291	0.346496	-0.958767	0.919235	10
28	ID226	0.999952	-0.952424	0.907112	2
29	ID093part3of5	-0.545910	0.949856	0.902227	4
30	ID207	-0.399180	0.928155	0.861471	7
31	ID103	1.992167	-0.914892	0.837028	9
32	ID099	0.488543	-0.913928	0.835264	3
33	ID015	-0.937288	0.904064	0.817332	7
34	ID350	-0.491418	0.899703	0.809465	4
35	ID328	-0.354695	0.893796	0.798872	8
36	ID309	0.154967	-0.882580	0.778947	8
37	ID133	0.726089	-0.873218	0.762510	2
38	ID365	-1.266115	0.872966	0.762070	7
39	ID188	0.526385	-0.872428	0.761131	8
40	ID293	0.730981	-0.868369	0.754065	5
41	ID071	-0.643685	0.864847	0.747960	6
42	ID151	-0.237948	0.859849	0.739341	10
43	ID084	0.463789	-0.853812	0.728996	5
44	ID187	1.037034	-0.852510	0.726773	5
45	ID331part3of4	0.803760	-0.848708	0.720305	1
46	ID016	0.998112	-0.837754	0.701831	6
47	ID366	-1.696430	0.830540	0.689796	9
48	ID100	0.652032	-0.828526	0.686456	4
49	ID023	-0.586073	0.824110	0.679157	6
50	ID116	1.183753	-0.803029	0.644856	5
51	ID333	0.159578	-0.802249	0.643604	5
52	ID141	-1.367803	0.797094	0.635359	5
53	ID060	1.572420	-0.791176	0.625960	6
54	ID351	-0.455514	0.783080	0.613215	4
55	ID219	0.491762	-0.780857	0.609738	7
56	ID306	-0.773614	0.763037	0.582225	5
57	ID327	-0.185635	0.751273	0.564411	9
58	ID117	0.135619	0.749286	0.561429	3
59	ID174	0.021775	0.745700	0.556068	5
60	ID225	1.051387	-0.740674	0.548599	6
61	ID318	-1.995367	0.737927	0.544536	1
62	ID123	-2.801978	0.736979	0.543139	7
63	ID205	0.811237	-0.729707	0.532472	8
64	ID077	0.535275	-0.719940	0.518314	3
65	ID203	0.397193	0.715279	0.511624	5
66	ID261	1.209496	-0.714449	0.510438	5
67	ID302	-1.231094	0.712187	0.507211	4
68	ID263	1.146782	-0.708397	0.501827	8
69	ID209	1.316324	-0.707858	0.501063	3
70	ID194	-0.289981	0.702182	0.493059	7
71	ID287	-0.691018	0.701893	0.492654	5
72	ID230	0.135304	0.693626	0.481117	10
73	ID185	0.598735	-0.688497	0.474029	3
74	ID168	-0.995315	0.686376	0.471112	2
75	ID085	1.219226	-0.683874	0.467684	6
76	ID340	-1.266131	0.678404	0.460232	5
77	ID108	-0.990841	0.675151	0.455829	1
78	ID272	-0.956492	0.674198	0.454543	1
79	ID249	0.535361	-0.668674	0.447125	6
80	ID361	-0.081826	-0.668395	0.446752	4
81	ID027	0.506118	-0.665798	0.443287	7
82	ID243	1.146978	-0.659036	0.434329	1
83	ID169	-0.209679	0.654731	0.428672	6
84	ID162	-0.178973	-0.647412	0.419143	4
85	ID252	0.239584	0.647231	0.418907	1
86	ID303	-1.564980	0.643062	0.413528	9
87	ID020part1of4	-0.319197	-0.635944	0.404425	1
88	ID041part1of2	-0.911734	0.634678	0.402816	6
89	ID082	-1.325467	0.632664	0.400264	9
90	ID278	-1.577531	0.630033	0.396942	9
91	ID290	-0.973608	-0.629817	0.396669	3
92	ID316	-0.339070	0.629571	0.396360	1
93	ID305	-0.840419	0.628503	0.395015	8
94	ID112	-1.312495	0.622415	0.387400	1
95	ID088	0.615710	0.620351	0.384836	3
96	ID322	-1.041343	0.617136	0.380857	1
97	ID301	0.133086	-0.616812	0.380457	7
98	ID224	0.692888	0.607052	0.368512	7
99	ID118	0.078984	-0.605616	0.366770	5
100	ID172	-1.046541	-0.601548	0.361860	2
101	ID286	-0.513974	-0.597217	0.356668	5
102	ID368	-1.370795	0.594014	0.352852	6
103	ID051	0.566053	-0.586078	0.343488	7
104	ID244	1.180121	-0.576898	0.332811	3
105	ID274	-1.452685	0.570507	0.325478	8
106	ID317	0.473459	-0.567885	0.322494	2
107	ID157	-0.031681	-0.566727	0.321180	2
108	ID231	-0.581268	0.564166	0.318284	9
109	ID105	-0.031509	-0.560544	0.314210	2
110	ID128	-0.564637	0.560527	0.314191	2
111	ID092	0.707169	-0.557425	0.310723	7
112	ID130	-0.485709	0.554118	0.307047	4
113	ID056	-0.250590	0.549435	0.301879	3
114	ID217	1.010806	-0.549407	0.301848	2
115	ID068	0.381372	-0.547580	0.299844	4
116	ID020part4of4	-1.488363	0.543257	0.295128	9
117	ID285	-1.489841	0.543236	0.295106	10
118	ID089	-0.993336	0.541254	0.292956	9
119	ID196	0.096101	0.540798	0.292462	10
120	ID145	-0.689369	0.539506	0.291066	4
121	ID070	0.225612	0.533528	0.284652	9
122	ID173	-1.267789	-0.529704	0.280586	5
123	ID033	-0.260858	0.529233	0.280088	2
124	ID018	-0.230406	0.528419	0.279227	8
125	ID240	1.104234	-0.528383	0.279188	3
126	ID331part2of4	0.276895	-0.527949	0.278731	1
127	ID277	-1.760559	0.527427	0.278179	1
128	ID267	0.459433	-0.520804	0.271237	8
129	ID312	1.255723	-0.511909	0.262050	8
130	ID315	-0.615645	0.509432	0.259521	10
131	ID167	-0.002187	-0.501062	0.251063	10
132	ID297part3of3	-0.934464	0.495603	0.245623	6
133	ID058	0.819517	0.485150	0.235370	2
134	ID189	0.131020	0.482767	0.233064	1
135	ID137part1of2	0.345886	-0.478703	0.229157	6
136	ID002	1.202998	-0.468128	0.219144	1
137	ID292	-0.334933	0.467235	0.218309	5
138	ID138	-1.501189	0.456882	0.208741	3
139	ID022	0.866244	0.453508	0.205669	8
140	ID348	0.111668	-0.443654	0.196829	3
141	ID335	0.010672	-0.441252	0.194703	4
142	ID331part4of4	-0.131005	0.439952	0.193558	8
143	ID158	-0.714560	0.438298	0.192105	2
144	ID086	0.683714	-0.437684	0.191567	3
145	ID135	-0.211214	0.436129	0.190208	2
146	ID300	0.795789	-0.433682	0.188080	1
147	ID220	0.916974	-0.432553	0.187102	8
148	ID304	-1.013772	-0.430443	0.185281	7
149	ID260	0.488584	0.427698	0.182925	10
150	ID013	0.736557	-0.426566	0.181959	6
151	ID241	1.110726	-0.425195	0.180791	6
152	ID179	0.020761	0.425075	0.180688	6
153	ID297part2of3	0.432143	-0.422159	0.178218	9
154	ID083part1of2	0.260871	0.420541	0.176855	10
155	ID319	-0.699639	0.419991	0.176393	8
156	ID076	-0.779283	-0.419721	0.176165	3
157	ID041part2of2	-1.153221	0.416780	0.173706	3
158	ID139	-0.253695	-0.412982	0.170554	6
159	ID037	0.541817	-0.407031	0.165674	5
160	ID001	0.291211	0.403199	0.162569	3
161	ID095	0.686979	-0.401939	0.161555	4
162	ID010	0.851159	0.400292	0.160234	3
163	ID201	0.715980	-0.397759	0.158213	8
164	ID020part2of4	-0.285396	-0.395763	0.156628	1
165	ID341	-0.428647	0.391627	0.153372	5
166	ID074	-1.209835	0.388117	0.150635	1
167	ID284	-0.582916	0.387233	0.149950	3
168	ID113	-0.926358	0.385903	0.148921	4
169	ID066	-0.336944	-0.381838	0.145800	2
170	ID144	0.750231	-0.380863	0.145056	6
171	ID202	1.472062	-0.379823	0.144266	4
172	ID176	-0.473447	0.375951	0.141339	4
173	ID184	-0.102784	-0.374353	0.140140	9
174	ID160	-0.846101	0.372642	0.138862	1
175	ID371	-0.175818	-0.369429	0.136477	3
176	ID030	0.757508	-0.368517	0.135805	10
177	ID047	-0.571732	0.368114	0.135508	8
178	ID238	0.868289	0.364900	0.133152	8
179	ID281	-0.300943	-0.362089	0.131108	2
180	ID161	0.603282	-0.360900	0.130249	4
181	ID052	-0.332518	0.360691	0.130098	5
182	ID253	0.839278	-0.360430	0.129910	2
183	ID142	-0.119829	-0.350607	0.122925	2
184	ID149	-1.162138	0.348734	0.121616	4
185	ID352	0.246954	0.347209	0.120554	9
186	ID164	-0.557577	-0.343534	0.118016	7
187	ID330	-0.308166	-0.343451	0.117958	7
188	ID081	0.381162	-0.340826	0.116162	6
189	ID298	0.568632	-0.337620	0.113987	2
190	ID009	0.717663	-0.336831	0.113455	5
191	ID021	0.189271	-0.334354	0.111792	4
192	ID165	-0.601167	0.333057	0.110927	2
193	ID195	0.878949	-0.331325	0.109776	8
194	ID266	0.965024	-0.330937	0.109520	10
195	ID265	1.170844	-0.324386	0.105227	2
196	ID049	-0.637942	0.321941	0.103646	7
197	ID091	1.149038	0.320828	0.102931	4
198	ID236	1.073383	-0.320765	0.102890	6
199	ID045	-0.306068	0.320338	0.102617	4
200	ID148	0.011917	0.318560	0.101480	5
201	ID129	0.685704	-0.318178	0.101237	3
202	ID122	1.401499	-0.309730	0.095933	5
203	ID262	1.069705	-0.305835	0.093535	7
204	ID234	0.515112	-0.302750	0.091657	7
205	ID288	-0.682743	-0.298965	0.089380	6
206	ID029	0.369115	-0.296527	0.087928	10
207	ID239	-0.751700	0.294898	0.086965	10
208	ID120	0.801856	-0.286636	0.082160	4
209	ID314	0.607186	-0.284081	0.080702	3
210	ID044	-0.186495	-0.280785	0.078840	4
211	ID294	-0.726364	0.280356	0.078600	8
212	ID083part2of2	0.450921	0.277893	0.077225	9
213	ID297part1of3	0.323805	-0.276611	0.076514	5
214	ID109	0.994087	-0.276603	0.076509	2
215	ID313	-0.665269	0.274532	0.075368	7
216	ID275	-0.121411	-0.274529	0.075366	3
217	ID153	-0.756298	0.270638	0.073245	1
218	ID012	0.058368	-0.270631	0.073241	1
219	ID307	-0.662198	-0.266252	0.070890	2
220	ID159	-0.052658	-0.263920	0.069654	5
221	ID245	0.447128	-0.260899	0.068068	6
222	ID282	1.141729	-0.254200	0.064617	3
223	ID233	-0.058094	-0.253232	0.064126	8
224	ID296	-0.989391	0.250298	0.062649	3
225	ID182	0.254529	-0.249887	0.062444	7
226	ID264	-0.468903	-0.249267	0.062134	8
227	ID295	-0.913112	0.246205	0.060617	1
228	ID106	0.169454	-0.242323	0.058720	2
229	ID024	-0.219419	-0.242216	0.058669	2
230	ID035	-0.269768	-0.237483	0.056398	1
231	ID204	1.094194	-0.234870	0.055164	6
232	ID046	-0.482333	-0.233832	0.054677	9
233	ID019	-0.925501	-0.231448	0.053568	2
234	ID334	-0.531248	-0.230058	0.052927	2
235	ID064	0.934748	0.230057	0.052926	4
236	ID127	0.752235	-0.229797	0.052807	9
237	ID107	1.021946	0.229631	0.052730	5
238	ID104	0.696378	-0.229018	0.052449	6
239	ID062	0.805747	0.224330	0.050324	1
240	ID053	0.952944	-0.223853	0.050110	4
241	ID054	0.402976	0.222708	0.049599	3
242	ID208	0.976371	-0.222100	0.049328	2
243	ID216	0.993514	-0.219051	0.047983	7
244	ID154	-0.627654	-0.218730	0.047843	1
245	ID198	1.113908	0.217373	0.047251	7
246	ID251	0.371956	-0.217087	0.047127	9
247	ID072	-0.499724	0.216979	0.047080	8
248	ID156	-1.279951	0.216227	0.046754	4
249	ID011	1.129977	-0.215701	0.046527	6
