Predicted model errors in decreasing order for 364 samples (sentiment (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID316	-0.918507	1.384574	1.917046	1
2	ID351	-1.176407	1.282056	1.643668	4
3	ID303	0.698595	-1.187154	1.409336	9
4	ID016	0.913980	-1.169788	1.368404	6
5	ID093part3of5	-1.019376	1.151339	1.325582	4
6	ID238	-0.351190	1.139658	1.298820	8
7	ID096	-1.449626	1.102417	1.215324	1
8	ID015	-1.427678	1.089419	1.186834	7
9	ID108	-1.695406	1.044875	1.091765	1
10	ID367	-0.494601	1.037725	1.076874	3
11	ID099	1.291206	-1.035912	1.073114	3
12	ID361	1.298197	-1.027234	1.055209	4
13	ID044	0.874940	-1.025970	1.052614	4
14	ID147part1of2	-1.454508	1.025838	1.052343	4
15	ID297part3of3	-1.640694	1.025178	1.050990	6
16	ID014	1.383074	-1.022708	1.045932	3
17	ID189	-1.006214	1.018043	1.036412	1
18	ID206	-0.527116	1.015171	1.030572	9
19	ID100	1.017275	-1.013203	1.026581	4
20	ID066	0.659473	-1.008020	1.016104	2
21	ID179	-0.804737	0.995099	0.990223	6
22	ID338	1.263804	-0.961589	0.924654	7
23	ID330	1.211659	-0.957161	0.916156	7
24	ID078	-1.550085	0.930486	0.865803	5
25	ID087	-0.915730	0.927273	0.859834	10
26	ID171	0.320779	-0.925883	0.857260	6
27	ID112	-0.732524	0.915148	0.837495	1
28	ID292	-0.801270	0.910621	0.829230	5
29	ID119	0.511792	-0.910197	0.828458	9
30	ID173	-0.935899	0.902070	0.813731	5
31	ID322	-1.757882	0.891395	0.794585	1
32	ID353	-2.107351	0.889935	0.791985	1
33	ID168	-1.091189	0.888939	0.790213	2
34	ID002	1.271981	-0.874626	0.764971	1
35	ID024	-0.763644	0.869832	0.756608	2
36	ID296	-1.890617	0.869277	0.755643	3
37	ID331part4of4	-1.061270	0.860866	0.741091	8
38	ID364	-1.757511	0.860166	0.739885	10
39	ID067	0.624269	-0.858059	0.736266	10
40	ID344	0.709433	-0.843795	0.711990	6
41	ID320	0.100274	-0.817247	0.667893	8
42	ID152part1of2	-2.243102	0.804847	0.647779	4
43	ID278	0.050254	-0.801709	0.642737	9
44	ID369	-1.619970	0.796355	0.634181	4
45	ID331part2of4	0.664629	-0.795929	0.633503	1
46	ID194	-0.644692	0.792520	0.628088	7
47	ID273	0.297235	-0.787556	0.620245	7
48	ID295	-1.852783	0.767829	0.589561	1
49	ID122	0.538479	-0.749910	0.562366	5
50	ID047	0.446435	-0.746737	0.557616	8
51	ID071	0.402416	0.742298	0.551007	6
52	ID201	0.146522	-0.732642	0.536765	8
53	ID162	0.191141	-0.730249	0.533264	4
54	ID128	-1.272953	0.726432	0.527703	2
55	ID077	-0.213777	-0.721417	0.520443	3
56	ID198	0.190447	-0.720644	0.519327	7
57	ID018	-0.789005	0.719471	0.517639	8
58	ID241	1.017164	-0.714195	0.510074	6
59	ID134	1.055597	-0.692539	0.479611	2
60	ID230	0.888010	-0.690982	0.477456	10
61	ID212	0.384299	-0.690096	0.476232	4
62	ID332	0.980910	-0.681361	0.464253	10
63	ID248	0.382159	-0.678497	0.460358	2
64	ID006	0.282194	-0.675905	0.456847	4
65	ID076	-1.547705	0.673121	0.453092	3
66	ID164	0.493672	-0.670930	0.450147	7
67	ID337part2of2	0.549073	-0.667516	0.445578	1
68	ID368	-2.155857	0.665894	0.443415	6
69	ID155	-1.373324	0.664495	0.441554	6
70	ID023	-0.747494	0.660726	0.436559	6
71	ID080	-1.522662	0.641041	0.410933	4
72	ID011	-0.442075	0.639851	0.409410	6
73	ID017	-1.324716	0.639643	0.409144	2
74	ID311	1.193927	-0.633691	0.401564	2
75	ID234	0.524354	-0.633508	0.401333	7
76	ID318	-2.763291	0.633470	0.401285	1
77	ID133	0.503522	-0.623130	0.388291	2
78	ID287	-0.446071	0.618891	0.383026	5
79	ID328	0.383750	0.611966	0.374502	8
80	ID350	0.345821	-0.605238	0.366313	4
81	ID192	-0.884735	0.604548	0.365478	7
82	ID159	0.152470	-0.587736	0.345433	5
83	ID094	-0.650279	0.578258	0.334382	6
84	ID020part1of4	-1.683154	0.578004	0.334089	1
85	ID167	0.813440	-0.577624	0.333649	10
86	ID226	0.761836	-0.571589	0.326714	2
87	ID025	-0.609425	-0.570024	0.324927	4
88	ID020part3of4	-1.653725	0.567809	0.322407	6
89	ID040	0.860977	-0.564718	0.318907	5
90	ID136	0.490009	-0.564108	0.318218	4
91	ID056	0.034954	0.560198	0.313822	3
92	ID160	-0.735867	0.558933	0.312406	1
93	ID156	-1.132313	0.557199	0.310471	4
94	ID197	0.989143	-0.555351	0.308414	9
95	ID334	0.193598	-0.554746	0.307743	2
96	ID163	-1.030454	0.554450	0.307415	4
97	ID059	0.225689	-0.551876	0.304568	7
98	ID223	-0.143175	0.551235	0.303860	1
99	ID299part1of2	0.236089	-0.535113	0.286346	9
100	ID082	0.475495	0.529008	0.279850	9
