Predicted model errors in decreasing order for 364 samples (sentiment (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID316	-0.918507	1.316825	1.734029	1
2	ID351	-1.176407	1.248086	1.557718	4
3	ID303	0.698595	-1.162037	1.350330	9
4	ID099	1.291206	-1.130573	1.278196	3
5	ID238	-0.351190	1.129616	1.276033	8
6	ID014	1.383074	-1.108637	1.229077	3
7	ID093part3of5	-1.019376	1.103007	1.216625	4
8	ID016	0.913980	-1.097971	1.205540	6
9	ID108	-1.695406	1.074907	1.155425	1
10	ID096	-1.449626	1.070761	1.146529	1
11	ID189	-1.006214	1.062249	1.128373	1
12	ID147part1of2	-1.454508	1.050228	1.102979	4
13	ID206	-0.527116	1.038603	1.078697	9
14	ID015	-1.427678	1.032877	1.066835	7
15	ID353	-2.107351	1.023373	1.047293	1
16	ID367	-0.494601	1.015363	1.030962	3
17	ID361	1.298197	-1.009474	1.019037	4
18	ID322	-1.757882	0.993319	0.986683	1
19	ID297part3of3	-1.640694	0.986532	0.973246	6
20	ID364	-1.757511	0.982359	0.965029	10
21	ID078	-1.550085	0.968930	0.938825	5
22	ID330	1.211659	-0.961138	0.923787	7
23	ID331part4of4	-1.061270	0.957590	0.916979	8
24	ID024	-0.763644	0.938818	0.881379	2
25	ID134	1.055597	-0.935264	0.874719	2
26	ID296	-1.890617	0.924081	0.853926	3
27	ID168	-1.091189	0.912243	0.832188	2
28	ID318	-2.763291	0.908552	0.825467	1
29	ID044	0.874940	-0.896787	0.804227	4
30	ID087	-0.915730	0.891756	0.795228	10
31	ID112	-0.732524	0.883812	0.781123	1
32	ID338	1.263804	-0.881407	0.776878	7
33	ID100	1.017275	-0.873509	0.763018	4
34	ID331part2of4	0.664629	-0.871475	0.759468	1
35	ID295	-1.852783	0.840045	0.705675	1
36	ID173	-0.935899	0.838635	0.703309	5
37	ID179	-0.804737	0.831221	0.690929	6
38	ID171	0.320779	-0.830955	0.690487	6
39	ID369	-1.619970	0.830314	0.689421	4
40	ID292	-0.801270	0.814819	0.663930	5
41	ID002	1.271981	-0.810524	0.656950	1
42	ID273	0.297235	-0.810313	0.656608	7
43	ID152part1of2	-2.243102	0.809606	0.655462	4
44	ID094	-0.650279	0.808681	0.653965	6
45	ID040	0.860977	-0.806685	0.650741	5
46	ID344	0.709433	-0.804822	0.647739	6
47	ID230	0.888010	-0.801244	0.641992	10
48	ID194	-0.644692	0.794319	0.630943	7
49	ID066	0.659473	-0.783631	0.614077	2
50	ID278	0.050254	-0.782885	0.612909	9
51	ID067	0.624269	-0.782374	0.612109	10
52	ID320	0.100274	-0.771145	0.594665	8
53	ID119	0.511792	-0.756191	0.571826	9
54	ID128	-1.272953	0.755320	0.570508	2
55	ID162	0.191141	-0.747313	0.558477	4
56	ID023	-0.747494	0.746673	0.557521	6
57	ID047	0.446435	-0.732700	0.536849	8
58	ID018	-0.789005	0.717468	0.514761	8
59	ID155	-1.373324	0.711184	0.505782	6
60	ID133	0.503522	-0.706492	0.499131	2
61	ID006	0.282194	-0.696321	0.484862	4
62	ID071	0.402416	0.692574	0.479659	6
63	ID368	-2.155857	0.690228	0.476415	6
64	ID332	0.980910	-0.685516	0.469932	10
65	ID163	-1.030454	0.684681	0.468788	4
66	ID017	-1.324716	0.674209	0.454558	2
67	ID192	-0.884735	0.662179	0.438481	7
68	ID077	-0.213777	-0.659165	0.434498	3
69	ID122	0.538479	-0.657181	0.431887	5
