Predicted model errors in decreasing order for 364 samples (sentiment (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID316	-0.918507	1.404432	1.972428	1
2	ID093part3of5	-1.019376	1.311727	1.720629	4
3	ID351	-1.176407	1.283510	1.647399	4
4	ID096	-1.449626	1.217098	1.481327	1
5	ID238	-0.351190	1.170640	1.370398	8
6	ID303	0.698595	-1.146226	1.313835	9
7	ID014	1.383074	-1.124182	1.263786	3
8	ID099	1.291206	-1.117198	1.248131	3
9	ID361	1.298197	-1.114106	1.241232	4
10	ID367	-0.494601	1.101934	1.214259	3
11	ID330	1.211659	-1.070572	1.146125	7
12	ID044	0.874940	-1.067114	1.138733	4
13	ID016	0.913980	-1.060589	1.124849	6
14	ID189	-1.006214	1.046186	1.094506	1
15	ID206	-0.527116	1.028986	1.058811	9
16	ID087	-0.915730	1.016252	1.032769	10
17	ID108	-1.695406	1.004940	1.009904	1
18	ID015	-1.427678	1.000065	1.000130	7
19	ID147part1of2	-1.454508	0.989122	0.978362	4
20	ID322	-1.757882	0.987215	0.974594	1
21	ID297part3of3	-1.640694	0.971050	0.942938	6
22	ID168	-1.091189	0.951554	0.905456	2
23	ID066	0.659473	-0.947886	0.898488	2
24	ID078	-1.550085	0.947677	0.898092	5
25	ID100	1.017275	-0.942078	0.887510	4
26	ID364	-1.757511	0.925469	0.856493	10
27	ID179	-0.804737	0.915210	0.837609	6
28	ID024	-0.763644	0.911785	0.831352	2
29	ID112	-0.732524	0.889147	0.790583	1
30	ID331part2of4	0.664629	-0.885873	0.784770	1
31	ID171	0.320779	-0.883125	0.779909	6
32	ID296	-1.890617	0.869656	0.756302	3
33	ID353	-2.107351	0.866006	0.749967	1
34	ID067	0.624269	-0.863773	0.746103	10
35	ID292	-0.801270	0.862942	0.744669	5
36	ID344	0.709433	-0.850966	0.724144	6
37	ID295	-1.852783	0.846710	0.716918	1
38	ID119	0.511792	-0.846535	0.716621	9
39	ID338	1.263804	-0.839704	0.705102	7
40	ID173	-0.935899	0.828301	0.686082	5
41	ID331part4of4	-1.061270	0.824858	0.680390	8
42	ID162	0.191141	-0.816705	0.667007	4
43	ID152part1of2	-2.243102	0.805666	0.649097	4
44	ID134	1.055597	-0.801013	0.641621	2
45	ID194	-0.644692	0.799313	0.638901	7
46	ID320	0.100274	-0.789976	0.624062	8
47	ID128	-1.272953	0.788794	0.622196	2
48	ID332	0.980910	-0.781151	0.610197	10
49	ID278	0.050254	-0.781054	0.610046	9
50	ID198	0.190447	-0.779529	0.607666	7
51	ID334	0.193598	-0.775822	0.601900	2
52	ID047	0.446435	-0.769556	0.592217	8
53	ID273	0.297235	-0.760093	0.577742	7
54	ID018	-0.789005	0.757826	0.574300	8
55	ID002	1.271981	-0.750442	0.563162	1
56	ID077	-0.213777	-0.743732	0.553137	3
57	ID133	0.503522	-0.725830	0.526829	2
58	ID369	-1.619970	0.724992	0.525613	4
59	ID122	0.538479	-0.724912	0.525498	5
60	ID287	-0.446071	0.722528	0.522047	5
61	ID023	-0.747494	0.705993	0.498426	6
62	ID241	1.017164	-0.688125	0.473516	6
63	ID201	0.146522	-0.685027	0.469262	8
64	ID071	0.402416	0.677651	0.459211	6
65	ID011	-0.442075	0.663183	0.439811	6
66	ID020part3of4	-1.653725	0.662538	0.438957	6
67	ID212	0.384299	-0.652883	0.426256	4
68	ID192	-0.884735	0.649345	0.421649	7
69	ID337part2of2	0.549073	-0.645759	0.417005	1
70	ID230	0.888010	-0.641818	0.411930	10
71	ID080	-1.522662	0.628546	0.395070	4
72	ID006	0.282194	-0.627768	0.394093	4
73	ID020part1of4	-1.683154	0.625721	0.391527	1
74	ID021	1.460763	-0.623533	0.388794	4
75	ID076	-1.547705	0.615532	0.378880	3
76	ID155	-1.373324	0.615203	0.378474	6
77	ID159	0.152470	-0.607921	0.369568	5
78	ID163	-1.030454	0.598738	0.358487	4
79	ID328	0.383750	0.594298	0.353190	8
80	ID318	-2.763291	0.590242	0.348385	1
81	ID094	-0.650279	0.589653	0.347691	6
