Predicted model errors in decreasing order for 364 samples (subjectivity (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID014	-1.752093	1.660725	2.758007	3
2	ID261	1.623284	-1.583779	2.508358	5
3	ID317	1.423511	-1.558682	2.429488	2
4	ID145	-1.453284	1.515354	2.296299	4
5	ID189	-1.113586	1.494559	2.233706	1
6	ID338	-0.703049	1.444911	2.087767	7
7	ID318	-2.052023	1.423349	2.025921	1
8	ID069	-0.471063	1.399346	1.958170	7
9	ID147part1of2	-1.093953	1.363434	1.858953	4
10	ID349	1.568571	-1.252257	1.568149	10
11	ID084	0.969232	-1.251696	1.566743	5
12	ID015	-1.479443	1.235602	1.526713	7
13	ID100	1.120595	-1.225037	1.500716	4
14	ID180	0.128019	-1.130318	1.277619	3
15	ID332	-1.956313	1.130046	1.277003	10
16	ID087	-0.786500	1.127653	1.271601	10
17	ID297part3of3	-1.033311	1.108431	1.228619	6
18	ID150	-1.175490	1.103815	1.218408	1
19	ID353	-1.914586	1.089168	1.186287	1
20	ID350	-0.957192	1.086346	1.180148	4
21	ID060	1.786437	-1.070644	1.146278	6
22	ID119	1.498899	-1.051621	1.105908	9
23	ID116	1.249250	-1.033711	1.068558	5
24	ID286	-0.452826	-1.028070	1.056927	5
25	ID041part1of2	-1.084653	1.012823	1.025810	6
26	ID040	0.928707	-0.991526	0.983124	5
27	ID096	-1.176981	0.981664	0.963664	1
28	ID330	-0.190574	-0.981131	0.962619	7
29	ID144	1.297853	-0.978068	0.956617	6
30	ID050	-0.754667	0.966962	0.935015	9
31	ID214	-1.350936	0.959442	0.920528	6
32	ID141	-1.433792	0.957215	0.916261	5
33	ID289	-1.079401	0.947448	0.897658	5
34	ID346	-1.735602	0.947253	0.897289	5
35	ID253	-0.456169	0.938011	0.879864	2
36	ID316	-0.194012	0.934986	0.874198	1
37	ID099	0.542058	-0.931141	0.867024	3
38	ID364	-1.030391	0.930667	0.866140	10
39	ID201	0.811948	-0.923001	0.851932	8
40	ID257	0.758869	-0.919610	0.845683	8
41	ID102	0.956150	-0.917935	0.842605	3
42	ID068	0.843867	-0.914757	0.836781	4
43	ID331part3of4	0.973453	-0.911879	0.831524	1
44	ID159	0.175649	-0.902091	0.813768	5
45	ID173	-0.702538	-0.880936	0.776048	5
46	ID111	0.499112	-0.879776	0.774006	6
47	ID081	0.902306	-0.876647	0.768510	6
48	ID181	-1.269133	0.875608	0.766689	8
49	ID285	-1.414181	0.871042	0.758715	10
50	ID074	-1.266963	0.869930	0.756777	1
51	ID331part4of4	-0.822728	0.864092	0.746656	8
52	ID093part3of5	-0.701438	0.855366	0.731651	4
53	ID264	0.298900	-0.853108	0.727794	8
54	ID188	0.815983	-0.846468	0.716508	8
55	ID151	-0.614937	0.839025	0.703963	10
56	ID103	1.642114	-0.839000	0.703922	9
57	ID367	-0.691967	0.835545	0.698136	3
58	ID296	-1.144640	0.833739	0.695121	3
59	ID174	-0.600051	0.832707	0.693401	5
60	ID018	-0.429474	0.832329	0.692771	8
61	ID300	0.709081	-0.820976	0.674001	1
62	ID225	0.475349	-0.818147	0.669364	6
63	ID115	-0.225890	0.808414	0.653532	7
64	ID085	1.766861	-0.802173	0.643481	6
65	ID072	-0.922235	0.795044	0.632094	8
66	ID138	-1.616989	0.785048	0.616300	3
67	ID129	1.382517	-0.777530	0.604553	3
68	ID370	-0.171507	-0.776854	0.603502	5
69	ID269	1.283674	-0.775427	0.601288	8
70	ID308	0.775161	-0.774611	0.600022	1
71	ID294	-1.304141	0.774353	0.599622	8
72	ID226	0.982768	-0.774121	0.599263	2
73	ID282	1.504744	-0.769610	0.592299	3
74	ID208	1.284342	-0.767130	0.588488	2
75	ID177	1.884096	-0.756847	0.572818	8
76	ID192	-1.425272	0.755035	0.570078	7
77	ID122	1.788576	-0.749490	0.561735	5
78	ID322	-1.208074	0.747923	0.559389	1
79	ID309	0.316475	-0.743488	0.552775	8
80	ID134	-1.630459	0.736658	0.542665	2
81	ID143	0.072013	0.732547	0.536624	2
82	ID184	0.058220	-0.720984	0.519819	9
83	ID223	0.577549	0.718701	0.516531	1
84	ID351	-0.360329	0.715685	0.512205	4
85	ID213	1.025387	-0.713278	0.508766	3
86	ID314	0.792901	-0.700839	0.491175	3
87	ID287	-0.436131	0.698533	0.487948	5
88	ID167	0.043189	-0.692643	0.479755	10
89	ID258	0.525261	0.692089	0.478987	5
90	ID071	-0.116235	0.691424	0.478066	6
91	ID333	0.471449	-0.687756	0.473008	5
92	ID310	0.611138	-0.686450	0.471214	4
93	ID327	-0.548869	0.684659	0.468757	9
94	ID209	1.398679	-0.683804	0.467588	3
95	ID325	1.059267	-0.682437	0.465720	3
96	ID152part1of2	-1.503776	0.671838	0.451366	4
97	ID365	-0.933785	0.668369	0.446717	7
98	ID312	0.926899	-0.660627	0.436428	8
99	ID011	1.047923	-0.660372	0.436091	6
100	ID055	1.136000	-0.655565	0.429765	8
101	ID158	-0.731667	0.653840	0.427507	2
102	ID234	0.521315	-0.650570	0.423241	7
103	ID236	0.375735	0.644752	0.415705	6
104	ID336	-1.016828	0.642236	0.412467	8
105	ID302	-0.885921	0.636158	0.404697	4
106	ID194	-0.360814	0.632973	0.400655	7
107	ID262	0.642824	0.626712	0.392767	7
108	ID003	-0.254073	0.625624	0.391406	10
109	ID020part1of4	-1.481375	0.615883	0.379312	1
110	ID109	1.169403	-0.612377	0.375006	2
111	ID293	0.318635	-0.610164	0.372301	5
112	ID035	0.725440	-0.609559	0.371562	1
113	ID128	-0.974015	0.608789	0.370624	2
114	ID054	1.099709	-0.608729	0.370552	3
115	ID292	-0.224983	0.604409	0.365310	5
116	ID224	0.405913	0.603996	0.364811	7
117	ID048	0.782198	-0.602000	0.362404	3
118	ID118	-0.433816	0.598993	0.358792	5
119	ID337part1of2	0.428831	-0.596906	0.356297	9
120	ID265	1.499338	-0.596098	0.355332	2
121	ID249	0.522701	-0.594475	0.353400	6
122	ID009	0.690987	-0.589765	0.347823	5
123	ID008	-0.266289	0.588446	0.346269	5
124	ID371	0.366205	-0.586826	0.344365	3
125	ID039	0.971849	-0.586696	0.344212	9
126	ID017	-1.075684	0.585424	0.342721	2
127	ID097	1.206033	-0.582568	0.339386	5
128	ID053	1.389491	-0.575795	0.331540	4
129	ID023	-0.231817	0.573241	0.328606	6
130	ID153	-1.103590	0.564200	0.318322	1
131	ID168	-0.753447	0.563980	0.318074	2
132	ID020part2of4	-1.149743	0.561756	0.315570	1
133	ID112	-1.052712	0.561091	0.314823	1
134	ID136	-0.498512	0.552842	0.305634	4
135	ID124	0.870302	-0.546838	0.299032	5
136	ID121	-0.140083	-0.546414	0.298569	7
137	ID303	-1.599517	0.542776	0.294606	9
138	ID169	-0.203498	0.540952	0.292630	6
139	ID045	-0.641980	0.540246	0.291866	4
140	ID149	-0.880744	0.530203	0.281115	4
141	ID297part2of3	0.469466	-0.529769	0.280656	9
142	ID205	0.496694	-0.524567	0.275170	8
143	ID001	0.387675	0.523136	0.273671	3
144	ID202	1.298563	-0.522515	0.273022	4
145	ID362	-0.777210	0.521361	0.271818	10
146	ID171	-1.004800	0.513999	0.264195	6
147	ID120	0.925091	-0.513339	0.263517	4
148	ID242	0.329774	0.511315	0.261443	3
149	ID130	-0.219617	0.509100	0.259183	4
150	ID217	0.601095	-0.506709	0.256754	2
151	ID219	-0.267154	0.501475	0.251477	7
152	ID347	-0.674844	0.500692	0.250692	1
153	ID094	0.857098	-0.499397	0.249397	6
154	ID004	1.319660	-0.496637	0.246649	7
155	ID093part5of5	-0.917258	0.496062	0.246078	4
156	ID340	-0.458081	0.494792	0.244819	5
157	ID133	0.428550	-0.494153	0.244187	2
158	ID101	-0.190460	-0.490999	0.241080	2
159	ID056	0.407071	-0.481847	0.232176	3
160	ID331part1of4	0.716050	-0.481269	0.231620	3
161	ID229	0.657023	-0.481191	0.231545	3
162	ID179	0.076986	0.474529	0.225178	6
163	ID246	0.693050	0.473682	0.224375	1
164	ID172	-1.282636	0.471455	0.222270	2
165	ID182	0.110226	0.470022	0.220921	7
166	ID277	-0.033400	-0.466506	0.217628	1
167	ID029	0.645546	-0.454949	0.206978	10
168	ID013	0.747490	-0.454215	0.206311	6
169	ID091	0.775706	0.453047	0.205252	4
170	ID321	-0.636473	0.446257	0.199145	1
171	ID341	-0.741822	0.443735	0.196901	5
172	ID331part2of4	0.552893	-0.432507	0.187062	1
173	ID152part2of2	-1.257212	0.431450	0.186149	6
174	ID187	1.196332	-0.431233	0.185962	5
175	ID170	-0.938071	0.426711	0.182082	9
176	ID306	-0.224238	0.425183	0.180781	5
177	ID131	1.057061	-0.425022	0.180644	3
178	ID079	0.402742	-0.422257	0.178301	10
179	ID245	0.127106	-0.414492	0.171804	6
180	ID239	0.175940	-0.414490	0.171802	10
181	ID028part1of2	-0.227232	-0.414244	0.171598	2
182	ID083part1of2	0.834261	-0.406261	0.165048	10
183	ID190	-0.350604	0.391503	0.153275	1
184	ID281	-0.745456	0.391141	0.152991	2
185	ID211	0.718188	-0.387614	0.150245	5
186	ID329	-0.435491	0.387043	0.149802	4
187	ID290	-1.121276	0.381214	0.145324	3
188	ID198	0.667724	0.375960	0.141346	7
189	ID186	0.531256	-0.375723	0.141167	1
190	ID147part2of2	0.244515	-0.373878	0.139785	10
191	ID105	0.156929	-0.372535	0.138782	2
192	ID320	0.545183	-0.369460	0.136500	8
193	ID328	0.519204	-0.368577	0.135849	8
194	ID233	0.122873	-0.360406	0.129893	8
195	ID089	-0.638678	0.359305	0.129100	9
196	ID366	-1.473844	0.357530	0.127828	9
197	ID106	0.604155	-0.356033	0.126759	2
198	ID080	-0.880351	0.351198	0.123340	4
199	ID077	0.040420	-0.349437	0.122107	3
200	ID026	0.977843	-0.348625	0.121539	9
201	ID241	0.928350	-0.344391	0.118605	6
202	ID022	0.859455	0.343257	0.117826	8
203	ID297part1of3	-0.188836	0.341438	0.116580	5
204	ID108	-1.190625	0.337668	0.114020	1
205	ID032	0.616242	-0.324529	0.105319	6
206	ID291	-0.450517	0.320148	0.102495	10
207	ID263	0.615895	-0.311863	0.097258	8
208	ID142	-0.155772	0.310253	0.096257	2
209	ID222	0.514491	-0.307806	0.094745	9
210	ID220	0.937674	-0.305059	0.093061	8
211	ID093part1of5	-0.624006	0.304824	0.092917	7
212	ID137part2of2	-0.383443	0.294354	0.086644	7
213	ID210	0.269010	-0.292826	0.085747	5
214	ID283	-0.042039	-0.292553	0.085587	10
215	ID162	-0.456471	-0.291774	0.085132	4
216	ID252	0.535061	0.290327	0.084290	1
217	ID288	-0.904240	-0.289999	0.084099	6
218	ID139	-0.541447	-0.288368	0.083156	6
219	ID243	0.819668	-0.284641	0.081020	1
220	ID019	-0.944980	-0.281015	0.078970	2
221	ID052	0.108291	0.277074	0.076770	5
222	ID166	0.375598	-0.277062	0.076763	10
223	ID082	-0.687841	0.276122	0.076243	9
224	ID057part1of2	0.054589	-0.275480	0.075889	1
225	ID279	0.890192	-0.273908	0.075026	7
226	ID266	0.684258	-0.272101	0.074039	10
227	ID027	-0.137414	-0.271062	0.073475	7
228	ID275	-0.381317	0.269007	0.072365	3
229	ID334	-0.741782	0.266956	0.071266	2
230	ID041part2of2	-1.031584	0.266569	0.071059	3
231	ID114	0.518319	0.265361	0.070416	6
232	ID076	-0.849924	-0.264095	0.069746	3
233	ID348	-0.435321	0.259965	0.067582	3
234	ID123	-1.661859	0.259522	0.067352	7
235	ID146	-0.121602	-0.251756	0.063381	3
236	ID183	0.290175	0.251455	0.063230	6
237	ID191	0.617435	-0.250353	0.062677	10
238	ID093part2of5	-0.671407	0.247502	0.061257	2
239	ID110	0.721088	-0.245824	0.060429	9
240	ID125	1.077117	-0.239575	0.057396	2
241	ID272	-0.662647	0.237486	0.056400	1
242	ID033	0.167684	-0.235002	0.055226	2
243	ID200	0.404997	0.233336	0.054446	6
244	ID075	-0.897730	0.229919	0.052863	7
245	ID337part2of2	-0.010649	-0.226551	0.051325	1
246	ID002	0.696251	-0.225266	0.050745	1
247	ID185	0.197415	-0.225240	0.050733	3
248	ID113	-0.594399	-0.223208	0.049822	4
249	ID042	0.957099	-0.218520	0.047751	5
250	ID044	-0.436048	-0.218385	0.047692	4
251	ID207	0.521532	-0.212948	0.045347	7
252	ID260	0.550894	-0.209697	0.043973	10
253	ID051	0.153379	-0.206406	0.042604	7
254	ID154	-1.029432	0.202125	0.040854	1
255	ID021	0.245442	-0.201710	0.040687	4
256	ID132	0.283497	0.200855	0.040343	3
257	ID280	0.646310	-0.199292	0.039717	7
258	ID176	0.471776	-0.197970	0.039192	4
