Predicted model errors in decreasing order for 364 samples (subjectivity (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID145	-1.453284	1.627114	2.647499	4
2	ID317	1.423511	-1.574594	2.479345	2
3	ID014	-1.752093	1.493513	2.230583	3
4	ID338	-0.703049	1.457159	2.123313	7
5	ID261	1.623284	-1.451979	2.108243	5
6	ID189	-1.113586	1.379407	1.902764	1
7	ID318	-2.052023	1.340111	1.795898	1
8	ID147part1of2	-1.093953	1.329224	1.766837	4
9	ID349	1.568571	-1.310260	1.716781	10
10	ID150	-1.175490	1.286301	1.654572	1
11	ID084	0.969232	-1.232320	1.518613	5
12	ID069	-0.471063	1.222359	1.494162	7
13	ID015	-1.479443	1.173520	1.377148	7
14	ID332	-1.956313	1.163149	1.352915	10
15	ID100	1.120595	-1.155730	1.335712	4
16	ID297part3of3	-1.033311	1.119093	1.252370	6
17	ID087	-0.786500	1.109315	1.230581	10
18	ID350	-0.957192	1.087032	1.181639	4
19	ID060	1.786437	-1.085269	1.177809	6
20	ID119	1.498899	-1.083541	1.174061	9
21	ID180	0.128019	-1.070056	1.145021	3
22	ID346	-1.735602	1.050901	1.104394	5
23	ID096	-1.176981	1.047349	1.096939	1
24	ID353	-1.914586	1.033781	1.068703	1
25	ID111	0.499112	-1.029296	1.059450	6
26	ID201	0.811948	-1.016667	1.033612	8
27	ID289	-1.079401	1.016528	1.033329	5
28	ID141	-1.433792	0.991082	0.982243	5
29	ID041part1of2	-1.084653	0.987202	0.974568	6
30	ID181	-1.269133	0.978708	0.957869	8
31	ID285	-1.414181	0.971881	0.944552	10
32	ID214	-1.350936	0.965563	0.932312	6
33	ID367	-0.691967	0.955582	0.913137	3
34	ID188	0.815983	-0.943658	0.890490	8
35	ID331part3of4	0.973453	-0.940508	0.884554	1
36	ID144	1.297853	-0.935827	0.875772	6
37	ID050	-0.754667	0.919343	0.845192	9
38	ID300	0.709081	-0.915659	0.838431	1
39	ID286	-0.452826	-0.912108	0.831941	5
40	ID330	-0.190574	-0.911911	0.831581	7
41	ID257	0.758869	-0.904152	0.817491	8
42	ID068	0.843867	-0.898042	0.806479	4
