Predicted model errors in decreasing order for 364 samples (subjectivity (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID145	-1.453284	1.710417	2.925526	4
2	ID317	1.423511	-1.590343	2.529190	2
3	ID261	1.623284	-1.446410	2.092102	5
4	ID189	-1.113586	1.434125	2.056715	1
5	ID318	-2.052023	1.423350	2.025926	1
6	ID349	1.568571	-1.415644	2.004048	10
7	ID014	-1.752093	1.405129	1.974387	3
8	ID338	-0.703049	1.377682	1.898007	7
9	ID150	-1.175490	1.355201	1.836569	1
10	ID147part1of2	-1.093953	1.309315	1.714305	4
11	ID069	-0.471063	1.196854	1.432460	7
12	ID087	-0.786500	1.186230	1.407142	10
13	ID084	0.969232	-1.176198	1.383443	5
14	ID015	-1.479443	1.169297	1.367256	7
15	ID141	-1.433792	1.150941	1.324665	5
16	ID346	-1.735602	1.117064	1.247832	5
17	ID111	0.499112	-1.078661	1.163510	6
18	ID060	1.786437	-1.060719	1.125125	6
19	ID096	-1.176981	1.060326	1.124291	1
20	ID119	1.498899	-1.055597	1.114285	9
21	ID353	-1.914586	1.031476	1.063943	1
22	ID297part3of3	-1.033311	1.027072	1.054877	6
23	ID041part1of2	-1.084653	1.019859	1.040112	6
24	ID214	-1.350936	0.996902	0.993814	6
25	ID180	0.128019	-0.989920	0.979942	3
26	ID285	-1.414181	0.987428	0.975014	10
27	ID331part3of4	0.973453	-0.981983	0.964291	1
28	ID115	-0.225890	0.974244	0.949151	7
29	ID100	1.120595	-0.972007	0.944798	4
30	ID201	0.811948	-0.966823	0.934746	8
31	ID192	-1.425272	0.960041	0.921679	7
32	ID138	-1.616989	0.937758	0.879391	3
33	ID081	0.902306	-0.922012	0.850106	6
34	ID151	-0.614937	0.919438	0.845366	10
35	ID257	0.758869	-0.918324	0.843318	8
36	ID144	1.297853	-0.913034	0.833630	6
37	ID332	-1.956313	0.912218	0.832142	10
38	ID129	1.382517	-0.907273	0.823144	3
39	ID308	0.775161	-0.903221	0.815808	1
40	ID181	-1.269133	0.896202	0.803179	8
41	ID122	1.788576	-0.895024	0.801068	5
42	ID331part4of4	-0.822728	0.891232	0.794295	8
43	ID300	0.709081	-0.886153	0.785267	1
44	ID286	-0.452826	-0.881600	0.777219	5
45	ID174	-0.600051	0.874076	0.764009	5
46	ID040	0.928707	-0.874007	0.763889	5
47	ID050	-0.754667	0.871353	0.759256	9
48	ID289	-1.079401	0.870181	0.757215	5
49	ID367	-0.691967	0.864424	0.747229	3
50	ID116	1.249250	-0.860767	0.740920	5
51	ID253	-0.456169	0.835941	0.698798	2
52	ID085	1.766861	-0.833774	0.695179	6
53	ID099	0.542058	-0.830571	0.689848	3
54	ID188	0.815983	-0.830356	0.689492	8
55	ID225	0.475349	-0.827881	0.685387	6
56	ID102	0.956150	-0.823647	0.678394	3
57	ID316	-0.194012	0.817713	0.668655	1
58	ID074	-1.266963	0.814399	0.663246	1
59	ID103	1.642114	-0.810816	0.657423	9
60	ID364	-1.030391	0.809941	0.656005	10
61	ID310	0.611138	-0.806606	0.650613	4
62	ID350	-0.957192	0.805267	0.648455	4
63	ID226	0.982768	-0.800513	0.640821	2
64	ID309	0.316475	-0.795872	0.633412	8
65	ID159	0.175649	-0.788709	0.622062	5
66	ID269	1.283674	-0.778038	0.605343	8
67	ID093part3of5	-0.701438	0.774030	0.599123	4
68	ID312	0.926899	-0.767587	0.589190	8
69	ID208	1.284342	-0.764758	0.584855	2
70	ID072	-0.922235	0.760344	0.578123	8
71	ID068	0.843867	-0.758807	0.575788	4
72	ID209	1.398679	-0.754946	0.569944	3
73	ID264	0.298900	-0.750649	0.563474	8
74	ID341	-0.741822	0.737584	0.544030	5
75	ID133	0.428550	-0.730905	0.534222	2
76	ID017	-1.075684	0.727672	0.529506	2
77	ID370	-0.171507	-0.723958	0.524116	5
78	ID013	0.747490	-0.709672	0.503634	6
79	ID282	1.504744	-0.708804	0.502403	3
80	ID121	-0.140083	-0.708794	0.502389	7
81	ID365	-0.933785	0.708158	0.501487	7
82	ID048	0.782198	-0.707601	0.500699	3
83	ID158	-0.731667	0.705956	0.498374	2
84	ID097	1.206033	-0.699363	0.489109	5
85	ID177	1.884096	-0.685745	0.470246	8
86	ID035	0.725440	-0.681202	0.464036	1
87	ID330	-0.190574	-0.676850	0.458126	7
88	ID179	0.076986	0.673150	0.453131	6
89	ID236	0.375735	0.671476	0.450881	6
90	ID296	-1.144640	0.670234	0.449214	3
91	ID327	-0.548869	0.668463	0.446843	9
92	ID293	0.318635	-0.667735	0.445870	5
93	ID205	0.496694	-0.662205	0.438516	8
94	ID071	-0.116235	0.662135	0.438423	6
95	ID371	0.366205	-0.660329	0.436034	3
96	ID011	1.047923	-0.659266	0.434631	6
97	ID187	1.196332	-0.658780	0.433991	5
98	ID053	1.389491	-0.658034	0.433009	4
99	ID249	0.522701	-0.656745	0.431314	6
100	ID303	-1.599517	0.653946	0.427646	9
101	ID297part2of3	0.469466	-0.640515	0.410259	9
102	ID331part1of4	0.716050	-0.634989	0.403210	3
103	ID294	-1.304141	0.631865	0.399253	8
104	ID302	-0.885921	0.626581	0.392604	4
105	ID194	-0.360814	0.625515	0.391269	7
106	ID054	1.099709	-0.625343	0.391054	3
107	ID265	1.499338	-0.623330	0.388540	2
108	ID351	-0.360329	0.622807	0.387889	4
109	ID093part1of5	-0.624006	0.621153	0.385831	7
110	ID213	1.025387	-0.616973	0.380655	3
111	ID347	-0.674844	0.616022	0.379483	1
112	ID362	-0.777210	0.612174	0.374757	10
113	ID112	-1.052712	0.609803	0.371859	1
114	ID325	1.059267	-0.607074	0.368539	3
115	ID004	1.319660	-0.604279	0.365153	7
116	ID094	0.857098	-0.598637	0.358366	6
117	ID152part1of2	-1.503776	0.594440	0.353359	4
118	ID336	-1.016828	0.589381	0.347370	8
119	ID262	0.642824	0.589329	0.347309	7
120	ID130	-0.219617	0.588645	0.346502	4
121	ID134	-1.630459	0.585529	0.342844	2
122	ID173	-0.702538	-0.574737	0.330323	5
123	ID055	1.136000	-0.574091	0.329581	8
124	ID167	0.043189	-0.569603	0.324447	10
125	ID143	0.072013	0.567992	0.322615	2
126	ID124	0.870302	-0.555896	0.309021	5
127	ID128	-0.974015	0.546924	0.299126	2
128	ID184	0.058220	-0.545920	0.298029	9
129	ID109	1.169403	-0.539880	0.291470	2
130	ID314	0.792901	-0.535584	0.286850	3
131	ID018	-0.429474	0.534875	0.286092	8
132	ID020part2of4	-1.149743	0.533623	0.284753	1
133	ID224	0.405913	0.530134	0.281042	7
134	ID287	-0.436131	0.527996	0.278780	5
135	ID123	-1.661859	0.523304	0.273847	7
136	ID170	-0.938071	0.520424	0.270841	9
137	ID001	0.387675	0.519198	0.269566	3
138	ID234	0.521315	-0.518020	0.268345	7
139	ID120	0.925091	-0.514429	0.264637	4
140	ID322	-1.208074	0.511907	0.262049	1
141	ID089	-0.638678	0.509787	0.259883	9
142	ID198	0.667724	0.507814	0.257875	7
143	ID093part5of5	-0.917258	0.506701	0.256746	4
144	ID337part1of2	0.428831	-0.506470	0.256512	9
145	ID149	-0.880744	0.505583	0.255614	4
146	ID182	0.110226	0.500327	0.250327	7
147	ID131	1.057061	-0.498380	0.248382	3
148	ID091	0.775706	0.498011	0.248015	4
149	ID321	-0.636473	0.494401	0.244432	1
150	ID217	0.601095	-0.489149	0.239267	2
151	ID105	0.156929	-0.487774	0.237924	2
152	ID277	-0.033400	-0.487252	0.237414	1
153	ID168	-0.753447	0.486483	0.236665	2
154	ID125	1.077117	-0.482904	0.233197	2
155	ID241	0.928350	-0.475828	0.226412	6
156	ID152part2of2	-1.257212	0.475460	0.226062	6
157	ID242	0.329774	0.470568	0.221434	3
158	ID136	-0.498512	0.470247	0.221133	4
159	ID101	-0.190460	-0.469170	0.220120	2
160	ID009	0.690987	-0.465060	0.216280	5
161	ID191	0.617435	-0.455880	0.207826	10
162	ID169	-0.203498	0.445815	0.198751	6
163	ID083part1of2	0.834261	-0.442757	0.196034	10
164	ID008	-0.266289	0.441955	0.195324	5
165	ID118	-0.433816	0.440914	0.194405	5
166	ID039	0.971849	-0.439571	0.193223	9
167	ID331part2of4	0.552893	-0.437767	0.191640	1
168	ID266	0.684258	-0.435491	0.189652	10
169	ID333	0.471449	-0.432955	0.187450	5
170	ID028part1of2	-0.227232	-0.432234	0.186826	2
171	ID172	-1.282636	0.427904	0.183102	2
172	ID292	-0.224983	0.425814	0.181318	5
173	ID108	-1.190625	0.424610	0.180293	1
174	ID082	-0.687841	0.423407	0.179274	9
175	ID222	0.514491	-0.420616	0.176918	9
176	ID211	0.718188	-0.418875	0.175457	5
177	ID207	0.521532	-0.418391	0.175051	7
178	ID233	0.122873	-0.415904	0.172976	8
179	ID137part2of2	-0.383443	0.414758	0.172024	7
