Predicted model errors in decreasing order for 364 samples (textlogic (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-1.704508	1.270913	1.615220	1
2	ID295	-1.242033	0.987890	0.975927	1
3	ID123	-1.597078	0.956386	0.914674	7
4	ID160	-1.051817	0.922955	0.851846	1
5	ID192	-1.016311	0.850012	0.722521	7
6	ID285	-1.014787	0.762920	0.582046	10
7	ID210	-0.454943	0.730767	0.534020	5
8	ID287	-0.607855	0.715325	0.511690	5
9	ID119	0.619374	-0.715076	0.511334	9
10	ID147part1of2	-0.794883	0.714586	0.510633	4
11	ID278	-1.106885	0.700231	0.490323	9
12	ID247	-0.325633	0.686049	0.470663	2
13	ID341	-0.751308	0.675178	0.455865	5
14	ID099	0.565296	-0.662208	0.438519	3
15	ID331part1of4	-0.906166	0.660256	0.435938	3
16	ID149	-0.659003	0.637837	0.406836	4
17	ID269	0.692149	-0.605789	0.366980	8
18	ID252	-0.216898	0.600870	0.361044	1
19	ID087	-0.487344	0.599303	0.359164	10
20	ID226	0.582645	-0.597958	0.357553	2
21	ID238	0.085000	0.597070	0.356492	8
22	ID109	0.732195	-0.588343	0.346148	2
23	ID327	-0.224519	0.585578	0.342902	9
24	ID346	-0.537865	0.580065	0.336475	5
25	ID291	0.412535	-0.579908	0.336293	10
26	ID185	0.468478	-0.577861	0.333923	3
27	ID111	0.366143	-0.563421	0.317443	6
28	ID209	0.459544	-0.559703	0.313267	3
29	ID366	-1.256997	0.550160	0.302676	9
30	ID328	-0.121554	0.534859	0.286074	8
31	ID202	0.773962	-0.532621	0.283685	4
32	ID016	0.394676	-0.526008	0.276684	6
33	ID100	0.440086	-0.525584	0.276239	4
34	ID190	-0.714173	0.525048	0.275675	1
35	ID334	0.181312	-0.519761	0.270152	2
36	ID074	-0.796571	0.516737	0.267017	1
37	ID371	0.122499	-0.513482	0.263664	3
38	ID145	-0.648167	0.512709	0.262870	4
39	ID208	0.862550	-0.502349	0.252355	2
40	ID302	-0.496797	0.498121	0.248125	4
41	ID116	0.604871	-0.495093	0.245117	5
42	ID132	0.081664	0.481615	0.231953	3
