Predicted model errors in decreasing order for 364 samples (textlogic (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-1.704508	1.247858	1.557150	1
2	ID295	-1.242033	1.027539	1.055837	1
3	ID160	-1.051817	0.904653	0.818396	1
4	ID123	-1.597078	0.864255	0.746937	7
5	ID147part1of2	-0.794883	0.792806	0.628541	4
6	ID210	-0.454943	0.762030	0.580690	5
7	ID247	-0.325633	0.753772	0.568172	2
8	ID287	-0.607855	0.753098	0.567157	5
9	ID331part1of4	-0.906166	0.746977	0.557975	3
10	ID192	-1.016311	0.734909	0.540091	7
11	ID278	-1.106885	0.734703	0.539788	9
12	ID285	-1.014787	0.725384	0.526181	10
13	ID119	0.619374	-0.697112	0.485965	9
14	ID099	0.565296	-0.694936	0.482936	3
15	ID341	-0.751308	0.692452	0.479490	5
16	ID111	0.366143	-0.649667	0.422068	6
17	ID346	-0.537865	0.639314	0.408723	5
18	ID190	-0.714173	0.630989	0.398147	1
19	ID087	-0.487344	0.592907	0.351538	10
20	ID252	-0.216898	0.590668	0.348888	1
21	ID185	0.468478	-0.570569	0.325549	3
22	ID238	0.085000	0.560852	0.314555	8
23	ID100	0.440086	-0.559852	0.313435	4
24	ID202	0.773962	-0.557625	0.310945	4
25	ID302	-0.496797	0.555394	0.308463	4
26	ID291	0.412535	-0.552851	0.305644	10
27	ID149	-0.659003	0.543470	0.295360	4
28	ID074	-0.796571	0.528449	0.279258	1
29	ID132	0.081664	0.526497	0.277199	3
30	ID109	0.732195	-0.518976	0.269336	2
31	ID071	-0.390664	0.514402	0.264609	6
32	ID075	0.175467	-0.508050	0.258115	7
33	ID147part2of2	-0.488523	0.506632	0.256676	10
34	ID027	0.315223	-0.506335	0.256375	7
35	ID269	0.692149	-0.505826	0.255860	8
36	ID334	0.181312	-0.504185	0.254203	2
37	ID094	-0.341588	0.500646	0.250646	6
38	ID366	-1.256997	0.499123	0.249123	9
39	ID261	0.694060	-0.493714	0.243754	5
40	ID328	-0.121554	0.491978	0.242043	8
41	ID174	-0.060322	0.490734	0.240819	5
42	ID371	0.122499	-0.488646	0.238775	3
43	ID226	0.582645	-0.488620	0.238749	2
44	ID209	0.459544	-0.487579	0.237734	3
45	ID327	-0.224519	0.479628	0.230043	9
46	ID181	-0.551601	0.473480	0.224183	8
47	ID145	-0.648167	0.467628	0.218676	4
48	ID310	0.324866	-0.467171	0.218248	4
