Predicted model errors in decreasing order for 364 samples (textlogic (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-1.704508	1.271328	1.616276	1
2	ID192	-1.016311	0.934123	0.872586	7
3	ID295	-1.242033	0.845318	0.714563	1
4	ID341	-0.751308	0.803988	0.646396	5
5	ID293	0.530512	-0.796131	0.633824	5
6	ID210	-0.454943	0.764586	0.584591	5
7	ID123	-1.597078	0.748391	0.560089	7
8	ID087	-0.487344	0.711064	0.505612	10
9	ID160	-1.051817	0.708870	0.502497	1
10	ID109	0.732195	-0.704565	0.496412	2
11	ID287	-0.607855	0.704109	0.495770	5
12	ID147part1of2	-0.794883	0.697891	0.487052	4
13	ID346	-0.537865	0.692739	0.479888	5
14	ID088	0.024818	0.676793	0.458049	3
15	ID366	-1.256997	0.663484	0.440211	9
16	ID076	-0.382651	-0.655567	0.429768	3
17	ID269	0.692149	-0.650012	0.422516	8
18	ID202	0.773962	-0.625603	0.391379	4
19	ID124	0.572726	-0.618196	0.382166	5
20	ID247	-0.325633	0.616530	0.380109	2
21	ID328	-0.121554	0.613916	0.376893	8
22	ID002	0.776306	-0.606052	0.367299	1
23	ID278	-1.106885	0.591897	0.350342	9
24	ID371	0.122499	-0.591352	0.349697	3
25	ID208	0.862550	-0.586938	0.344497	2
26	ID099	0.565296	-0.585219	0.342481	3
27	ID074	-0.796571	0.581079	0.337653	1
28	ID209	0.459544	-0.579985	0.336383	3
29	ID285	-1.014787	0.579324	0.335617	10
30	ID252	-0.216898	0.574578	0.330140	1
31	ID094	-0.341588	0.556119	0.309268	6
32	ID100	0.440086	-0.554685	0.307675	4
33	ID152part1of2	-1.009575	0.552992	0.305800	4
34	ID331part1of4	-0.906166	0.544571	0.296558	3
35	ID332	-0.654423	0.529066	0.279911	10
36	ID266	0.712746	-0.509212	0.259297	10
37	ID348	0.209873	-0.502274	0.252279	3
38	ID071	-0.390664	0.498186	0.248189	6
39	ID186	-0.204589	0.498153	0.248156	1
40	ID067	0.655543	-0.486919	0.237090	10
41	ID302	-0.496797	0.484290	0.234537	4
42	ID177	0.923057	-0.484030	0.234285	8
43	ID334	0.181312	-0.467684	0.218728	2
44	ID086	0.490459	-0.459880	0.211489	3
45	ID261	0.694060	-0.444770	0.197821	5
46	ID327	-0.224519	0.443526	0.196715	9
47	ID119	0.619374	-0.437815	0.191682	9
