Predicted model errors in decreasing order for 364 samples (writestyle (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID287	-1.083292	0.999557	0.999113	5
2	ID269	1.054206	-0.957511	0.916828	8
3	ID016	0.516821	-0.948864	0.900343	6
4	ID063	0.558076	-0.856732	0.733990	5
5	ID147part1of2	-0.967945	0.853086	0.727755	4
6	ID100	0.658810	-0.840662	0.706713	4
7	ID353	-1.333340	0.782430	0.612197	1
8	ID295	-1.333116	0.782412	0.612169	1
9	ID081	-0.922593	0.765983	0.586730	6
10	ID331part2of4	-1.164383	0.751530	0.564798	1
11	ID285	-1.083666	0.744959	0.554964	10
12	ID238	-0.154009	0.744812	0.554745	8
13	ID114	-0.545083	0.722418	0.521888	6
14	ID160	-1.046996	0.716719	0.513685	1
15	ID169	-0.819577	0.704342	0.496097	6
16	ID331part1of4	-1.244109	0.677828	0.459451	3
17	ID124	0.740149	-0.672855	0.452734	5
18	ID298	0.049640	-0.669673	0.448462	2
19	ID192	-0.671885	0.662313	0.438658	7
20	ID080	-0.675481	0.643347	0.413895	4
21	ID246	-0.276583	0.642724	0.413094	1
22	ID094	-0.134161	0.642394	0.412670	6
23	ID174	-0.515223	0.640367	0.410070	5
24	ID366	-1.074924	0.601407	0.361690	9
25	ID335	-0.328989	0.588335	0.346138	4
26	ID243	0.575187	-0.586797	0.344330	1
27	ID240	0.038520	0.583413	0.340371	3
28	ID123	-0.781746	0.531321	0.282302	7
29	ID109	0.428719	-0.524937	0.275558	2
30	ID116	0.726249	-0.519667	0.270053	5
31	ID087	-0.135446	0.507762	0.257823	10
32	ID278	-1.016389	0.506406	0.256447	9
33	ID190	-0.512130	0.502665	0.252673	1
34	ID210	-0.366776	0.492989	0.243039	5
35	ID009	-0.117523	0.490087	0.240185	5
36	ID013	0.432586	-0.487537	0.237692	6
37	ID133	0.059425	-0.484329	0.234574	2
38	ID084	0.268882	-0.481328	0.231676	5
39	ID330	0.062800	-0.478072	0.228553	7
40	ID334	0.301597	-0.477876	0.228365	2
41	ID304	0.146259	-0.472629	0.223378	7
42	ID146	-0.585892	0.470851	0.221701	3
43	ID152part1of2	-0.833016	0.453427	0.205596	4
44	ID164	-0.014870	-0.447828	0.200550	7
45	ID092	0.378537	-0.442805	0.196076	7
46	ID255	-0.024242	0.442691	0.195976	1
47	ID020part4of4	-0.868889	0.439334	0.193015	9
48	ID058	-0.327904	0.438589	0.192361	2
49	ID350	-0.169769	0.437603	0.191496	4
50	ID202	0.557163	-0.436290	0.190349	4
51	ID306	-0.275151	0.435330	0.189513	5
52	ID305	-0.429134	0.434394	0.188698	8
53	ID079	0.606609	-0.429879	0.184796	10
54	ID017	0.030670	-0.428186	0.183343	2
55	ID181	-0.450508	0.425593	0.181129	8
56	ID199	0.583536	-0.425203	0.180798	1
57	ID272	-0.385647	0.423466	0.179323	1
58	ID241	0.653132	-0.421534	0.177691	6
59	ID297part2of3	-0.608467	0.420807	0.177079	9
60	ID328	0.252768	0.420683	0.176974	8
61	ID329	0.422337	-0.419301	0.175813	4
62	ID230	0.855529	-0.416438	0.173421	10
63	ID252	0.133524	0.414764	0.172029	1
64	ID266	0.672651	-0.412778	0.170386	10
65	ID309	0.365382	-0.412772	0.170380	8
66	ID367	0.292207	-0.408393	0.166784	3
67	ID331part4of4	-0.445402	-0.405108	0.164112	8
68	ID021	0.502057	-0.402403	0.161929	4
69	ID223	0.550296	-0.398366	0.158696	1
70	ID027	-0.125396	-0.397233	0.157794	7
71	ID226	0.586035	-0.396557	0.157258	2
72	ID288	-1.172496	0.394372	0.155529	6
73	ID035	0.573150	-0.389881	0.152007	1
74	ID107	-0.052237	0.387781	0.150374	5
75	ID212	-0.053616	0.385201	0.148380	4
76	ID118	0.177050	0.377901	0.142810	5
77	ID111	0.321806	-0.376364	0.141650	6
78	ID161	-0.675130	0.375924	0.141319	4
79	ID145	-0.551552	0.375856	0.141268	4
80	ID371	-0.050294	-0.370614	0.137355	3
81	ID139	-0.721293	0.370497	0.137268	6
82	ID051	0.481171	-0.364581	0.132919	7
83	ID056	0.089450	0.363176	0.131897	3
84	ID125	0.228206	0.362227	0.131208	2
85	ID046	-0.915871	0.362124	0.131134	9
86	ID144	0.435412	-0.357404	0.127738	6
87	ID194	0.202078	0.355938	0.126692	7
88	ID249	0.296311	-0.354179	0.125443	6
89	ID347	-0.488771	0.352449	0.124220	1
90	ID302	-0.277609	0.352153	0.124012	4
91	ID185	0.427344	-0.350085	0.122559	3
92	ID004	-0.187373	0.346278	0.119908	7
93	ID048	0.340396	-0.343976	0.118320	3
94	ID310	0.381853	-0.340141	0.115696	4
95	ID257	0.065135	-0.337484	0.113895	8
96	ID206	0.034815	0.337081	0.113624	9
97	ID368	-1.048664	0.336731	0.113388	6
98	ID066	0.086287	-0.332690	0.110683	2
99	ID321	-0.096563	-0.331452	0.109860	1
100	ID245	-0.096950	0.330335	0.109121	6
101	ID209	0.340738	-0.328814	0.108118	3
102	ID089	0.367384	-0.326381	0.106524	9
103	ID127	0.499675	-0.324403	0.105238	9
104	ID108	-0.574069	0.323773	0.104829	1
105	ID197	0.602922	-0.322542	0.104034	9
106	ID242	0.588392	-0.320140	0.102490	3
107	ID093part4of5	-0.017546	-0.320018	0.102411	3
108	ID276	-0.588690	0.319874	0.102319	2
109	ID155	0.063139	-0.317921	0.101074	6
110	ID283	-0.175221	0.316201	0.099983	10
111	ID002	0.515438	-0.315159	0.099325	1
112	ID327	-0.123146	0.310017	0.096111	9
113	ID086	0.659943	-0.308087	0.094918	3
114	ID307	-0.047766	0.307330	0.094452	2
115	ID293	0.667525	-0.304932	0.092983	5
116	ID203	0.114168	0.300278	0.090167	5
117	ID168	-0.593096	0.300264	0.090159	2
118	ID115	-0.000829	0.298741	0.089246	7
119	ID250	0.208763	-0.297243	0.088353	10
120	ID291	0.466136	-0.296939	0.088173	10
121	ID341	-0.208687	0.296905	0.088153	5
122	ID068	-0.055150	0.294262	0.086590	4
123	ID218	0.407956	-0.291653	0.085062	7
