Predicted model errors in decreasing order for 364 samples (writestyle (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID287	-1.083292	0.973787	0.948261	5
2	ID331part2of4	-1.164383	0.929616	0.864186	1
3	ID285	-1.083666	0.886128	0.785223	10
4	ID269	1.054206	-0.885309	0.783772	8
5	ID295	-1.333116	0.854633	0.730397	1
6	ID016	0.516821	-0.850502	0.723353	6
7	ID353	-1.333340	0.817453	0.668230	1
8	ID081	-0.922593	0.802630	0.644215	6
9	ID366	-1.074924	0.786816	0.619080	9
10	ID335	-0.328989	0.769428	0.592020	4
11	ID160	-1.046996	0.750193	0.562790	1
12	ID293	0.667525	-0.738819	0.545854	5
13	ID079	0.606609	-0.737806	0.544358	10
14	ID109	0.428719	-0.679259	0.461392	2
15	ID238	-0.154009	0.671631	0.451088	8
16	ID078	-0.931822	0.660814	0.436675	5
17	ID230	0.855529	-0.643600	0.414221	10
18	ID210	-0.366776	0.634327	0.402371	5
19	ID139	-0.721293	0.625446	0.391182	6
20	ID100	0.658810	-0.616740	0.380368	4
21	ID174	-0.515223	0.587858	0.345577	5
22	ID241	0.653132	-0.584064	0.341131	6
23	ID147part1of2	-0.967945	0.582413	0.339205	4
24	ID347	-0.488771	0.577724	0.333765	1
25	ID087	-0.135446	0.577286	0.333259	10
26	ID192	-0.671885	0.560595	0.314267	7
27	ID368	-1.048664	0.560522	0.314185	6
28	ID330	0.062800	-0.533743	0.284881	7
29	ID080	-0.675481	0.531575	0.282572	4
30	ID063	0.558076	-0.510025	0.260125	5
31	ID371	-0.050294	-0.508291	0.258360	3
32	ID177	-0.418022	0.502603	0.252610	8
33	ID089	0.367384	-0.500226	0.250226	9
34	ID331part1of4	-1.244109	0.498019	0.248023	3
35	ID266	0.672651	-0.493015	0.243064	10
36	ID111	0.321806	-0.485476	0.235687	6
37	ID202	0.557163	-0.482323	0.232636	4
38	ID333	-0.384317	0.480578	0.230955	5
39	ID114	-0.545083	0.478838	0.229286	6
40	ID158	-0.696904	0.473814	0.224500	2
41	ID334	0.301597	-0.473157	0.223878	2
42	ID166	0.387736	-0.470484	0.221356	10
43	ID309	0.365382	-0.464946	0.216174	8
44	ID245	-0.096950	0.458787	0.210486	6
45	ID094	-0.134161	0.455768	0.207725	6
46	ID093part4of5	-0.017546	-0.449899	0.202409	3
47	ID181	-0.450508	0.449886	0.202398	8
48	ID312	0.614650	-0.449857	0.202371	8
49	ID076	-0.445390	-0.449234	0.201811	3
50	ID161	-0.675130	0.442672	0.195959	4
51	ID207	-0.240374	0.441075	0.194547	7
52	ID053	0.875320	-0.437841	0.191705	4
53	ID058	-0.327904	0.434476	0.188769	2
54	ID013	0.432586	-0.431993	0.186618	6
55	ID234	0.280109	-0.429007	0.184047	7
56	ID164	-0.014870	-0.425302	0.180882	7
57	ID278	-1.016389	0.424729	0.180395	9
58	ID223	0.550296	-0.420831	0.177099	1
59	ID014	0.774203	-0.418723	0.175329	3
60	ID350	-0.169769	0.417136	0.174002	4
61	ID228	0.939690	-0.414686	0.171965	2
62	ID204	0.606710	-0.410069	0.168156	6
63	ID168	-0.593096	0.409650	0.167813	2
64	ID124	0.740149	-0.405399	0.164348	5
65	ID005	-0.366464	0.402332	0.161871	5
66	ID017	0.030670	-0.399082	0.159267	2
67	ID288	-1.172496	0.398041	0.158437	6
68	ID226	0.586035	-0.397958	0.158370	2
69	ID099	0.478254	-0.395232	0.156208	3
70	ID298	0.049640	-0.392028	0.153686	2
71	ID276	-0.588690	0.391891	0.153578	2
72	ID304	0.146259	-0.391208	0.153044	7
73	ID257	0.065135	-0.388795	0.151162	8
74	ID049	-0.204439	0.387390	0.150071	7
75	ID199	0.583536	-0.384982	0.148211	1
76	ID021	0.502057	-0.383011	0.146698	4
77	ID275	0.132281	-0.380625	0.144875	3
78	ID305	-0.429134	0.379395	0.143941	8
79	ID152part1of2	-0.833016	0.378785	0.143478	4
80	ID200	-0.302263	-0.377197	0.142278	6
81	ID041part1of2	0.082417	-0.376569	0.141804	6
82	ID169	-0.819577	0.376362	0.141649	6
83	ID056	0.089450	0.375883	0.141288	3
84	ID367	0.292207	-0.373526	0.139522	3
85	ID108	-0.574069	0.363651	0.132242	1
86	ID137part1of2	-0.280383	-0.363327	0.132007	6
87	ID116	0.726249	-0.362561	0.131450	5
88	ID132	-0.118972	-0.361567	0.130730	3
89	ID240	0.038520	0.359820	0.129470	3
90	ID086	0.659943	-0.358419	0.128464	3
91	ID131	0.440747	-0.358283	0.128367	3
92	ID001	0.381178	-0.357660	0.127921	3
93	ID146	-0.585892	0.355119	0.126110	3
94	ID296	-0.452161	0.355030	0.126046	3
95	ID026	-0.319111	0.352202	0.124046	9
96	ID255	-0.024242	0.350574	0.122902	1
97	ID246	-0.276583	0.350244	0.122671	1
98	ID197	0.602922	-0.349877	0.122414	9
99	ID272	-0.385647	0.346696	0.120198	1
100	ID208	0.618734	-0.346509	0.120069	2
101	ID025	0.078325	-0.341442	0.116583	4
102	ID325	0.640287	-0.337711	0.114048	3
103	ID365	0.242841	-0.337394	0.113834	7
104	ID142	-0.239753	0.336992	0.113563	2
105	ID217	0.569949	-0.333577	0.111274	2
106	ID119	0.280497	-0.331926	0.110175	9
107	ID182	0.304775	-0.331607	0.109963	7
108	ID247	-0.069890	0.331178	0.109679	2
109	ID038	0.323325	-0.330273	0.109080	1
110	ID297part2of3	-0.608467	0.329020	0.108254	9
111	ID127	0.499675	-0.326147	0.106372	9
112	ID006	0.079054	-0.324568	0.105345	4
113	ID002	0.515438	-0.324162	0.105081	1
114	ID092	0.378537	-0.323996	0.104974	7
115	ID209	0.340738	-0.322547	0.104037	3
116	ID212	-0.053616	0.320149	0.102495	4
117	ID135	-0.389042	0.313210	0.098101	2
118	ID322	-0.174590	0.311030	0.096740	1
119	ID301	0.084279	-0.309003	0.095483	7
120	ID243	0.575187	-0.307968	0.094844	1
121	ID292	0.240595	0.307787	0.094733	5
122	ID165	0.081914	-0.304482	0.092709	2
123	ID329	0.422337	-0.304282	0.092587	4
124	ID341	-0.208687	0.300542	0.090325	5
125	ID046	-0.915871	0.300275	0.090165	9
126	ID057part1of2	-0.910847	0.298156	0.088897	1
127	ID156	-0.589901	0.295290	0.087196	4
128	ID133	0.059425	-0.294899	0.086966	2
129	ID123	-0.781746	0.293597	0.086199	7
130	ID121	-0.577573	0.291972	0.085248	7
131	ID060	0.198232	-0.290483	0.084380	6
132	ID071	-0.217274	0.288858	0.083439	6
133	ID098	0.607314	-0.287277	0.082528	10
134	ID346	-0.022475	0.286750	0.082225	5
135	ID162	-0.324892	0.285786	0.081674	4
136	ID183	-0.151856	0.285533	0.081529	6
137	ID148	0.415474	-0.283854	0.080573	5
138	ID186	-0.346219	0.282217	0.079647	1
139	ID040	0.429020	-0.278763	0.077709	5
140	ID009	-0.117523	0.278131	0.077357	5
141	ID283	-0.175221	0.276865	0.076654	10
142	ID020part4of4	-0.868889	0.276118	0.076241	9
143	ID294	0.022843	-0.275873	0.076106	8
144	ID054	0.114816	0.275692	0.076006	3
145	ID187	0.472033	-0.274807	0.075519	5
146	ID134	0.061405	-0.273845	0.074991	2
147	ID172	0.264343	-0.269955	0.072876	2
148	ID220	0.564838	-0.269285	0.072515	8
149	ID150	0.392858	-0.264949	0.070198	1
150	ID011	0.505623	-0.263105	0.069224	6
151	ID112	-0.350837	0.258924	0.067041	1
