Predicted model errors in decreasing order for 364 samples (writestyle (10 folds))
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID016	0.516821	-1.033092	1.067278	6
2	ID287	-1.083292	1.032515	1.066087	5
3	ID269	1.054206	-0.890756	0.793445	8
4	ID147part1of2	-0.967945	0.868176	0.753730	4
5	ID295	-1.333116	0.836414	0.699588	1
6	ID238	-0.154009	0.814544	0.663481	8
7	ID100	0.658810	-0.805807	0.649325	4
8	ID353	-1.333340	0.794045	0.630507	1
9	ID081	-0.922593	0.783623	0.614065	6
10	ID063	0.558076	-0.783126	0.613287	5
11	ID366	-1.074924	0.736245	0.542057	9
12	ID246	-0.276583	0.723933	0.524079	1
13	ID160	-1.046996	0.706107	0.498586	1
14	ID192	-0.671885	0.702849	0.493996	7
15	ID285	-1.083666	0.682198	0.465393	10
16	ID109	0.428719	-0.661527	0.437618	2
17	ID169	-0.819577	0.660355	0.436069	6
18	ID124	0.740149	-0.635197	0.403476	5
19	ID114	-0.545083	0.628293	0.394753	6
20	ID335	-0.328989	0.624980	0.390601	4
21	ID243	0.575187	-0.615468	0.378801	1
22	ID331part2of4	-1.164383	0.614751	0.377918	1
23	ID094	-0.134161	0.588302	0.346099	6
24	ID087	-0.135446	0.584663	0.341831	10
25	ID298	0.049640	-0.583035	0.339930	2
26	ID080	-0.675481	0.579052	0.335302	4
27	ID116	0.726249	-0.572537	0.327798	5
28	ID331part1of4	-1.244109	0.570100	0.325014	3
29	ID174	-0.515223	0.548465	0.300814	5
30	ID278	-1.016389	0.545649	0.297733	9
31	ID304	0.146259	-0.533407	0.284523	7
32	ID240	0.038520	0.527123	0.277858	3
33	ID013	0.432586	-0.513762	0.263952	6
34	ID328	0.252768	0.510287	0.260393	8
35	ID210	-0.366776	0.506298	0.256337	5
36	ID330	0.062800	-0.499787	0.249787	7
37	ID190	-0.512130	0.498482	0.248484	1
38	ID058	-0.327904	0.485873	0.236073	2
39	ID133	0.059425	-0.483540	0.233811	2
40	ID226	0.586035	-0.478833	0.229281	2
41	ID202	0.557163	-0.474498	0.225149	4
42	ID123	-0.781746	0.471713	0.222513	7
43	ID046	-0.915871	0.464650	0.215899	9
44	ID309	0.365382	-0.461463	0.212948	8
45	ID347	-0.488771	0.455166	0.207176	1
46	ID266	0.672651	-0.453041	0.205246	10
47	ID334	0.301597	-0.450323	0.202791	2
48	ID203	0.114168	0.442898	0.196159	5
49	ID306	-0.275151	0.442334	0.195660	5
50	ID288	-1.172496	0.419347	0.175852	6
51	ID257	0.065135	-0.417170	0.174031	8
52	ID291	0.466136	-0.416923	0.173825	10
53	ID305	-0.429134	0.416768	0.173696	8
54	ID079	0.606609	-0.412817	0.170418	10
55	ID206	0.034815	0.411289	0.169159	9
56	ID111	0.321806	-0.410476	0.168490	6
57	ID255	-0.024242	0.410185	0.168252	1
58	ID185	0.427344	-0.408974	0.167259	3
59	ID241	0.653132	-0.407501	0.166057	6
60	ID230	0.855529	-0.406989	0.165640	10
61	ID051	0.481171	-0.404315	0.163471	7
62	ID078	-0.931822	0.403709	0.162981	5
63	ID245	-0.096950	0.402966	0.162381	6
64	ID272	-0.385647	0.397801	0.158246	1
65	ID084	0.268882	-0.394566	0.155682	5
66	ID035	0.573150	-0.393162	0.154576	1
67	ID194	0.202078	0.391184	0.153025	7
68	ID108	-0.574069	0.390944	0.152837	1
69	ID020part4of4	-0.868889	0.386629	0.149482	9
70	ID181	-0.450508	0.383829	0.147324	8
71	ID249	0.296311	-0.382236	0.146105	6
72	ID350	-0.169769	0.379826	0.144268	4
73	ID146	-0.585892	0.378840	0.143520	3
74	ID209	0.340738	-0.377562	0.142553	3
75	ID368	-1.048664	0.376329	0.141624	6
76	ID017	0.030670	-0.374309	0.140107	2
77	ID066	0.086287	-0.372724	0.138923	2
78	ID252	0.133524	0.371209	0.137796	1
79	ID139	-0.721293	0.370925	0.137585	6
80	ID002	0.515438	-0.369499	0.136530	1
81	ID329	0.422337	-0.365318	0.133457	4
82	ID197	0.602922	-0.362749	0.131587	9
83	ID093part4of5	-0.017546	-0.361613	0.130764	3
84	ID014	0.774203	-0.360040	0.129629	3
85	ID059	0.224116	-0.357706	0.127953	7
86	ID021	0.502057	-0.356016	0.126747	4
87	ID166	0.387736	-0.354923	0.125970	10
88	ID302	-0.277609	0.353972	0.125296	4
89	ID056	0.089450	0.353347	0.124854	3
90	ID242	0.588392	-0.350600	0.122921	3
91	ID218	0.407956	-0.350192	0.122634	7
92	ID150	0.392858	-0.349478	0.122135	1
93	ID092	0.378537	-0.348482	0.121440	7
94	ID310	0.381853	-0.348036	0.121129	4
95	ID164	-0.014870	-0.346689	0.120194	7
96	ID170	0.040990	-0.342611	0.117382	9
97	ID115	-0.000829	0.337954	0.114213	7
98	ID069	0.182775	0.336857	0.113472	7
99	ID199	0.583536	-0.334934	0.112181	1
100	ID118	0.177050	0.334534	0.111913	5
101	ID048	0.340396	-0.332208	0.110362	3
102	ID127	0.499675	-0.330161	0.109006	9
103	ID367	0.292207	-0.329606	0.108640	3
104	ID068	-0.055150	0.325080	0.105677	4
105	ID331part4of4	-0.445402	-0.324335	0.105193	8
106	ID144	0.435412	-0.322450	0.103974	6
107	ID223	0.550296	-0.322223	0.103828	1
108	ID009	-0.117523	0.319461	0.102056	5
109	ID207	-0.240374	0.318700	0.101569	7
110	ID089	0.367384	-0.317986	0.101115	9
111	ID074	-0.586948	0.316831	0.100382	1
112	ID119	0.280497	-0.314050	0.098627	9
113	ID040	0.429020	-0.313559	0.098319	5
114	ID158	-0.696904	0.313522	0.098296	2
115	ID161	-0.675130	0.313470	0.098264	4
116	ID075	0.106875	-0.306601	0.094004	7
117	ID098	0.607314	-0.304751	0.092873	10
118	ID341	-0.208687	0.304424	0.092674	5
119	ID371	-0.050294	-0.300775	0.090466	3
120	ID152part1of2	-0.833016	0.297537	0.088528	4
121	ID168	-0.593096	0.289774	0.083969	2
122	ID297part2of3	-0.608467	0.289322	0.083707	9
123	ID301	0.084279	-0.288595	0.083287	7
124	ID177	-0.418022	0.285682	0.081614	8
125	ID191	0.315073	-0.285124	0.081296	10
126	ID327	-0.123146	0.283397	0.080314	9
127	ID165	0.081914	-0.282748	0.079946	2
128	ID204	0.606710	-0.282679	0.079907	6
129	ID184	0.209194	-0.277839	0.077194	9
130	ID145	-0.551552	0.273114	0.074591	4
131	ID228	0.939690	-0.270837	0.073353	2
132	ID155	0.063139	-0.269304	0.072525	6
133	ID283	-0.175221	0.269143	0.072438	10
134	ID293	0.667525	-0.262784	0.069056	5
135	ID250	0.208763	-0.262298	0.068800	10
136	ID167	0.316003	-0.261068	0.068157	10
137	ID041part1of2	0.082417	-0.261014	0.068128	6
138	ID187	0.472033	-0.259100	0.067133	5
139	ID135	-0.389042	0.258133	0.066632	2
140	ID299part1of2	-0.021537	-0.257938	0.066532	9
141	ID271	0.416645	-0.257907	0.066516	6
142	ID020part1of4	-0.358203	-0.254032	0.064532	1
143	ID057part1of2	-0.910847	0.251853	0.063430	1
144	ID173	-0.304846	0.251833	0.063420	5
145	ID022	-0.151135	0.250370	0.062685	8
146	ID113	-0.187922	-0.247652	0.061331	4
147	ID297part3of3	0.018225	-0.246976	0.060997	6
148	ID006	0.079054	-0.246614	0.060818	4
149	ID276	-0.588690	0.245680	0.060358	2
150	ID025	0.078325	-0.245402	0.060222	4
151	ID212	-0.053616	0.242483	0.058798	4
152	ID318	-0.450413	-0.240568	0.057873	1
153	ID286	-0.607452	0.239957	0.057580	5
154	ID026	-0.319111	0.239115	0.057176	9
155	ID307	-0.047766	0.237979	0.056634	2
156	ID112	-0.350837	0.236809	0.056078	1
157	ID130	-0.267434	0.235550	0.055484	4
158	ID086	0.659943	-0.235421	0.055423	3
159	ID131	0.440747	-0.234853	0.055156	3
160	ID027	-0.125396	-0.234743	0.055104	7
161	ID294	0.022843	-0.234312	0.054902	8
162	ID186	-0.346219	0.233551	0.054546	1
163	ID321	-0.096563	-0.232416	0.054017	1
164	ID251	-0.191490	0.228405	0.052169	9
165	ID036	0.460476	-0.223718	0.050050	4
166	ID049	-0.204439	0.223617	0.050005	7
167	ID333	-0.384317	0.223311	0.049868	5
168	ID315	-0.125458	-0.223119	0.049782	10
169	ID247	-0.069890	0.219458	0.048162	2
170	ID189	0.046899	0.219354	0.048116	1
171	ID077	-0.040097	-0.215557	0.046465	3
172	ID001	0.381178	-0.214851	0.046161	3
173	ID337part1of2	-0.003929	-0.212428	0.045126	9
174	ID064	0.293540	-0.211694	0.044814	4
175	ID235	0.461922	0.210287	0.044221	3
176	ID236	0.546563	-0.205899	0.042394	6
177	ID095	0.324013	-0.203003	0.041210	4
178	ID182	0.304775	-0.202951	0.041189	7
179	ID200	-0.302263	-0.202747	0.041106	6
180	ID110	0.133377	-0.201840	0.040739	9
181	ID172	0.264343	-0.200429	0.040172	2
182	ID316	0.174443	0.200120	0.040048	1
183	ID229	0.328234	-0.199704	0.039882	3
184	ID222	0.441567	-0.199202	0.039681	9
185	ID099	0.478254	-0.197972	0.039193	3
186	ID154	-0.227295	-0.197426	0.038977	1
187	ID107	-0.052237	0.197386	0.038961	5
188	ID053	0.875320	-0.197067	0.038835	4
189	ID071	-0.217274	0.196338	0.038549	6
190	ID213	0.219274	0.196179	0.038486	3
191	ID149	-0.201524	0.196047	0.038435	4
192	ID060	0.198232	-0.194928	0.037997	6
193	ID151	-0.227034	0.194770	0.037935	10
194	ID085	0.248610	-0.193715	0.037525	6
195	ID208	0.618734	-0.192562	0.037080	2
196	ID362	0.349299	-0.192521	0.037064	10
197	ID038	0.323325	-0.189545	0.035927	1
198	ID005	-0.366464	0.188818	0.035652	5
199	ID365	0.242841	-0.188792	0.035642	7
200	ID221	0.553405	-0.187107	0.035009	4
201	ID034	0.007718	0.186758	0.034879	10
202	ID346	-0.022475	0.185655	0.034468	5
203	ID018	0.193225	0.184037	0.033869	8
204	ID125	0.228206	0.183304	0.033600	2
