Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=infovalue, MSE ratio=0.304034)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.268507	1.643697	2.701740	1
2	ID123	-2.696640	1.296500	1.680912	7
3	ID332	-1.853175	1.295117	1.677328	10
4	ID269	1.150476	-1.261449	1.591255	8
5	ID327	-0.397741	1.210010	1.464124	9
6	ID239	-1.395968	1.141130	1.302177	10
7	ID150	-1.065850	1.116720	1.247063	1
8	ID364	-1.484499	1.101114	1.212451	10
9	ID141	-1.440846	1.046150	1.094430	5
10	ID331part4of4	0.183447	1.038618	1.078727	8
11	ID297part3of3	-1.133983	1.018942	1.038242	6
12	ID143	-0.196533	1.005149	1.010325	2
13	ID277	-1.380737	0.988162	0.976464	1
14	ID119	1.098100	-0.962279	0.925981	9
15	ID318	-2.181899	0.944227	0.891564	1
16	ID190	-1.286339	0.907954	0.824380	1
17	ID349	1.354910	-0.894331	0.799828	10
18	ID365	-0.859173	0.871811	0.760054	7
19	ID177	1.975969	-0.844033	0.712391	8
20	ID037	1.299742	-0.838832	0.703639	5
21	ID362	-1.069639	0.828555	0.686504	10
22	ID297part2of3	1.254618	-0.817250	0.667897	9
23	ID230	-0.680093	0.813913	0.662454	10
24	ID278	-1.781021	0.808307	0.653361	9
25	ID082	-1.507597	0.796204	0.633940	9
26	ID149	-1.470406	0.788700	0.622048	4
27	ID124	0.575620	-0.774500	0.599850	5
28	ID293	0.305024	-0.769044	0.591429	5
29	ID289	-1.242319	0.761721	0.580219	5
30	ID084	0.929462	-0.757454	0.573737	5
31	ID338	-0.357433	0.757281	0.573475	7
32	ID040	0.693065	-0.755913	0.571405	5
33	ID181	-1.396323	0.746041	0.556577	8
34	ID194	-0.705663	0.740274	0.548006	7
35	ID117	0.187401	0.734613	0.539656	3
36	ID252	0.179857	0.734603	0.539641	1
37	ID151	-0.275898	0.734203	0.539054	10
38	ID041part1of2	-0.504943	0.732510	0.536571	6
39	ID111	0.310906	-0.731024	0.534397	6
40	ID004	1.798455	-0.730158	0.533130	7
41	ID285	-1.922674	0.730124	0.533081	10
42	ID226	0.891629	-0.729916	0.532778	2
43	ID188	0.194516	-0.729310	0.531893	8
44	ID331part3of4	0.822050	-0.724479	0.524869	1
45	ID093part3of5	-0.623732	0.719025	0.516997	4
46	ID116	1.229572	-0.718684	0.516507	5
47	ID225	0.698150	-0.715863	0.512459	6
48	ID370	-1.448278	0.708204	0.501553	5
49	ID249	0.331691	-0.703845	0.495397	6
50	ID020part1of4	-0.161415	-0.686572	0.471381	1
51	ID001	0.065998	0.681312	0.464186	3
52	ID179	-0.528749	0.678656	0.460574	6
53	ID081	1.098989	-0.675082	0.455736	6
54	ID340	-1.376536	0.670865	0.450060	5
55	ID209	0.956568	-0.665841	0.443344	3
56	ID056	-0.751418	0.663690	0.440485	3
57	ID214	-1.025803	0.656778	0.431358	6
58	ID261	1.276892	-0.653124	0.426571	5
59	ID173	-2.464669	0.652727	0.426053	5
60	ID241	1.106989	-0.651521	0.424479	6
61	ID054	-0.222805	0.643708	0.414360	3
62	ID257	0.439872	-0.628075	0.394478	8
63	ID038	0.422154	-0.625899	0.391750	1
64	ID337part1of2	0.239160	-0.625080	0.390725	9
65	ID152part1of2	-1.480884	0.613490	0.376370	4
66	ID010	0.554385	0.611629	0.374090	3
67	ID341	-0.562996	0.608380	0.370126	5
68	ID250	-0.596342	-0.597287	0.356752	10
69	ID328	-0.806376	0.588072	0.345829	8
70	ID099	-0.151160	-0.586016	0.343415	3
71	ID147part1of2	-0.128902	0.578341	0.334478	4
72	ID060	1.925655	-0.573224	0.328586	6
73	ID199	0.736093	-0.571659	0.326794	1
74	ID107	1.715701	-0.568021	0.322648	5
75	ID020part2of4	0.373500	-0.546197	0.298331	1
76	ID205	0.163728	-0.540256	0.291877	8
77	ID361	-0.018272	-0.537972	0.289414	4
78	ID307	0.035456	-0.529276	0.280133	2
79	ID145	-0.054990	0.523229	0.273769	4
80	ID207	-0.431905	0.508446	0.258517	7
81	ID247	0.216760	0.497196	0.247204	2
82	ID100	0.724908	-0.493615	0.243655	4
83	ID200	1.177081	-0.493059	0.243107	6
84	ID176	-0.523914	0.489175	0.239292	4
85	ID134	-1.244979	0.487683	0.237835	2
86	ID348	0.425553	-0.486071	0.236265	3
87	ID105	0.140665	-0.485717	0.235921	2
88	ID302	-0.498869	0.484785	0.235016	4
89	ID008	-0.140191	0.484765	0.234997	5
90	ID275	0.325932	-0.478031	0.228514	3
91	ID129	1.030670	-0.477058	0.227584	3
92	ID224	0.066827	0.472986	0.223716	7
93	ID306	-0.458750	0.468887	0.219855	5
94	ID139	0.001330	-0.465343	0.216544	6
95	ID115	-0.080318	0.464319	0.215592	7
96	ID045	-0.726148	0.460970	0.212493	4
97	ID197	0.014784	-0.458437	0.210164	9
98	ID229	0.605452	-0.458284	0.210025	3
99	ID059	0.945232	-0.457133	0.208971	7
100	ID345	-1.296524	-0.454221	0.206317	8
101	ID303	-1.269531	0.453563	0.205720	9
102	ID011	0.724616	-0.451551	0.203898	6
103	ID259	0.571468	-0.450243	0.202719	9
104	ID068	0.450412	-0.449410	0.201969	4
105	ID217	0.633042	-0.448282	0.200957	2
106	ID322	-1.106410	0.447856	0.200575	1
107	ID003	0.484088	0.447487	0.200244	10
108	ID026	1.116031	-0.443042	0.196286	9
109	ID208	0.752153	-0.442681	0.195967	2
110	ID024	-0.178574	-0.441593	0.195004	2
111	ID165	-0.488632	0.439260	0.192950	2
112	ID155	-0.206462	-0.434332	0.188645	6
113	ID015	-0.885605	0.433261	0.187715	7
114	ID300	0.810946	-0.432819	0.187332	1
115	ID317	0.147788	-0.431235	0.185964	2
116	ID112	-1.277805	0.424599	0.180285	1
117	ID043	-1.096555	-0.423042	0.178965	10
118	ID027	0.704163	-0.421789	0.177906	7
119	ID087	-0.486293	0.421536	0.177693	10
120	ID351	0.056237	0.419697	0.176145	4
121	ID287	-0.250797	0.418910	0.175486	5
122	ID013	0.879463	-0.416196	0.173219	6
123	ID189	0.163662	0.416022	0.173074	1
124	ID035	0.119097	-0.414206	0.171567	1
125	ID292	0.357506	-0.410140	0.168215	5
126	ID030	0.656461	-0.408311	0.166718	10
127	ID265	1.427812	-0.408101	0.166546	2
128	ID103	1.477383	-0.407441	0.166008	9
129	ID017	-0.442658	0.405778	0.164655	2
130	ID160	-0.773536	0.402960	0.162377	1
131	ID170	-1.285088	0.400658	0.160526	9
132	ID185	0.453951	-0.398143	0.158518	3
133	ID248	0.609850	-0.394883	0.155933	2
134	ID234	-0.020493	0.393867	0.155132	7
135	ID094	0.770692	-0.393834	0.155105	6
136	ID280	0.397622	0.388382	0.150841	7
137	ID201	0.859001	-0.385425	0.148552	8
138	ID311	-0.170361	-0.383600	0.147149	2
139	ID108	-1.268189	0.380602	0.144858	1
140	ID333	0.348137	-0.379388	0.143936	5
141	ID083part1of2	0.737412	0.376535	0.141779	10
142	ID121	0.040881	0.376069	0.141428	7
143	ID065	-0.271013	0.372479	0.138741	6
144	ID097	1.024943	-0.372120	0.138473	5
145	ID002	0.729517	-0.369098	0.136233	1
146	ID309	-0.524575	-0.368480	0.135777	8
147	ID095	-0.342232	0.365383	0.133505	4
148	ID174	0.433828	0.363787	0.132341	5
149	ID231	-0.376672	0.361890	0.130965	9
150	ID046	-0.473828	-0.360702	0.130106	9
151	ID072	-0.616551	0.360327	0.129836	8
152	ID267	-0.121061	-0.359987	0.129591	8
153	ID371	0.520547	-0.359595	0.129309	3
154	ID350	-0.260985	0.354411	0.125607	4
155	ID202	1.244036	-0.354338	0.125555	4
156	ID020part3of4	-0.917960	0.352882	0.124526	6
157	ID051	0.094926	-0.352076	0.123958	7
158	ID331part2of4	0.946787	-0.350736	0.123016	1
159	ID233	-0.227498	-0.350717	0.123002	8
160	ID048	0.614976	-0.350185	0.122629	3
161	ID044	-0.317807	-0.345420	0.119315	4
162	ID016	0.687236	-0.341699	0.116758	6
163	ID329	-1.010973	0.334460	0.111863	4
164	ID263	0.689567	-0.333843	0.111451	8
165	ID178	0.565311	-0.333160	0.110995	9
166	ID077	0.285450	-0.331599	0.109958	3
167	ID331part1of4	1.161616	-0.329681	0.108690	3
168	ID167	-0.223354	-0.326111	0.106349	10
169	ID228	0.968588	-0.321754	0.103526	2
170	ID033	-0.453822	0.320400	0.102656	2
171	ID154	-0.199625	-0.320137	0.102488	1
172	ID093part1of5	0.051822	0.317843	0.101024	7
173	ID346	-0.341123	0.315598	0.099602	5
174	ID222	0.086063	-0.315049	0.099256	9
175	ID272	-0.753259	0.314186	0.098713	1
176	ID021	0.069323	-0.305864	0.093553	4
177	ID130	-0.222548	0.298969	0.089382	4
178	ID367	-0.482966	0.297224	0.088342	3
179	ID074	-0.987284	0.291440	0.084937	1
180	ID296	-0.441833	0.289976	0.084086	3
181	ID128	-0.505107	0.289056	0.083553	2
182	ID244	0.811322	-0.287467	0.082637	3
183	ID075	-0.708691	-0.286303	0.081969	7
184	ID210	-0.021901	0.285782	0.081671	5
185	ID198	1.031244	0.280237	0.078533	7
186	ID086	0.465117	-0.275924	0.076134	3
187	ID308	-0.454585	-0.274595	0.075403	1
188	ID152part2of2	-0.112376	-0.271583	0.073757	6
189	ID352	0.663763	-0.271191	0.073545	9
190	ID366	-1.180727	0.269345	0.072547	9
191	ID078	-1.434488	0.268325	0.071998	5
192	ID127	0.570952	-0.266216	0.070871	9
193	ID312	0.310973	-0.265797	0.070648	8
194	ID018	-0.149713	0.265295	0.070381	8
195	ID301	-0.271459	-0.264875	0.070159	7
196	ID135	1.108862	-0.264527	0.069975	2
197	ID020part4of4	-1.172179	0.264029	0.069711	9
198	ID113	-1.152922	0.263765	0.069572	4
199	ID337part2of2	-0.025655	-0.263364	0.069361	1
200	ID187	0.672558	-0.261291	0.068273	5
201	ID098	0.325595	0.261175	0.068212	10
202	ID305	-0.443497	0.257107	0.066104	8
203	ID034	-0.304506	0.256823	0.065958	10
204	ID238	0.559860	0.254117	0.064576	8
205	ID158	-0.599954	0.252976	0.063997	2
206	ID162	-1.204578	0.251891	0.063449	4
207	ID088	0.565699	0.250389	0.062695	3
208	ID266	0.762331	-0.246249	0.060639	10
209	ID168	-0.422093	0.244252	0.059659	2
210	ID212	0.183536	-0.243839	0.059457	4
211	ID142	-0.026345	0.241941	0.058536	2
212	ID159	-0.734094	0.241621	0.058381	5
213	ID053	0.514662	-0.241167	0.058161	4
214	ID102	-0.456369	0.239092	0.057165	3
215	ID204	0.868952	-0.239015	0.057128	6
216	ID203	0.069971	0.236719	0.056036	5
217	ID221	0.378667	-0.233291	0.054425	4
218	ID114	0.708355	0.231466	0.053576	6
219	ID057part1of2	0.444069	0.224722	0.050500	1
220	ID049	-0.328298	0.221316	0.048981	7
221	ID291	0.268083	-0.220833	0.048767	10
222	ID138	-1.099894	0.217601	0.047350	3
223	ID064	0.585599	0.215648	0.046504	4
224	ID330	-0.434411	0.214558	0.046035	7
225	ID299part1of2	0.542183	-0.211934	0.044916	9
226	ID080	-1.106512	0.211004	0.044523	4
227	ID290	-1.178010	-0.209353	0.043829	3
228	ID282	0.943979	-0.204532	0.041833	3
229	ID069	0.840743	0.203121	0.041258	7
230	ID334	0.226888	-0.201834	0.040737	2
231	ID325	0.151665	-0.196792	0.038727	3
232	ID071	0.803008	0.196249	0.038514	6
233	ID223	0.937379	-0.195756	0.038321	1
234	ID161	0.223432	0.195691	0.038295	4
235	ID279	0.788307	-0.193163	0.037312	7
236	ID245	0.157968	-0.192065	0.036889	6
237	ID041part2of2	-0.337705	0.185001	0.034225	3
238	ID254	1.134121	-0.183058	0.033510	1
239	ID085	1.204416	-0.180982	0.032754	6
240	ID005	0.183274	0.179678	0.032284	5
241	ID255	0.110119	-0.177346	0.031451	1
242	ID347	0.614106	-0.173520	0.030109	1
243	ID093part2of5	-0.822634	0.170203	0.028969	2
244	ID251	0.305534	-0.168881	0.028521	9
245	ID083part2of2	0.715008	0.168306	0.028327	9
246	ID235	0.129254	-0.167836	0.028169	3
247	ID028part1of2	-0.220953	-0.166572	0.027746	2
248	ID014	0.424978	-0.165679	0.027450	3
249	ID297part1of3	0.774666	-0.165431	0.027367	5
250	ID298	0.437483	0.164672	0.027117	2
251	ID360	1.023592	-0.164271	0.026985	2
252	ID055	0.804897	-0.155756	0.024260	8
253	ID273	0.799836	-0.155408	0.024152	7
254	ID052	0.222047	-0.152208	0.023167	5
255	ID132	0.643429	-0.152051	0.023119	3
256	ID191	0.320073	0.151311	0.022895	10
257	ID294	0.142494	0.149656	0.022397	8
258	ID192	-1.297912	0.149054	0.022217	7
259	ID006	0.866771	-0.148936	0.022182	4
260	ID184	-0.840347	0.148104	0.021935	9
261	ID368	-0.476521	-0.148058	0.021921	6
262	ID369	0.208244	-0.146505	0.021464	4
263	ID067	0.980802	0.144802	0.020968	10
264	ID319	-0.881531	0.144147	0.020778	8
265	ID253	0.302477	0.143765	0.020668	2
266	ID089	-0.585058	-0.143744	0.020662	9
267	ID299part2of2	0.193389	0.143024	0.020456	10
268	ID122	1.422403	-0.141631	0.020059	5
269	ID118	-0.235262	0.140765	0.019815	5
270	ID147part2of2	-0.063235	0.140708	0.019799	10
271	ID281	-0.245507	-0.140205	0.019658	2
272	ID120	0.515779	-0.137474	0.018899	4
273	ID109	1.213017	-0.134762	0.018161	2
274	ID183	-0.035891	0.134152	0.017997	6
275	ID062	0.874331	-0.133864	0.017920	1
276	ID283	-0.259954	-0.130685	0.017079	10
277	ID019	-0.592273	0.129252	0.016706	2
278	ID288	-0.370930	-0.127862	0.016349	6
279	ID215	0.978376	-0.126315	0.015955	4
280	ID314	0.317115	-0.125724	0.015806	3
281	ID304	-0.850404	-0.123752	0.015315	7
282	ID101	0.116303	-0.121025	0.014647	2
283	ID050	-0.100308	0.120364	0.014487	9
284	ID133	0.542299	-0.116783	0.013638	2
285	ID264	-0.618623	-0.116545	0.013583	8
286	ID066	-0.859583	-0.114694	0.013155	2
287	ID182	0.286485	-0.111420	0.012414	7
288	ID220	0.547995	-0.108767	0.011830	8
