Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=reliability, MSE ratio=0.383881)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-2.934430	2.122198	4.503724	1
2	ID362	-1.884607	1.648620	2.717949	10
3	ID040	1.485981	-1.636753	2.678962	5
4	ID364	-1.463097	1.521409	2.314686	10
5	ID269	1.648160	-1.500781	2.252345	8
6	ID192	-2.105735	1.394841	1.945582	7
7	ID119	1.160197	-1.234603	1.524246	9
8	ID124	1.083597	-1.212955	1.471259	5
9	ID111	0.630441	-1.164114	1.355162	6
10	ID177	2.207899	-1.144015	1.308770	8
11	ID147part1of2	-0.973414	1.132983	1.283651	4
12	ID150	-1.577578	1.123243	1.261674	1
13	ID115	-0.305566	1.114337	1.241747	7
14	ID181	-1.454880	1.098753	1.207258	8
15	ID289	-1.064193	1.086463	1.180401	5
16	ID349	1.700052	-1.084904	1.177017	10
17	ID190	-0.927155	1.060185	1.123992	1
18	ID199	1.509720	-1.050079	1.102666	1
19	ID087	-1.184395	1.041898	1.085552	10
20	ID226	0.999952	-0.994618	0.989264	2
21	ID084	0.463789	-0.978457	0.957379	5
22	ID099	0.488543	-0.971723	0.944245	3
23	ID365	-1.266115	0.953263	0.908711	7
24	ID015	-0.937288	0.952766	0.907763	7
25	ID103	1.992167	-0.951557	0.905460	9
26	ID332	-2.353179	0.937570	0.879038	10
27	ID338	-0.454235	0.915879	0.838833	7
28	ID350	-0.491418	0.911497	0.830826	4
29	ID093part3of5	-0.545910	0.901502	0.812706	4
30	ID250	-0.046142	-0.900334	0.810602	10
31	ID318	-1.995367	0.887421	0.787515	1
32	ID116	1.183753	-0.886012	0.785017	5
33	ID188	0.526385	-0.874463	0.764686	8
34	ID291	0.346496	-0.870182	0.757216	10
35	ID257	0.551571	-0.867584	0.752703	8
36	ID366	-1.696430	0.861256	0.741763	9
37	ID302	-1.231094	0.859609	0.738928	4
38	ID038	0.014969	-0.859478	0.738702	1
39	ID016	0.998112	-0.854139	0.729553	6
40	ID306	-0.773614	0.849227	0.721187	5
41	ID100	0.652032	-0.838289	0.702729	4
42	ID327	-0.185635	0.820375	0.673015	9
43	ID151	-0.237948	0.819676	0.671869	10
44	ID141	-1.367803	0.811096	0.657877	5
45	ID187	1.037034	-0.808959	0.654415	5
46	ID023	-0.586073	0.807216	0.651597	6
47	ID143	0.062813	0.804090	0.646561	2
48	ID309	0.154967	-0.793151	0.629089	8
49	ID123	-2.801978	0.780595	0.609328	7
50	ID207	-0.399180	0.775595	0.601548	7
51	ID293	0.730981	-0.772212	0.596311	5
52	ID351	-0.455514	0.764005	0.583703	4
53	ID077	0.535275	-0.757853	0.574341	3
54	ID217	1.010806	-0.755125	0.570214	2
55	ID071	-0.643685	0.752969	0.566963	6
56	ID331part3of4	0.803760	-0.752010	0.565519	1
57	ID174	0.021775	0.751136	0.564206	5
58	ID328	-0.354695	0.742134	0.550763	8
59	ID209	1.316324	-0.738570	0.545485	3
60	ID194	-0.289981	0.737898	0.544494	7
61	ID249	0.535361	-0.735996	0.541690	6
62	ID004	1.640408	-0.730908	0.534226	7
63	ID316	-0.339070	0.728232	0.530322	1
64	ID027	0.506118	-0.725935	0.526982	7
65	ID060	1.572420	-0.724667	0.525142	6
66	ID085	1.219226	-0.720358	0.518916	6
67	ID205	0.811237	-0.711863	0.506749	8
68	ID252	0.239584	0.703707	0.495204	1
69	ID230	0.135304	0.702859	0.494010	10
70	ID361	-0.081826	-0.697216	0.486110	4
71	ID225	1.051387	-0.682603	0.465947	6
72	ID168	-0.995315	0.666887	0.444738	2
73	ID196	0.096101	0.663503	0.440236	10
74	ID287	-0.691018	0.660074	0.435697	5
75	ID082	-1.325467	0.650816	0.423562	9
76	ID263	1.146782	-0.640335	0.410029	8
77	ID108	-0.990841	0.634292	0.402326	1
78	ID340	-1.266131	0.629788	0.396633	5
79	ID224	0.692888	0.626965	0.393085	7
80	ID162	-0.178973	-0.625484	0.391231	4
81	ID133	0.726089	-0.624611	0.390139	2
82	ID219	0.491762	-0.621296	0.386008	7
83	ID277	-1.760559	0.617586	0.381412	1
84	ID117	0.135619	0.616977	0.380661	3
85	ID278	-1.577531	0.616721	0.380345	9
86	ID322	-1.041343	0.610570	0.372796	1
87	ID312	1.255723	-0.609814	0.371873	8
88	ID317	0.473459	-0.607356	0.368881	2
89	ID231	-0.581268	0.607117	0.368590	9
90	ID261	1.209496	-0.600169	0.360203	5
91	ID112	-1.312495	0.597258	0.356717	1
92	ID185	0.598735	-0.594653	0.353612	3
93	ID089	-0.993336	0.592823	0.351439	9
94	ID333	0.159578	-0.589539	0.347556	5
95	ID145	-0.689369	0.586689	0.344204	4
96	ID286	-0.513974	-0.585059	0.342295	5
97	ID301	0.133086	-0.583048	0.339945	7
98	ID272	-0.956492	0.582241	0.339004	1
99	ID138	-1.501189	0.571169	0.326234	3
100	ID020part4of4	-1.488363	0.568712	0.323433	9
101	ID368	-1.370795	0.567811	0.322410	6
102	ID128	-0.564637	0.566557	0.320987	2
103	ID033	-0.260858	0.565099	0.319337	2
104	ID169	-0.209679	0.564011	0.318108	6
105	ID243	1.146978	-0.558178	0.311563	1
106	ID130	-0.485709	0.557847	0.311194	4
107	ID020part1of4	-0.319197	-0.555150	0.308191	1
108	ID018	-0.230406	0.549354	0.301789	8
109	ID267	0.459433	-0.547624	0.299892	8
110	ID348	0.111668	-0.547255	0.299488	3
111	ID303	-1.564980	0.543112	0.294970	9
112	ID244	1.180121	-0.537111	0.288489	3
113	ID041part1of2	-0.911734	0.533350	0.284462	6
114	ID068	0.381372	-0.532772	0.283845	4
115	ID173	-1.267789	-0.527305	0.278051	5
116	ID088	0.615710	0.525994	0.276669	3
117	ID167	-0.002187	-0.519781	0.270173	10
118	ID297part3of3	-0.934464	0.517426	0.267729	6
119	ID240	1.104234	-0.515240	0.265473	3
120	ID300	0.795789	-0.507819	0.257880	1
121	ID335	0.010672	-0.506707	0.256752	4
122	ID203	0.397193	0.506461	0.256502	5
123	ID157	-0.031681	-0.497888	0.247893	2
124	ID002	1.202998	-0.492021	0.242085	1
125	ID001	0.291211	0.489842	0.239945	3
126	ID161	0.603282	-0.487631	0.237784	4
127	ID371	-0.175818	-0.484210	0.234459	3
128	ID297part2of3	0.432143	-0.483131	0.233416	9
129	ID304	-1.013772	-0.482439	0.232747	7
130	ID274	-1.452685	0.472868	0.223604	8
131	ID047	-0.571732	0.471817	0.222612	8
132	ID292	-0.334933	0.470606	0.221470	5
133	ID041part2of2	-1.153221	0.470115	0.221008	3
134	ID184	-0.102784	-0.462849	0.214229	9
135	ID056	-0.250590	0.462405	0.213818	3
136	ID331part4of4	-0.131005	0.458486	0.210209	8
137	ID189	0.131020	0.456527	0.208417	1
138	ID118	0.078984	-0.455844	0.207794	5
139	ID294	-0.726364	0.455296	0.207294	8
140	ID070	0.225612	0.452651	0.204893	9
141	ID081	0.381162	-0.451727	0.204057	6
142	ID331part2of4	0.276895	-0.451273	0.203647	1
143	ID044	-0.186495	-0.445591	0.198552	4
144	ID284	-0.582916	0.443680	0.196852	3
145	ID137part1of2	0.345886	-0.442861	0.196126	6
146	ID238	0.868289	0.440556	0.194090	8
147	ID051	0.566053	-0.440323	0.193884	7
148	ID105	-0.031509	-0.438892	0.192626	2
149	ID092	0.707169	-0.438447	0.192235	7
150	ID022	0.866244	0.437515	0.191420	8
151	ID305	-0.840419	0.435947	0.190049	8
152	ID139	-0.253695	-0.433563	0.187977	6
153	ID315	-0.615645	0.432604	0.187146	10
154	ID066	-0.336944	-0.428591	0.183690	2
155	ID037	0.541817	-0.427797	0.183011	5
156	ID135	-0.211214	0.427559	0.182806	2
157	ID058	0.819517	0.424096	0.179857	2
158	ID172	-1.046541	-0.421219	0.177425	2
159	ID144	0.750231	-0.419376	0.175876	6
160	ID160	-0.846101	0.418439	0.175092	1
161	ID215	0.712563	0.418300	0.174975	4
162	ID158	-0.714560	0.415891	0.172965	2
163	ID107	1.021946	0.406328	0.165102	5
164	ID029	0.369115	-0.405848	0.164713	10
165	ID201	0.715980	-0.404314	0.163470	8
166	ID319	-0.699639	0.398221	0.158580	8
167	ID241	1.110726	-0.396115	0.156907	6
168	ID314	0.607186	-0.395223	0.156201	3
169	ID266	0.965024	-0.392331	0.153924	10
170	ID282	1.141729	-0.388589	0.151001	3
171	ID113	-0.926358	0.386311	0.149236	4
172	ID290	-0.973608	-0.380735	0.144959	3
173	ID341	-0.428647	0.380156	0.144519	5
174	ID011	1.129977	-0.379440	0.143975	6
175	ID264	-0.468903	-0.378789	0.143481	8
176	ID122	1.401499	-0.377751	0.142696	5
177	ID049	-0.637942	0.373957	0.139844	7
178	ID013	0.736557	-0.371962	0.138356	6
179	ID220	0.916974	-0.364516	0.132872	8
180	ID020part2of4	-0.285396	-0.364356	0.132755	1
181	ID086	0.683714	-0.363912	0.132432	3
182	ID149	-1.162138	0.363008	0.131775	4
183	ID159	-0.052658	-0.361420	0.130624	5
184	ID053	0.952944	-0.357654	0.127916	4
185	ID045	-0.306068	0.352331	0.124137	4
186	ID180	-0.727917	-0.351465	0.123528	3
187	ID074	-1.209835	0.351160	0.123313	1
188	ID052	-0.332518	0.347966	0.121081	5
189	ID288	-0.682743	-0.340833	0.116167	6
190	ID202	1.472062	-0.337154	0.113672	4
191	ID265	1.170844	-0.328274	0.107764	2
192	ID198	1.113908	0.324585	0.105356	7
193	ID296	-0.989391	0.323122	0.104408	3
194	ID298	0.568632	-0.322807	0.104204	2
195	ID285	-1.489841	0.314569	0.098954	10
196	ID021	0.189271	-0.311363	0.096947	4
197	ID083part2of2	0.450921	0.306884	0.094178	9
198	ID176	-0.473447	0.305956	0.093609	4
199	ID024	-0.219419	-0.302846	0.091715	2
200	ID127	0.752235	-0.302073	0.091248	9
201	ID275	-0.121411	-0.300614	0.090369	3
202	ID164	-0.557577	-0.297571	0.088549	7
203	ID344	-1.657622	0.296838	0.088113	6
204	ID010	0.851159	0.296085	0.087666	3
205	ID195	0.878949	-0.295585	0.087370	8
206	ID216	0.993514	-0.295347	0.087230	7
207	ID179	0.020761	0.293909	0.086382	6
208	ID281	-0.300943	-0.293891	0.086372	2
209	ID165	-0.601167	0.293639	0.086224	2
210	ID260	0.488584	0.281674	0.079340	10
211	ID239	-0.751700	0.281282	0.079120	10
212	ID076	-0.779283	-0.279930	0.078361	3
213	ID030	0.757508	-0.279713	0.078239	10
214	ID005	-0.312583	-0.277214	0.076848	5
215	ID095	0.686979	-0.275791	0.076061	4
216	ID104	0.696378	-0.270235	0.073027	6
217	ID297part1of3	0.323805	-0.269946	0.072871	5
218	ID245	0.447128	-0.269187	0.072462	6
219	ID129	0.685704	-0.268611	0.072152	3
220	ID307	-0.662198	-0.264669	0.070050	2
221	ID370	-1.363478	0.262424	0.068866	5
222	ID236	1.073383	-0.262321	0.068812	6
223	ID054	0.402976	0.259654	0.067420	3
224	ID136	-0.161392	-0.256745	0.065918	4
225	ID330	-0.308166	-0.256450	0.065766	7
226	ID352	0.246954	0.253846	0.064438	9
227	ID009	0.717663	-0.246807	0.060914	5
228	ID109	0.994087	-0.246071	0.060551	2
229	ID083part1of2	0.260871	0.246010	0.060521	10
230	ID019	-0.925501	-0.245123	0.060085	2
231	ID295	-0.913112	0.243623	0.059352	1
232	ID142	-0.119829	-0.243039	0.059068	2
233	ID258	0.398537	0.239980	0.057590	5
234	ID148	0.011917	0.237509	0.056411	5
235	ID191	0.183141	0.237330	0.056326	10
236	ID026	0.881377	0.237297	0.056310	9
237	ID254	1.347151	-0.236124	0.055755	1
238	ID253	0.839278	-0.228467	0.052197	2
239	ID120	0.801856	-0.228052	0.052008	4
240	ID012	0.058368	-0.223679	0.050032	1
241	ID102	0.537623	-0.223495	0.049950	3
242	ID321	0.046706	-0.222562	0.049534	1
243	ID213	1.115497	-0.222142	0.049347	3
244	ID146	-0.416942	-0.220234	0.048503	3
245	ID075	-0.315525	-0.216378	0.046819	7
246	ID210	0.850226	-0.211243	0.044624	5
247	ID182	0.254529	-0.210142	0.044160	7
248	ID153	-0.756298	0.209184	0.043758	1
249	ID020part3of4	-0.966607	0.203474	0.041402	6
250	ID034	-0.837606	0.202049	0.040824	10
251	ID006	0.937005	-0.199984	0.039993	4
252	ID276	-0.288898	0.199364	0.039746	2
253	ID347	0.127079	-0.198419	0.039370	1
254	ID345	-2.046485	0.197421	0.038975	8
255	ID091	1.149038	0.195524	0.038230	4
256	ID251	0.371956	-0.192761	0.037157	9
257	ID313	-0.665269	0.191665	0.036735	7
258	ID147part2of2	0.154277	-0.189409	0.035876	10
259	ID273	0.169623	0.188267	0.035445	7
260	ID171	-1.167989	0.188186	0.035414	6
261	ID096	-0.723889	0.187318	0.035088	1
262	ID262	1.069705	-0.186868	0.034920	7
263	ID325	0.856981	-0.184220	0.033937	3
264	ID093part1of5	0.046570	0.183392	0.033633	7
265	ID299part2of2	-0.023730	0.183149	0.033543	10
266	ID214	-0.807140	0.181286	0.032865	6
267	ID234	0.515112	-0.181124	0.032806	7
268	ID110	0.789754	-0.178423	0.031835	9
269	ID337part1of2	-0.032565	-0.177507	0.031509	9
270	ID097	0.225816	-0.176401	0.031117	5
271	ID080	-0.953910	0.175152	0.030678	4
272	ID228	0.845229	-0.172970	0.029918	2
273	ID221	0.731209	-0.167489	0.028052	4
