Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=sentiment, MSE ratio=0.357170)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID316	-0.918507	1.352144	1.828294	1
2	ID351	-1.176407	1.205161	1.452412	4
3	ID303	0.698595	-1.186992	1.408951	9
4	ID093part3of5	-1.019376	1.168102	1.364463	4
5	ID238	-0.351190	1.158146	1.341303	8
6	ID016	0.913980	-1.122408	1.259800	6
7	ID096	-1.449626	1.106708	1.224804	1
8	ID014	1.383074	-1.098636	1.207001	3
9	ID015	-1.427678	1.097150	1.203739	7
10	ID367	-0.494601	1.075803	1.157353	3
11	ID099	1.291206	-1.064825	1.133853	3
12	ID189	-1.006214	1.043434	1.088754	1
13	ID206	-0.527116	1.034972	1.071167	9
14	ID361	1.298197	-1.032015	1.065056	4
15	ID147part1of2	-1.454508	1.026006	1.052687	4
16	ID108	-1.695406	1.005901	1.011838	1
17	ID044	0.874940	-0.990280	0.980654	4
18	ID330	1.211659	-0.986136	0.972465	7
19	ID100	1.017275	-0.963509	0.928349	4
20	ID322	-1.757882	0.942926	0.889109	1
21	ID078	-1.550085	0.940778	0.885064	5
22	ID087	-0.915730	0.922034	0.850147	10
23	ID024	-0.763644	0.904365	0.817876	2
24	ID331part2of4	0.664629	-0.901671	0.813010	1
25	ID179	-0.804737	0.894251	0.799684	6
26	ID297part3of3	-1.640694	0.888814	0.789991	6
27	ID296	-1.890617	0.877336	0.769718	3
28	ID353	-2.107351	0.877284	0.769627	1
29	ID338	1.263804	-0.874794	0.765265	7
30	ID364	-1.757511	0.873565	0.763115	10
31	ID066	0.659473	-0.868638	0.754532	2
32	ID331part4of4	-1.061270	0.867700	0.752903	8
33	ID173	-0.935899	0.862953	0.744688	5
34	ID168	-1.091189	0.847796	0.718758	2
35	ID171	0.320779	-0.844546	0.713258	6
36	ID162	0.191141	-0.834373	0.696178	4
37	ID292	-0.801270	0.813936	0.662491	5
38	ID344	0.709433	-0.809126	0.654686	6
39	ID112	-0.732524	0.806815	0.650950	1
40	ID002	1.271981	-0.802368	0.643794	1
41	ID134	1.055597	-0.794905	0.631875	2
42	ID119	0.511792	-0.793439	0.629546	9
43	ID152part1of2	-2.243102	0.791585	0.626608	4
44	ID278	0.050254	-0.787561	0.620252	9
45	ID320	0.100274	-0.783438	0.613774	8
46	ID071	0.402416	0.781851	0.611290	6
47	ID047	0.446435	-0.780560	0.609273	8
48	ID067	0.624269	-0.779132	0.607047	10
49	ID369	-1.619970	0.774317	0.599566	4
50	ID273	0.297235	-0.772434	0.596654	7
51	ID194	-0.644692	0.771471	0.595168	7
52	ID295	-1.852783	0.759566	0.576940	1
53	ID077	-0.213777	-0.719222	0.517281	3
54	ID328	0.383750	0.719086	0.517085	8
55	ID332	0.980910	-0.714506	0.510518	10
56	ID198	0.190447	-0.711196	0.505799	7
57	ID128	-1.272953	0.699056	0.488679	2
58	ID163	-1.030454	0.697575	0.486610	4
59	ID023	-0.747494	0.691895	0.478719	6
60	ID122	0.538479	-0.690376	0.476619	5
61	ID018	-0.789005	0.688994	0.474712	8
62	ID201	0.146522	-0.687340	0.472437	8
63	ID094	-0.650279	0.682986	0.466470	6
64	ID318	-2.763291	0.674666	0.455175	1
65	ID006	0.282194	-0.672131	0.451759	4
66	ID192	-0.884735	0.662962	0.439518	7
67	ID230	0.888010	-0.662113	0.438394	10
68	ID212	0.384299	-0.648611	0.420696	4
69	ID080	-1.522662	0.639375	0.408800	4
70	ID337part2of2	0.549073	-0.638383	0.407533	1
71	ID076	-1.547705	0.636096	0.404618	3
72	ID241	1.017164	-0.620618	0.385167	6
73	ID164	0.493672	-0.617911	0.381814	7
74	ID025	-0.609425	-0.613312	0.376152	4
75	ID143	-0.539228	0.607801	0.369423	2
76	ID011	-0.442075	0.607629	0.369213	6
77	ID248	0.382159	-0.606698	0.368083	2
78	ID234	0.524354	-0.600882	0.361059	7
79	ID334	0.193598	-0.599096	0.358915	2
80	ID368	-2.155857	0.598176	0.357814	6
81	ID133	0.503522	-0.592640	0.351222	2
82	ID155	-1.373324	0.591583	0.349970	6
83	ID040	0.860977	-0.583605	0.340595	5
84	ID160	-0.735867	0.581935	0.338648	1
85	ID017	-1.324716	0.579507	0.335828	2
86	ID020part1of4	-1.683154	0.578828	0.335042	1
87	ID056	0.034954	0.573396	0.328782	3
88	ID311	1.193927	-0.566888	0.321362	2
89	ID299part1of2	0.236089	-0.562098	0.315954	9
90	ID199	-0.583799	0.561539	0.315326	1
91	ID286	0.295573	-0.561062	0.314790	5
92	ID020part3of4	-1.653725	0.555481	0.308559	6
93	ID167	0.813440	-0.551978	0.304680	10
94	ID287	-0.446071	0.548818	0.301202	5
95	ID223	-0.143175	0.544469	0.296446	1
96	ID021	1.460763	-0.541253	0.292955	4
97	ID082	0.475495	0.526665	0.277376	9
98	ID159	0.152470	-0.525844	0.276512	5
99	ID141	-0.935274	0.522600	0.273110	5
100	ID123	0.267269	-0.521711	0.272182	7
101	ID156	-1.132313	0.517876	0.268195	4
102	ID046	-0.024484	-0.517569	0.267878	9
103	ID284	0.116959	0.514586	0.264798	3
104	ID239	0.613925	-0.508548	0.258621	10
105	ID150	0.702704	0.505293	0.255321	1
106	ID314	0.623481	-0.502461	0.252467	3
107	ID274	0.822700	-0.500692	0.250692	8
108	ID158	-0.279418	0.498767	0.248768	2
109	ID037	0.014436	0.493670	0.243710	5
110	ID136	0.490009	-0.492164	0.242225	4
