Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=subjectivity, MSE ratio=0.451431)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID145	-1.453284	1.581953	2.502574	4
2	ID317	1.423511	-1.566999	2.455486	2
3	ID014	-1.752093	1.509939	2.279916	3
4	ID261	1.623284	-1.494705	2.234144	5
5	ID338	-0.703049	1.425804	2.032917	7
6	ID189	-1.113586	1.425181	2.031140	1
7	ID318	-2.052023	1.344218	1.806922	1
8	ID147part1of2	-1.093953	1.324576	1.754503	4
9	ID349	1.568571	-1.316402	1.732915	10
10	ID069	-0.471063	1.298160	1.685221	7
11	ID150	-1.175490	1.245309	1.550794	1
12	ID084	0.969232	-1.210151	1.464466	5
13	ID015	-1.479443	1.172350	1.374405	7
14	ID087	-0.786500	1.172017	1.373623	10
15	ID100	1.120595	-1.136774	1.292255	4
16	ID060	1.786437	-1.136248	1.291059	6
17	ID332	-1.956313	1.110107	1.232339	10
18	ID180	0.128019	-1.073739	1.152916	3
19	ID297part3of3	-1.033311	1.072410	1.150064	6
20	ID119	1.498899	-1.064159	1.132434	9
21	ID353	-1.914586	1.060566	1.124800	1
22	ID096	-1.176981	1.054636	1.112257	1
23	ID346	-1.735602	1.037373	1.076142	5
24	ID141	-1.433792	1.028028	1.056842	5
25	ID111	0.499112	-0.995555	0.991129	6
26	ID350	-0.957192	0.992330	0.984719	4
27	ID041part1of2	-1.084653	0.971769	0.944335	6
28	ID201	0.811948	-0.962353	0.926122	8
29	ID289	-1.079401	0.957832	0.917442	5
30	ID144	1.297853	-0.944228	0.891567	6
31	ID181	-1.269133	0.933668	0.871736	8
32	ID331part3of4	0.973453	-0.932736	0.869996	1
33	ID285	-1.414181	0.929826	0.864576	10
34	ID214	-1.350936	0.926082	0.857629	6
35	ID050	-0.754667	0.907652	0.823831	9
36	ID257	0.758869	-0.907177	0.822970	8
37	ID040	0.928707	-0.906388	0.821540	5
38	ID081	0.902306	-0.902784	0.815018	6
39	ID286	-0.452826	-0.893055	0.797548	5
40	ID331part4of4	-0.822728	0.886183	0.785320	8
41	ID367	-0.691967	0.880461	0.775211	3
42	ID151	-0.614937	0.878486	0.771737	10
43	ID300	0.709081	-0.876708	0.768617	1
44	ID116	1.249250	-0.875448	0.766410	5
45	ID188	0.815983	-0.871503	0.759518	8
46	ID316	-0.194012	0.867355	0.752304	1
47	ID099	0.542058	-0.866525	0.750865	3
48	ID068	0.843867	-0.866181	0.750270	4
49	ID253	-0.456169	0.854827	0.730729	2
50	ID115	-0.225890	0.851451	0.724969	7
51	ID129	1.382517	-0.848755	0.720384	3
52	ID102	0.956150	-0.846442	0.716464	3
53	ID308	0.775161	-0.835270	0.697675	1
54	ID225	0.475349	-0.827532	0.684809	6
55	ID085	1.766861	-0.827049	0.684010	6
56	ID192	-1.425272	0.822015	0.675709	7
57	ID159	0.175649	-0.812823	0.660681	5
58	ID174	-0.600051	0.812637	0.660379	5
59	ID093part3of5	-0.701438	0.811826	0.659062	4
60	ID364	-1.030391	0.811125	0.657923	10
61	ID330	-0.190574	-0.803949	0.646334	7
62	ID122	1.788576	-0.802124	0.643403	5
63	ID138	-1.616989	0.794006	0.630446	3
64	ID309	0.316475	-0.788280	0.621385	8
65	ID103	1.642114	-0.779220	0.607184	9
66	ID074	-1.266963	0.759894	0.577438	1
67	ID282	1.504744	-0.756442	0.572204	3
68	ID264	0.298900	-0.754969	0.569978	8
69	ID177	1.884096	-0.751655	0.564985	8
70	ID269	1.283674	-0.751323	0.564486	8
71	ID226	0.982768	-0.749555	0.561832	2
72	ID072	-0.922235	0.748208	0.559815	8
73	ID071	-0.116235	0.747449	0.558680	6
74	ID296	-1.144640	0.741133	0.549278	3
75	ID294	-1.304141	0.732593	0.536692	8
76	ID097	1.206033	-0.730195	0.533185	5
77	ID018	-0.429474	0.717967	0.515477	8
78	ID208	1.284342	-0.716200	0.512943	2
79	ID310	0.611138	-0.712863	0.508174	4
80	ID351	-0.360329	0.706888	0.499690	4
81	ID293	0.318635	-0.703826	0.495372	5
82	ID265	1.499338	-0.691684	0.478426	2
83	ID017	-1.075684	0.690001	0.476102	2
84	ID209	1.398679	-0.687388	0.472502	3
85	ID370	-0.171507	-0.685705	0.470192	5
86	ID124	0.870302	-0.684916	0.469110	5
87	ID236	0.375735	0.675047	0.455689	6
88	ID173	-0.702538	-0.671345	0.450704	5
89	ID312	0.926899	-0.670408	0.449447	8
90	ID121	-0.140083	-0.669480	0.448203	7
91	ID327	-0.548869	0.668514	0.446912	9
92	ID158	-0.731667	0.664717	0.441849	2
93	ID341	-0.741822	0.662003	0.438248	5
94	ID143	0.072013	0.661693	0.437837	2
95	ID213	1.025387	-0.660690	0.436511	3
96	ID325	1.059267	-0.657419	0.432199	3
97	ID035	0.725440	-0.656222	0.430627	1
98	ID234	0.521315	-0.647736	0.419562	7
99	ID336	-1.016828	0.644121	0.414892	8
100	ID048	0.782198	-0.641412	0.411409	3
101	ID224	0.405913	0.640790	0.410611	7
102	ID314	0.792901	-0.637066	0.405853	3
103	ID004	1.319660	-0.634710	0.402857	7
104	ID179	0.076986	0.634035	0.402001	6
105	ID194	-0.360814	0.629938	0.396822	7
106	ID302	-0.885921	0.629113	0.395783	4
107	ID134	-1.630459	0.629097	0.395763	2
108	ID262	0.642824	0.625934	0.391793	7
109	ID365	-0.933785	0.625675	0.391469	7
110	ID371	0.366205	-0.625561	0.391327	3
111	ID249	0.522701	-0.621501	0.386264	6
112	ID109	1.169403	-0.613803	0.376754	2
113	ID055	1.136000	-0.613472	0.376348	8
114	ID184	0.058220	-0.612905	0.375653	9
115	ID205	0.496694	-0.610944	0.373253	8
116	ID322	-1.208074	0.609173	0.371092	1
117	ID152part1of2	-1.503776	0.608864	0.370715	4
118	ID303	-1.599517	0.603966	0.364775	9
119	ID297part2of3	0.469466	-0.600475	0.360570	9
120	ID011	1.047923	-0.599772	0.359726	6
121	ID287	-0.436131	0.598789	0.358548	5
122	ID013	0.747490	-0.595959	0.355167	6
123	ID167	0.043189	-0.595735	0.354900	10
124	ID112	-1.052712	0.593484	0.352224	1
125	ID337part1of2	0.428831	-0.581074	0.337647	9
126	ID133	0.428550	-0.578551	0.334721	2
127	ID130	-0.219617	0.573047	0.328383	4
128	ID187	1.196332	-0.570118	0.325035	5
129	ID347	-0.674844	0.568623	0.323333	1
130	ID128	-0.974015	0.567355	0.321892	2
131	ID054	1.099709	-0.553251	0.306087	3
132	ID020part2of4	-1.149743	0.551924	0.304620	1
133	ID093part5of5	-0.917258	0.546932	0.299134	4
134	ID168	-0.753447	0.541062	0.292748	2
135	ID362	-0.777210	0.539690	0.291265	10
136	ID053	1.389491	-0.534972	0.286195	4
137	ID217	0.601095	-0.533116	0.284213	2
138	ID331part1of4	0.716050	-0.531576	0.282573	3
139	ID009	0.690987	-0.528026	0.278812	5
140	ID136	-0.498512	0.523145	0.273681	4
141	ID094	0.857098	-0.517768	0.268084	6
142	ID001	0.387675	0.514665	0.264880	3
143	ID003	-0.254073	0.511835	0.261975	10
144	ID242	0.329774	0.510601	0.260713	3
145	ID223	0.577549	0.508626	0.258700	1
146	ID120	0.925091	-0.499071	0.249072	4
147	ID118	-0.433816	0.493205	0.243251	5
148	ID153	-1.103590	0.493202	0.243248	1
149	ID091	0.775706	0.484093	0.234346	4
150	ID039	0.971849	-0.483332	0.233610	9
151	ID020part1of4	-1.481375	0.478318	0.228788	1
152	ID182	0.110226	0.478256	0.228729	7
153	ID292	-0.224983	0.472932	0.223665	5
154	ID321	-0.636473	0.472761	0.223503	1
155	ID333	0.471449	-0.472749	0.223492	5
156	ID149	-0.880744	0.469476	0.220407	4
157	ID105	0.156929	-0.466781	0.217885	2
158	ID258	0.525261	0.466293	0.217429	5
159	ID171	-1.004800	0.459641	0.211270	6
160	ID101	-0.190460	-0.456145	0.208068	2
161	ID023	-0.231817	0.453045	0.205250	6
162	ID170	-0.938071	0.450075	0.202567	9
163	ID277	-0.033400	-0.448533	0.201182	1
164	ID045	-0.641980	0.443322	0.196535	4
165	ID131	1.057061	-0.438704	0.192461	3
166	ID152part2of2	-1.257212	0.438028	0.191868	6
167	ID246	0.693050	0.436951	0.190926	1
168	ID331part2of4	0.552893	-0.436319	0.190374	1
169	ID172	-1.282636	0.434829	0.189076	2
170	ID108	-1.190625	0.434247	0.188570	1
171	ID245	0.127106	-0.433389	0.187826	6
172	ID219	-0.267154	0.432737	0.187262	7
173	ID029	0.645546	-0.432334	0.186913	10
174	ID241	0.928350	-0.426210	0.181655	6
175	ID229	0.657023	-0.419361	0.175864	3
176	ID008	-0.266289	0.417291	0.174132	5
177	ID169	-0.203498	0.415605	0.172727	6
178	ID083part1of2	0.834261	-0.413583	0.171051	10
179	ID028part1of2	-0.227232	-0.413491	0.170975	2
180	ID089	-0.638678	0.413026	0.170590	9
181	ID056	0.407071	-0.410157	0.168229	3
182	ID147part2of2	0.244515	-0.408560	0.166921	10
183	ID198	0.667724	0.406335	0.165108	7
184	ID306	-0.224238	0.403023	0.162428	5
185	ID202	1.298563	-0.400080	0.160064	4
186	ID137part2of2	-0.383443	0.396786	0.157439	7
187	ID079	0.402742	-0.390129	0.152201	10
188	ID211	0.718188	-0.387396	0.150076	5
189	ID125	1.077117	-0.385735	0.148792	2
190	ID320	0.545183	-0.383158	0.146810	8
191	ID239	0.175940	-0.381116	0.145249	10
192	ID093part1of5	-0.624006	0.372638	0.138859	7
193	ID329	-0.435491	0.370830	0.137515	4
194	ID190	-0.350604	0.366853	0.134581	1
195	ID027	-0.137414	-0.364477	0.132843	7
196	ID191	0.617435	-0.361675	0.130809	10
197	ID222	0.514491	-0.349516	0.122162	9
198	ID123	-1.661859	0.348738	0.121618	7
199	ID266	0.684258	-0.342336	0.117194	10
200	ID252	0.535061	0.339588	0.115320	1
201	ID263	0.615895	-0.335693	0.112690	8
202	ID077	0.040420	-0.334063	0.111598	3
203	ID076	-0.849924	-0.327609	0.107328	3
204	ID366	-1.473844	0.323619	0.104729	9
205	ID082	-0.687841	0.322570	0.104051	9
206	ID233	0.122873	-0.322035	0.103706	8
207	ID279	0.890192	-0.321386	0.103289	7
208	ID146	-0.121602	-0.321039	0.103066	3
209	ID157	-0.420196	-0.316486	0.100163	2
210	ID186	0.531256	-0.316335	0.100068	1
211	ID026	0.977843	-0.305865	0.093553	9
212	ID290	-1.121276	0.302784	0.091678	3
213	ID022	0.859455	0.299563	0.089738	8
214	ID243	0.819668	-0.296443	0.087879	1
215	ID207	0.521532	-0.291356	0.084888	7
216	ID106	0.604155	-0.289247	0.083664	2
217	ID340	-0.458081	0.285251	0.081368	5
218	ID272	-0.662647	0.280981	0.078951	1
219	ID183	0.290175	0.277761	0.077151	6
220	ID010	0.618107	0.277377	0.076938	3
221	ID220	0.937674	-0.276125	0.076245	8
222	ID283	-0.042039	-0.275359	0.075823	10
223	ID291	-0.450517	0.274494	0.075347	10
224	ID281	-0.745456	0.270471	0.073154	2
225	ID080	-0.880351	0.267949	0.071797	4
226	ID019	-0.944980	-0.267841	0.071739	2
227	ID228	0.685862	-0.265276	0.070371	2
228	ID348	-0.435321	0.263639	0.069506	3
229	ID162	-0.456471	-0.263623	0.069497	4
230	ID288	-0.904240	-0.251927	0.063467	6
231	ID132	0.283497	0.241933	0.058532	3
232	ID057part1of2	0.054589	-0.241531	0.058337	1
233	ID002	0.696251	-0.241244	0.058198	1
234	ID051	0.153379	-0.240896	0.058031	7
235	ID032	0.616242	-0.237864	0.056579	6
236	ID166	0.375598	-0.237756	0.056528	10
237	ID139	-0.541447	-0.237530	0.056421	6
238	ID176	0.471776	-0.233718	0.054624	4
239	ID042	0.957099	-0.232959	0.054270	5
240	ID275	-0.381317	0.232953	0.054267	3
241	ID328	0.519204	-0.224564	0.050429	8
242	ID038	-0.012138	-0.222056	0.049309	1
243	ID062	0.953343	-0.221999	0.049284	1
244	ID185	0.197415	-0.211792	0.044856	3
245	ID021	0.245442	-0.210571	0.044340	4
246	ID154	-1.029432	0.208443	0.043448	1
247	ID107	0.519684	0.207497	0.043055	5
248	ID319	-0.996355	0.206836	0.042781	8
249	ID337part2of2	-0.010649	-0.206498	0.042642	1
250	ID315	-0.063447	0.205698	0.042312	10
251	ID344	-1.746884	0.203412	0.041376	6
252	ID334	-0.741782	0.202083	0.040838	2
253	ID075	-0.897730	0.201800	0.040723	7
254	ID016	-0.469185	-0.198064	0.039229	6
255	ID142	-0.155772	0.194907	0.037989	2
256	ID221	0.788832	-0.194540	0.037846	4
257	ID044	-0.436048	-0.194243	0.037730	4
258	ID036	0.341601	0.187982	0.035337	4
259	ID299part2of2	-0.099206	0.186472	0.034772	10
260	ID043	-0.758298	-0.182590	0.033339	10
261	ID215	0.847658	0.178709	0.031937	4
262	ID114	0.518319	0.178534	0.031874	6
263	ID284	-0.164391	0.178138	0.031733	3
264	ID251	0.665708	-0.177325	0.031444	9
265	ID110	0.721088	-0.175895	0.030939	9
266	ID311	-0.529471	0.174671	0.030510	2
267	ID238	0.819461	-0.173326	0.030042	8
268	ID041part2of2	-1.031584	0.167321	0.027996	3
269	ID247	0.382024	0.164880	0.027186	2
270	ID033	0.167684	-0.163542	0.026746	2
271	ID267	-0.019065	-0.158281	0.025053	8
272	ID066	-0.763342	-0.156535	0.024503	2
273	ID305	-0.695543	0.156187	0.024394	8
274	ID244	0.866864	0.155310	0.024121	3
275	ID361	-0.146893	-0.154729	0.023941	4
276	ID061	0.803609	0.154586	0.023897	6
277	ID086	0.642190	-0.153459	0.023550	3
278	ID345	-1.713465	-0.153108	0.023442	8
279	ID095	0.251316	0.151039	0.022813	4
280	ID113	-0.594399	-0.146359	0.021421	4
281	ID231	-0.384603	0.144066	0.020755	9
282	ID259	0.516584	-0.144005	0.020738	9
283	ID052	0.108291	0.142317	0.020254	5
284	ID020part4of4	-1.203055	-0.141805	0.020109	9
285	ID276	0.087816	-0.141331	0.019974	2
286	ID368	-1.220895	-0.138363	0.019144	6
287	ID240	1.018229	-0.136376	0.018598	3
288	ID280	0.646310	-0.135672	0.018407	7
289	ID037	0.859575	-0.130141	0.016937	5
290	ID260	0.550894	-0.126222	0.015932	10
291	ID025	-0.669731	0.123287	0.015200	4
292	ID196	0.292040	0.123198	0.015178	10
293	ID058	0.985820	0.117703	0.013854	2
294	ID278	-0.495533	-0.116529	0.013579	9
295	ID307	-0.656592	0.113020	0.012774	2
296	ID117	0.966805	0.112932	0.012754	3
297	ID006	0.682855	0.111890	0.012519	4
298	ID005	-0.192878	0.107924	0.011648	5
299	ID297part1of3	-0.188836	0.107914	0.011645	5
300	ID360	1.135422	-0.105619	0.011155	2
301	ID230	0.465271	0.102987	0.010606	10
302	ID212	0.098972	-0.101475	0.010297	4
303	ID093part2of5	-0.671407	0.099989	0.009998	2
304	ID218	-0.318442	-0.099852	0.009970	7
305	ID203	0.393264	0.099743	0.009949	5
306	ID160	-0.398467	0.095176	0.009059	1
307	ID313	-0.082958	-0.089352	0.007984	7
308	ID199	0.557467	-0.087397	0.007638	1
309	ID137part1of2	0.203185	-0.083878	0.007036	6
310	ID210	0.269010	-0.082222	0.006760	5
311	ID028part2of2	-0.360131	0.081907	0.006709	5
312	ID335	0.007823	-0.076330	0.005826	4
313	ID135	0.601034	0.075292	0.005669	2
314	ID020part3of4	-0.835999	-0.075100	0.005640	6
315	ID047	-0.368800	0.073719	0.005434	8
316	ID301	-0.759892	-0.071045	0.005047	7
317	ID216	1.038103	-0.070847	0.005019	7
318	ID063	1.203204	-0.070738	0.005004	5
319	ID235	-0.229868	-0.070064	0.004909	3
