Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=textlogic, MSE ratio=0.474147)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID353	-1.704508	1.222029	1.493354	1
2	ID295	-1.242033	0.971959	0.944703	1
3	ID123	-1.597078	0.860205	0.739952	7
4	ID160	-1.051817	0.855960	0.732668	1
5	ID192	-1.016311	0.831399	0.691225	7
6	ID147part1of2	-0.794883	0.768119	0.590007	4
7	ID210	-0.454943	0.724454	0.524834	5
8	ID287	-0.607855	0.715357	0.511736	5
9	ID285	-1.014787	0.714258	0.510164	10
10	ID341	-0.751308	0.700796	0.491115	5
11	ID278	-1.106885	0.695414	0.483600	9
12	ID119	0.619374	-0.665904	0.443429	9
13	ID331part1of4	-0.906166	0.663054	0.439641	3
14	ID247	-0.325633	0.663012	0.439585	2
15	ID346	-0.537865	0.627077	0.393225	5
16	ID099	0.565296	-0.619370	0.383620	3
17	ID366	-1.256997	0.616962	0.380642	9
18	ID087	-0.487344	0.612073	0.374633	10
19	ID109	0.732195	-0.594796	0.353782	2
20	ID149	-0.659003	0.589301	0.347276	4
21	ID252	-0.216898	0.587951	0.345687	1
22	ID269	0.692149	-0.582599	0.339422	8
23	ID100	0.440086	-0.556475	0.309664	4
24	ID111	0.366143	-0.550514	0.303066	6
25	ID074	-0.796571	0.541968	0.293729	1
26	ID291	0.412535	-0.538792	0.290297	10
27	ID202	0.773962	-0.531625	0.282625	4
28	ID002	0.776306	-0.529360	0.280222	1
29	ID328	-0.121554	0.529052	0.279896	8
30	ID209	0.459544	-0.522459	0.272963	3
31	ID293	0.530512	-0.522118	0.272607	5
32	ID334	0.181312	-0.519437	0.269815	2
33	ID327	-0.224519	0.518899	0.269256	9
34	ID190	-0.714173	0.516736	0.267016	1
35	ID238	0.085000	0.516140	0.266401	8
36	ID226	0.582645	-0.510877	0.260995	2
37	ID071	-0.390664	0.510061	0.260162	6
38	ID371	0.122499	-0.509619	0.259712	3
39	ID124	0.572726	-0.507320	0.257373	5
40	ID302	-0.496797	0.503249	0.253260	4
41	ID094	-0.341588	0.488694	0.238822	6
42	ID185	0.468478	-0.478786	0.229236	3
43	ID027	0.315223	-0.475625	0.226219	7
44	ID016	0.394676	-0.474007	0.224682	6
45	ID208	0.862550	-0.473909	0.224590	2
46	ID145	-0.648167	0.472242	0.223013	4
47	ID261	0.694060	-0.459824	0.211438	5
48	ID183	-0.240632	0.451841	0.204161	6
49	ID177	0.923057	-0.445496	0.198466	8
50	ID147part2of2	-0.488523	0.443478	0.196673	10
51	ID050	-0.442358	0.437855	0.191717	9
52	ID075	0.175467	-0.437526	0.191429	7
53	ID181	-0.551601	0.435416	0.189587	8
54	ID174	-0.060322	0.433141	0.187611	5
55	ID322	-0.527172	0.430814	0.185601	1
56	ID309	0.094840	-0.419261	0.175780	8
57	ID152part1of2	-1.009575	0.408846	0.167155	4
58	ID204	0.696636	-0.408815	0.167129	6
59	ID088	0.024818	0.406473	0.165221	3
60	ID059	0.437478	-0.403838	0.163085	7
61	ID116	0.604871	-0.398043	0.158438	5
62	ID229	0.587285	-0.391399	0.153193	3
63	ID348	0.209873	-0.387234	0.149950	3
64	ID205	0.245338	-0.384337	0.147715	8
65	ID117	0.015868	0.372793	0.138974	3
66	ID228	0.755356	-0.366369	0.134226	2
67	ID249	0.235174	-0.365783	0.133797	6
68	ID132	0.081664	0.363239	0.131942	3
69	ID155	-0.041089	-0.362703	0.131553	6
70	ID297part2of3	0.357453	-0.362232	0.131212	9
71	ID197	0.459865	-0.362213	0.131198	9
72	ID240	-0.035803	0.361005	0.130324	3
73	ID300	0.380452	-0.360730	0.130126	1
74	ID290	-0.414499	-0.359225	0.129043	3
75	ID223	0.714071	-0.358726	0.128684	1
76	ID317	0.403127	-0.354340	0.125557	2
77	ID068	0.224698	-0.353420	0.124906	4
78	ID310	0.324866	-0.349295	0.122007	4
79	ID350	-0.066668	0.349212	0.121949	4
