Predicted model errors in decreasing order for 364 samples (ENSEMBLE (test), dimension=writestyle, MSE ratio=0.464213)
sample_rank	text_ID	real	pred-real	(pred-real)^2	fold
1	ID287	-1.083292	1.015518	1.031278	5
2	ID269	1.054206	-0.932603	0.869748	8
3	ID016	0.516821	-0.860173	0.739897	6
4	ID353	-1.333340	0.809838	0.655837	1
5	ID295	-1.333116	0.800078	0.640125	1
6	ID147part1of2	-0.967945	0.789108	0.622691	4
7	ID285	-1.083666	0.782076	0.611642	10
8	ID081	-0.922593	0.775395	0.601238	6
9	ID100	0.658810	-0.746745	0.557629	4
10	ID331part2of4	-1.164383	0.722390	0.521848	1
11	ID160	-1.046996	0.711629	0.506416	1
12	ID238	-0.154009	0.708222	0.501579	8
13	ID063	0.558076	-0.674540	0.455005	5
14	ID366	-1.074924	0.659692	0.435193	9
15	ID192	-0.671885	0.646254	0.417644	7
16	ID109	0.428719	-0.640489	0.410226	2
17	ID114	-0.545083	0.626475	0.392471	6
18	ID169	-0.819577	0.623804	0.389131	6
19	ID331part1of4	-1.244109	0.608074	0.369755	3
20	ID335	-0.328989	0.606321	0.367625	4
21	ID124	0.740149	-0.603564	0.364290	5
22	ID174	-0.515223	0.587258	0.344872	5
23	ID246	-0.276583	0.572216	0.327431	1
24	ID298	0.049640	-0.548057	0.300367	2
25	ID087	-0.135446	0.534086	0.285248	10
26	ID080	-0.675481	0.531526	0.282520	4
27	ID094	-0.134161	0.531289	0.282268	6
28	ID202	0.557163	-0.530483	0.281412	4
29	ID116	0.726249	-0.517989	0.268312	5
30	ID278	-1.016389	0.506266	0.256305	9
31	ID210	-0.366776	0.501433	0.251435	5
32	ID230	0.855529	-0.497857	0.247861	10
33	ID240	0.038520	0.496662	0.246673	3
34	ID079	0.606609	-0.491837	0.241904	10
35	ID347	-0.488771	0.488567	0.238697	1
36	ID243	0.575187	-0.487273	0.237435	1
37	ID330	0.062800	-0.465993	0.217150	7
38	ID304	0.146259	-0.463475	0.214809	7
39	ID013	0.432586	-0.457321	0.209143	6
40	ID123	-0.781746	0.456357	0.208262	7
41	ID309	0.365382	-0.454343	0.206428	8
42	ID241	0.653132	-0.445402	0.198383	6
43	ID058	-0.327904	0.444918	0.197952	2
44	ID078	-0.931822	0.440970	0.194455	5
45	ID334	0.301597	-0.436728	0.190732	2
46	ID266	0.672651	-0.423916	0.179705	10
47	ID288	-1.172496	0.423298	0.179181	6
48	ID146	-0.585892	0.418420	0.175076	3
49	ID133	0.059425	-0.413773	0.171208	2
50	ID190	-0.512130	0.412721	0.170339	1
51	ID017	0.030670	-0.410566	0.168564	2
52	ID226	0.586035	-0.407895	0.166378	2
53	ID139	-0.721293	0.407773	0.166279	6
